{'descr': '每次都是就近住宿了，早班飞机伤不起，不过还可以', 'star': 3}
{'descr': '机场附近，很方便', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境不错，硬件也让人满意。', 'star': 5}
{'descr': '酒店位于飞机场前方，对准备登机的人来说，非常之便利！    前台服务态度也是一流的！早餐也是很丰富的！   非常棒    下次出游还来这里！  ', 'star': 5}
{'descr': '接送机6：30一22：00不太方便，直线距离几百米，实际绕行约1．5公里', 'star': 4}
{'descr': '离机场很近，赶早班飞机的好选择。', 'star': 4}
{'descr': '为赶飞机，在机场附近搭了一宿，凑合吧，边上餐厅的东西还不错，房间比较陈旧，好像老国企开的三产的感觉。', 'star': 4}
{'descr': '离机场很近，适合早班飞机或者红眼航班。给前台打电话态度不太好。晚12点后没有接机。还算可以吧，主要方便。', 'star': 4}
{'descr': '五星', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '希望更上一层楼', 'star': 3}
{'descr': '交通方便，做公交，旅游巴和火车都很方便。到高铁站的车程也快。房间算大的了，设施齐全，卫生。这个价格很划算。找吃的很方便，附近有很多吃的地方，对面就是永和豆浆店了。', 'star': 5}
{'descr': '总体印像还不错，特别是接送机，接送高铁站服务让我很满意！下次还住！', 'star': 4}
{'descr': '整体感觉不错哦', 'star': 5}
{'descr': '灯光昏暗，无线信号差，床也一般。', 'star': 4}
{'descr': '非常近，早点一般。有桑拿！', 'star': 3}
{'descr': '还不错，离机场特别近，而且还可以在机场用早餐，很好。就是有的房间空调效果不是很好。', 'star': 5}
{'descr': '环境还行，服务不错，但是还是需要改进很多，卫生居然打扫的不彻底', 'star': 3}
{'descr': '房间整洁服务优良', 'star': 3}
{'descr': '离机场很近，赶飞机的话还不错，服务还行，希望价格再低点。', 'star': 5}
{'descr': '位置很好,由于飞机要到凌晨2点才到.走过去8分钟左右,就是留的电话没有人接,我问前台说不是他们那儿的电话.感到很奇怪,还好只问了停车场师傅马上找到了,更谈不上接机了!', 'star': 5}
{'descr': '在太原机场算不错的酒店。房间大，干净，到航站楼好近。每30分钟有车送。只是早餐太差了。', 'star': 5}
{'descr': '还不错，对于赶早飞机特方便', 'star': 3}
