{'短评内容': '每次来苏州出差基本住这里.性价比很高，旁边吃的也多.', '短评打分': 5}
{'短评内容': '不错的房间', '短评打分': 5}
{'短评内容': '离平江路拙政园都很近，楼下的面馆也很好吃，住这里实惠方便，能体会到苏州平易近人的一面，早起去对面的公园散散步也很好', '短评打分': 5}
{'短评内容': '位置在苏州平江路附近，距离平江路商业风情街步行也就几分钟，距离观前街也不远，距离博物馆也很近的。酒店旁边还有公交车站，可以坐车去往很多景点。不好的就是，隔音真的不行，特别是大床房，真心的睡不着。', '短评打分': 5}
{'短评内容': '酒店位置还是可以的，离平江路和相门都很近的，而且这里比较安静，价位也很便宜，酒店的大门这里也有停车的地方。适合带孩子居住，因为没有其他酒店这么吵闹，睡觉很舒服。', '短评打分': 5}
{'短评内容': 'Good', '短评打分': 5}
{'短评内容': '不错，房间设施一应俱全，很干净，这样优惠的价钱，住到这样的宾馆真心满意！', '短评打分': 5}
{'短评内容': '很好的酒店.', '短评打分': 5}
{'短评内容': '不错 物美价廉', '短评打分': 5}
{'短评内容': '还好了，这个价位能住上这样的宾馆不错了，不过从酒店旁边直接往后走，就到了民居区了，转转真的很好，转转就到了园区，这方面值得推荐', '短评打分': 4}
{'短评内容': '酒店位置不错，距离平江路很近，性价比高，基本整洁干净，酒店设施稍有些旧不过不影响睡觉，附近吃饭方便。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店房间价格实惠，周边环境很方便。离狮子林拙政园不远，出门街对面就是动物园。就是设备有点老，隔音稍弱。推荐入住，就是早上退房的速度太慢！客人多，可以多派点前台人员嘛。希望以后能改进。其他都还好。', '短评打分': 5}
{'短评内容': '位置不错，喜欢苏州老街，早醒来逛平江府！', '短评打分': 4}
{'短评内容': '酒店环境还是很不错的，有自己的停车场，位置比较适中', '短评打分': 5}
{'短评内容': '很好的，携程也方便，优惠。', '短评打分': 5}
