{'短评内容': '没住，白白扣了一天房费', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店环境不错，舒适，没有啥骚扰电话', '短评打分': 5}
{'短评内容': '真的很快，值得信赖', '短评打分': 5}
{'短评内容': '真的很快，值得信赖', '短评打分': 5}
{'短评内容': '空调外机上面的滴水声能把人吵死！烦躁！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通方便，客房很干净', '短评打分': 5}
{'短评内容': '快捷酒店大家都知道的，经济实惠', '短评打分': 5}
{'短评内容': '快捷酒店嘛。怎么样大家都知道的。经济实惠', '短评打分': 5}
{'短评内容': '酒店环境周边环境都很好，出行方便。用携程订房比汉庭铂金会员定价格还要低很多，携程真棒！', '短评打分': 5}
{'短评内容': '还是不错的 是我值得纪念的地方', '短评打分': 5}
{'短评内容': '还不错 是我值得纪念的地方', '短评打分': 5}
{'短评内容': '离亲戚家近，很方便', '短评打分': 4}
{'短评内容': '没有窗户，很不舒服，以后不选这种房型，其他还可以', '短评打分': 3}
