{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '房间干净整洁，就是没有窗户', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '还可以比较实惠', '短评打分': 5}
{'短评内容': '环境太差，服务太差，还有拉嫖的', '短评打分': 5}
{'短评内容': '就是房间小了点', '短评打分': 5}
{'短评内容': '一分钱一分货，这个价格还算可以', '短评打分': 4}
{'短评内容': '代人预定，还可以吧', '短评打分': 4}
{'短评内容': '环境一般，隔音效果很差，走廊说话听的很清楚，只能说和价钱成正比', '短评打分': 3}
{'短评内容': '性价比挺合适的，房型太单一', '短评打分': 3}
{'短评内容': '一分钱一分货，也算对得起这个价了', '短评打分': 4}
{'短评内容': '整洁卫生，距离汉口站很近', '短评打分': 4}
{'短评内容': '环境挺好的，也很安静，离火车站又近，挺 方便的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '不错，相对这个价格来说', '短评打分': 4}
