{'短评内容': '酒店性价比很高', '短评打分': 5}
{'短评内容': '非常好的一家酒店，前台服务人员态度诚恳热情周到，服务细致，素质极高，标间面积宽敞明亮，视野开阔且干净卫生，安静隔音效果好，以后有机会来还会选择这家酒店的！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '有停車場。酒店距離火車南廣場500米，距離北廣場不到2000米。酒店附近有較多的美食火鍋店，步行十几分钟即可到達', '短评打分': 4}
{'短评内容': '不错(*๓´╰╯`๓)♡', '短评打分': 5}
{'短评内容': '距火车站近', '短评打分': 4}
{'短评内容': '用完所有京东优惠也要300+真是不好，强烈不推荐。别再龙头寺住没有好的', '短评打分': 3}
{'短评内容': '该酒店非常好，服务一流，交通方便，超赞！', '短评打分': 5}
{'短评内容': '酒店位置比较好、离火车站比较近。房间中央空调比较给力。电视频道很少。电视画面不是很清晰。总体一般。希望有所改进。', '短评打分': 3}
{'短评内容': '哈哈哈哈，住宿不错，就是没去吃早餐，不知道早餐怎么样。', '短评打分': 5}
{'短评内容': '动车高铁到达北站北广场，酒店在南广场，需在北广场的交通枢纽中心搭乘663到南广场，亲们，记得自备零钱2元。酒店的床软硬适度，不错', '短评打分': 5}
{'短评内容': '虽然没有预订，但保留预订的机会，等着抢优惠券！！！优惠券！！', '短评打分': 5}
{'短评内容': '晚上噪声较大', '短评打分': 4}
{'短评内容': '位置就在重庆火车北站 南广场 附近。坐火车出行很方便！算是附近比较好的酒店了。酒店设施各方面都还不错。。。', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '都很好，就是周边吃饭不。不过，出差赶车很方便，这点就够了', '短评打分': 5}
{'短评内容': '非常好，舒适，方便', '短评打分': 5}
{'短评内容': '酒店不错，比想象中好，就是有点吵', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '很好，下次次再来', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 4}
{'短评内容': '房间不错，就是高铁地下通道未开通，要绕着走，这也是期待！', '短评打分': 5}
{'短评内容': '该酒店已是第二次入住，主要是坐火车非常方便，酒店入住挺舒适的。', '短评打分': 4}
{'短评内容': '酒店不错，交通方便，房间很大，可惜早餐没有来得及感受。自助虽然便宜，但菜不多，性价比还是很高的，推荐入住。', '短评打分': 5}
{'短评内容': '感觉在四星级酒店中还算可以，可以接受', '短评打分': 4}
{'短评内容': '酒店的位置非常好，重庆北站、地铁站都很近，出行方便，设施很新很实用，性价比非常高。前台服务人员也像重庆的气温一样高度热情', '短评打分': 5}
{'短评内容': '这次入住很不开心，丢了一只行李箱，酒店很明显的推卸责任', '短评打分': 4}
{'短评内容': '总的来说酒店还行，就是因为靠近公路，台吵了', '短评打分': 5}
