{'短评内容': '服务差！卫生差！以后不去', '短评打分': 1}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店位置挺不错的，价格实惠，有停车场，有简单早餐，这个价格住这样的酒店算可以了，离嘉陵江也不远，晚上可以走路去江边转转，旁边也有大型商场，处于繁华路段', '短评打分': 4}
{'短评内容': '酒店位置不错，总体来说物有所值吧', '短评打分': 5}
{'短评内容': '交通方便，可免费停车，室内设施一般，卫生状况还行。早餐一般', '短评打分': 4}
{'短评内容': '还行000000000000', '短评打分': 5}
{'短评内容': '0000000000000000', '短评打分': 5}
{'短评内容': '可口可乐了教练员外卖哥伦比亚', '短评打分': 5}
{'短评内容': '太差了，根本就不是写的那样，空调也是坏的', '短评打分': 3}
{'短评内容': '还可以，离南河汽车站近', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '房间设施太旧了，该重新装修了。', '短评打分': 3}
{'短评内容': '比较旧，周边交通和配套也一般。', '短评打分': 3}
{'短评内容': '老旧宾馆，设施比较陈旧。周边配套交通，饮食，超市不太方便。', '短评打分': 3}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '酒店卫生很差，床单没换很脏，卫生间没有热水洗澡', '短评打分': 1}
{'短评内容': '设施太老旧了', '短评打分': 4}
{'短评内容': '直这个钱', '短评打分': 5}
{'短评内容': '环境优雅，卫生还好，', '短评打分': 5}
{'短评内容': '连续入住的酒店', '短评打分': 5}
{'短评内容': '还可以吧，都差不多，价格也实惠，有停车位', '短评打分': 5}
{'短评内容': '房间有异味电脑频繁死机', '短评打分': 3}
{'短评内容': '總體酒店服務不錯，我定的單間還沒收拾出來就改成數碼單間，房間很大，但房內壁紙應該換換了。', '短评打分': 3}
{'短评内容': '已入住，谢谢。', '短评打分': 3}
{'短评内容': '感觉还可以，住的数码单间，一边上网一边看电视，挺爽。就是网速太慢了。', '短评打分': 3}
{'短评内容': '房间小了点。。晚上还是比较安静~~目前来说 去广元这么多次 最好的一家经济型酒店吧~~', '短评打分': 1}
{'短评内容': '酒店非常干净卫生，早餐挺好的，位置距离嘉陵江很近，附近还有个欢乐谷游乐场，晚上也能玩。', '短评打分': 3}
{'短评内容': '服务态度很好 普通单间有点吵 好像是个阳台隔离成的边上有个小屋 里面说话听的到 ', '短评打分': 5}
{'短评内容': '地段不错，去哪里都方便，只是隔音效果不太好', '短评打分': 5}
{'短评内容': '一分钱一分货，总体很可以，就是房间有味道', '短评打分': 5}
{'短评内容': '一般服务还可以 一般服务还可以 一般服务还可以 一般服务还可以 一般服务还可以 一般服务还可以 一般服务还可以 一般服务还可以', '短评打分': 3}
{'短评内容': '这个酒店的床太烂了，睡得腰酸背疼的。靠路边的太吵且灰尘太大。', '短评打分': 3}
{'短评内容': '房间一般，经济实惠，但是早餐不行，还有，空调不是很给力', '短评打分': 5}
{'短评内容': '完全是被穿了小鞋啊，房间太小了。而且电视机这些摆放的地方也不对，', '短评打分': 1}
{'短评内容': '还不错，就是网上订房价格和实际价格相差很少。。', '短评打分': 5}
{'短评内容': '不错的选择，每次来都住这里，便宜，实惠！', '短评打分': 5}
{'短评内容': '酒店房间很干净，空调也不错，服务也还行，就是房间小了点。', '短评打分': 3}
{'短评内容': '酒店不错，很干净，周围没怎么找到吃饭的地方，还有早餐差了点', '短评打分': 3}
{'短评内容': '酒店前台的服务态度不错，值得推荐。安保人员有点不专业，很好笑，居然不着工作装或出示工作证就要求客人说出房间号，汗啊！我难道象坏人吗，悲剧了。', '短评打分': 5}
{'短评内容': '非常不错房间干净服务好下次还住这里', '短评打分': 3}
{'短评内容': '相对于此价位，房间还可以，早餐过于简单。', '短评打分': 5}
{'短评内容': '价格合适，设施较全，但维护不足，电脑不通、电视无信号。', '短评打分': 3}
{'短评内容': '很干净…', '短评打分': 3}
{'短评内容': '酒店订好以后到了告诉我没有我的房间，也没有工作人员主动帮我确认就两字没有就完了，后来又打电话到订酒店的网站确认几经周折才住上。服务态度也一般，看见的是双早，可是变成没有早餐。很不满意。', '短评打分': 1}
{'短评内容': '挺好！很不错，服务也好，每次出差都住这里的！', '短评打分': 5}
{'短评内容': '不错，每次都是住在这里的！环境不错，比较干净，价格不贵！', '短评打分': 5}
{'短评内容': ' 整体环境还行，房间大小也可以，反正这个价格这样子也满意了！', '短评打分': 5}
{'短评内容': '基本满意.', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '价钱比较经济，总体来说，装饰与环境还算可以，就是隔音太差，深夜1点多隔壁房争吵都能听见。', '短评打分': 5}
{'短评内容': '基本上和招待所差不多了，酒店前台还问我是怎么在网上定的酒店，这个价格，也许在广元找找，还能有更好的酒店。', '短评打分': 1}
{'短评内容': '也不知道广元这地方还有没有价格差不多的酒店，反正这家不行，房间里面的墙壁都快被水弄得发霉了。', '短评打分': 1}
{'短评内容': '房间大，隔音也可以，有人看车而且免费，有电梯，洗澡热水很给力。早餐是一份早餐奶一个蛋两个法式小面包（一人份）。不过总的来讲，还是不错的，一夜睡得挺好。\n', '短评打分': 5}
{'短评内容': '总的环境不错，早餐不太好，太简单了。别的都还行，价格也可以', '短评打分': 5}
