{'短评内容': '装饰过于古典，不过景色很好，交通方便，环境安静。', '短评打分': 3}
{'短评内容': '服务态度不好，e-long给的联系电话没人值班，卫生间淋浴器坏，地毯又老又旧，早该换成地板了。酒店底子好，但经营不善。\n从一楼臭到顶，楼梯里是臭味，卫生间一开门臭味就把人顶了出来，通风系统肯定坏了。', '短评打分': 1}
{'短评内容': '虽然酒店比较旧，但是江景房还是不错的。交通也挺方便的。', '短评打分': 5}
{'短评内容': '地理位置很好，当然住在05-08号的江景房景色会更好一些，酒店设施有些旧，冬天采暖期的被子太厚。', '短评打分': 5}
{'短评内容': '设施老旧，其他还可以。', '短评打分': 3}
{'短评内容': '室内温度很好', '短评打分': 3}
{'短评内容': '在江边，看雾凇的好地方哦。服务一般般，早餐不大喜欢哦', '短评打分': 5}
{'短评内容': '吉林神州大酒店位于吉林市最好的地段，在哪里可以看到名闻天下的吉林雾凇，全年四季都是美不胜收。', '短评打分': 5}
{'短评内容': '优点：1、虽然是暖气供暖，但是并不觉得冷。2、早餐不错，挺丰富、很好吃。3、工作人员服务态度很好，打扫时发现马桶有点堵，主动叫修理师傅来修理，赞一个！\n劣势：1、江景房这边可能是窗户设计的局限，感觉观景效果并不理想，希望酒店方考虑并改进。2.门都有些老并变形了，一开一关有吱吱呀呀的声音，影响酒店的整体气质。3、2楼早餐厅的供暖效果不理想，门开着，餐厅很冷，食品端到桌子上很容易凉掉。', '短评打分': 5}
{'短评内容': '定的两间江景房，其中一个卫生间地板严重磨损。家具很旧电视信号总断，不过房间还算暖和只是淋浴水温不够。早餐够丰富餐厅能看见松花江，服务基本要主动要求才给换毛巾，差强人意', '短评打分': 5}
{'短评内容': '酒店很一般，不过是江景房。', '短评打分': 3}
{'短评内容': '还好吧，设施齐全，干净，温馨，下次还住。', '短评打分': 5}
{'短评内容': '下次去吉林绝对不会住这家了，去的时候吉林有些降温，刚好还没有暖气，这么大的酒店没有空调，整个房间是很大，屋子里特别冷。打电话去前台，说唯一的供暖设施就是暖气，还要等一个多礼拜才能供应，后来去街上买了一个暖水袋，要不然晚上会冻死人。设施很陈旧，电视机还是原始的那种不是液晶，南方这个价位的宾馆都应该是液晶电视机了，屋子里的架子上还有上一个房客留下来的麻花，真的不知道服务员是怎么收拾的房间。没有矿泉水供', '短评打分': 1}
{'短评内容': '环境一般，但服务不错，价格可以，早餐丰富，如果能够提供免费饮用水就更好了。', '短评打分': 5}
{'短评内容': '一般的三星级酒店，江景房还行，可以看到松花江的夜景', '短评打分': 5}
{'短评内容': '地段不错，临江，江景房的夜晚真的很好。房间设施比较陈旧。', '短评打分': 5}
{'短评内容': '在松花江边，夜景很美，就是卫生间味道太大，早上一开卫生间的门，被严重熏了一下', '短评打分': 5}
{'短评内容': 'hengao 很够\nhanes窘迫较大爬开农场咯触摸屏三季度库存放您稍等\n', '短评打分': 5}
{'短评内容': '总的来说一般，厕所水箱一直漏水，浴缸堵住不下水。对不起这个价格', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '有些旧，在吉林算不错的了', '短评打分': 3}
{'短评内容': '给家人预定的酒店，听说位置不错，就是环境一般。', '短评打分': 5}
{'短评内容': '酒店位置不错，从外面看比较气派，江景房可以把松花江两边景色一览无余！\n就是内部设施太老旧了，配套服务也跟不上！', '短评打分': 5}
{'短评内容': '缺點；1.設備老舊之外,還顯得非常髒亂. 2.周邊非商業區,用餐不便 3.早上無供應熱水,洗臉台水龍頭甚至冒出深咖啡色的汙水,非常嚇人  優點:1.臨松花江畔,散步賞景便利2.房間非常寬大  3.附贈免費早餐(內容尚可) 4.江景房可賞美麗夜景', '短评打分': 1}
{'短评内容': '硬件虽然不好，但服务还是比较周到的。屋内卫生清理不细，发现前房客遗留的鸡骨头残渣未清理干净，江景房还是不错的，服务人员素质不错，建议硬件装修需完善，地理位置非常好，如得以改善，将超越世纪大酒店和皇家花园。', '短评打分': 5}
{'短评内容': '装修时间有些久，但所在位置非常好，值得入住.\n酒店的早餐还算丰富。但比较偏北方人你口味。\n房间布局很好。', '短评打分': 5}
