{'短评内容': '房间很干净，停车方便。', '短评打分': 5}
{'短评内容': '同样是如家 这一次的入住让人很不满意 ', '短评打分': 2}
{'短评内容': '还好吧，凑合', '短评打分': 4}
{'短评内容': '特惠房不要选，没窗户，网上也不说明，害我白白损失20元。', '短评打分': 4}
{'短评内容': '住着挺舒服的', '短评打分': 5}
{'短评内容': '五星好评，在网上订就是便宜，京东还有优惠券可以用', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '还不错啊！！', '短评打分': 5}
{'短评内容': '还不错啊！！！', '短评打分': 5}
{'短评内容': '特惠房没窗，补了差价二十多换了有窗，不大，卫生很好。', '短评打分': 5}
{'短评内容': '带父亲去看病住的便宜只有91,离地址近做个小黄车ofo.美滴很希望健康福乐双至', '短评打分': 4}
{'短评内容': '还好了，环境不错', '短评打分': 5}
{'短评内容': '住着还不错?', '短评打分': 5}
{'短评内容': '很好，很不错，值得信赖', '短评打分': 5}
{'短评内容': '给宝贝买的，希望宝贝喜欢！', '短评打分': 5}
{'短评内容': '希望住的舒服，京东订房也是很不错的！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '整体服务很满意，酒店配套东西比较齐全，周边交通比较便利，周围小吃比较多，暖气比较给力，热水也很给力。', '短评打分': 5}
{'短评内容': '地图上找不见，在西安转了几个小时！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还好！', '短评打分': 5}
{'短评内容': '批发城附近，出差住比较方便，还不错', '短评打分': 4}
{'短评内容': '现在设施比如辈子什么的都采用一次性杯子了，但是相对来说，并不见得比玻璃辈子好。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '从房间的配置看，价钱有点偏高', '短评打分': 4}
{'短评内容': '较安静，可以很好休息。就是房间好像是民居改的，没有电梯，上楼带行李不太方便啊。', '短评打分': 5}
{'短评内容': ' 挺干净', '短评打分': 3}
{'短评内容': '在此酒店住了五天，感受了标准间和大床房间，标准间比大床房间要好，显得整洁干净，房子也似乎大些。感觉不错', '短评打分': 5}
{'短评内容': '性价比较高，初入住时有些味道，通通风就好了。房间觉得小了些', '短评打分': 5}
{'短评内容': '选择这里主要是方便办事，服务态度挺好，就是打车困难。', '短评打分': 5}
{'短评内容': '环境很清静，周围的配套设施不错，住了四天很满意，有家的感觉，交通便利，去钟楼和大雁塔等景点不用转车，我都是乘的公交。', '短评打分': 5}
{'短评内容': '环境很清静，周围的配套设施不错，住了四天很满意，交通便利，去钟楼和大雁塔等景点不用转车，我都是乘的公交，其中有一位408路公交车男售票员非常热情，非常有素质，说实话以前在常州基本看不到这样热情的人，见到老人主动上前搀扶，主动让出自己的座位给儿童，那么拥挤的车厢还不忘提醒我这外乡人站点，很让人感动！', '短评打分': 5}
{'短评内容': '卫生条件不错，灯光、水都很好。', '短评打分': 3}
{'短评内容': '挺干净的，大床房很舒服，条件不错，就是隔音稍微差了一点', '短评打分': 5}
{'短评内容': '环境还不错，就是前台服务有点差，服务员不专业，效率低下，前台电话竟然打不进去！！！', '短评打分': 5}
{'短评内容': '房间很安静...................................................', '短评打分': 5}
