{'短评内容': '服务很好，交通方便', '短评打分': 5}
{'短评内容': '环境好，卫生，服务态度好，玩的很开心，价格公道，无乱收费，周边环境好，吃喝都方便', '短评打分': 5}
{'短评内容': '交通便利，服务态度好，价格实惠，就是屋内设施陈旧。', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '特价房，不好，没有热水和洗手盆', '短评打分': 2}
{'短评内容': '挺不错的，很干净的！', '短评打分': 5}
{'短评内容': '说好可以返现的，可是到现在也没有返。', '短评打分': 3}
{'短评内容': '电脑坏的 开电视复杂的很 厕所马桶摇摇晃晃的', '短评打分': 2}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '还可以啊！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '环境清静，卫生干净，服务太态很好，点个赞', '短评打分': 5}
{'短评内容': '舒心', '短评打分': 4}
