{'短评内容': '没有发现问题', '短评打分': 5}
{'短评内容': '挺好的干净隔音好空间大           是的。    我们的生活方式和平解决问题的话说好了。你们的士上班就要开始咯？这是什么事也门和解和田大力开展植树造林运动项目是中非经贸', '短评打分': 5}
{'短评内容': '挺好的干净隔音好空间大      是的。    我们的生活方式和平解决问题的话说好了。你们的士上班就要开始咯？这是什么事也门和解和田大力开展植树造林运动项目是中非经贸', '短评打分': 5}
{'短评内容': '酒店环境尚可。要特别感谢该酒店歺饮部叫王群的服务员；为客人所想；热情周到！为她点赞！', '短评打分': 3}
{'短评内容': '住的不错，还有免费的足疗，', '短评打分': 3}
{'短评内容': '酒店设施配套和位置都可以，房间里面的一次性牙刷牙膏都是收费的，免费矿泉水也是收费的，早餐主食品种还可以，就是菜的品种较少，前台服务不错，比较热情有耐心', '短评打分': 4}
{'短评内容': '酒店设施配套和位置都可以，房间里面的一次性牙刷牙膏都是收费的，免费矿泉水也是收费的，早餐主食品种还可以，就是菜的品种较少，前台服务不错，比较热情有耐心', '短评打分': 4}
{'短评内容': '没去住，不过听说还可以，老公的朋友们来了不少，非得要有早餐的', '短评打分': 5}
{'短评内容': '位置不错，交通便利', '短评打分': 5}
{'短评内容': '感觉一般呢。夏天了还有点阴冷，床太硬。卫生还可以', '短评打分': 3}
{'短评内容': '房间不错，位置佳，整体感觉不错。服务态度非常好。', '短评打分': 5}
{'短评内容': '打车有点难，但是是部队宾馆，而且装修的不错', '短评打分': 5}
{'短评内容': '酒店还不错，较干净，舒适！', '短评打分': 3}
{'短评内容': '房间还不错吧，比较干净、整洁~餐厅饭菜价格很便宜~缺点就是卫生间镜子不亮还有划痕啥的~热水温度不够~房间玻璃隔音太差，屋外靠马路，晚上的车声太吵~', '短评打分': 5}
