{'短评内容': '2012年7月19日准时入住双流西航港机场航空宾馆，清洁、干净、吃住方便，不错。', '短评打分': 5}
{'短评内容': '酒店条件一般，还好还算方便', '短评打分': 3}
{'短评内容': '该宾馆与网上说的不同，欺骗了顾客。一:房间小。二:网上说是一米五的床，而实际上是一米宽。', '短评打分': 3}
{'短评内容': '到机场只须三分钟路程，且有接送服务，非常好。酒店旁有小超市及饭店，也是转机休息的好地方。', '短评打分': 5}
{'短评内容': '服务差12111111111111111111111111111111111111111111111111', '短评打分': 1}
{'短评内容': '房间内的设施一般 有点旧了  空间也比较紧 ', '短评打分': 1}
{'短评内容': '环境卫生一般，对于这方面有要求的旅客来讲，估记会很难接受，唯一值得称赞的就是接送机服务了。', '短评打分': 1}
{'短评内容': '很奇怪，航空酒店以前住过，不是这家。这家真不咋样，入住后外出就餐，回来后房门竟然开着，幸亏电脑等东西没少，查看监控，刚好摄像头照不到，后几天只好出门就把电脑随身带着。其他卫生、服务极其一般。', '短评打分': 1}
{'短评内容': '不知道双流机场那么晚还有机场大巴，所以入住这家酒店，确实除了地理位置有优势以外，没有任何可恭维之处。早餐的粥里竟然有鱼鳞片，哎！超级郁闷', '短评打分': 1}
{'短评内容': '打电话订的时候说200，那个接电话的服务员，态度还不太好\n网上却是180，一点都不耿直', '短评打分': 5}
{'短评内容': '方便顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶', '短评打分': 5}
{'短评内容': '是转机、早班机的理想选择，有叫醒服务和免费机场接送，推荐！要是早餐再早一些就好了！', '短评打分': 5}
{'短评内容': '性价比不高，总体还不错，但是这种酒店配这种价格就感觉差点。', '短评打分': 1}
{'短评内容': '比较差,厕所门直对卧室的床,味道严重.现在很难找到那么简陋的宾馆了', '短评打分': 1}
{'短评内容': '离机场近，设施和服务业一般，中转嘛，勉强咯。。。', '短评打分': 1}
{'短评内容': '不错，还会再定。祝大家新年快乐，万事如意~', '短评打分': 5}
{'短评内容': '不错去机场有专车接送！如果是转机对付一晚上还是可以的！', '短评打分': 5}
{'短评内容': ',很遗憾,洗澡水不热,还特小', '短评打分': 3}
{'短评内容': '本来说好是1M5的床，结果去了是1.2的床，设施好旧，感觉好脏，感觉是住了这么多宾馆里性价比最差的~', '短评打分': 1}
{'短评内容': '房间一般，但是设施还齐全，主要是离机场近，早晨主动叫醒然后把你送到机场', '短评打分': 5}
{'短评内容': '距机场近，房间太旧，卫生间脏，早餐不太敢吃，停车场不能叫停车场，只能说是酒店门前一小块空地，露天的，可停五-六辆车，网上图片跟实际情况出入太大。', '短评打分': 1}
{'短评内容': '价格不低，，里面条件设施一般般，没有市区138的好', '短评打分': 1}
{'短评内容': '房间太小，空调不制热，性价比太低了。比期望中的差多了，还说什么3星级建造的。。\n被忽悠了~', '短评打分': 1}
{'短评内容': '一般====唯一能接受的就是可以送到机场。房间隔音很差！', '短评打分': 1}
{'短评内容': '有接送机服务比较好，房间不敢恭维，但比较来住的都是转机的，勉强一晚吧', '短评打分': 5}
{'短评内容': '酒店太差了！特别是卫生，杯子都不洗！路边特吵！', '短评打分': 3}
{'短评内容': '就是第一次去不太好找，各方面服务都不错。', '短评打分': 5}
{'短评内容': '空港的位置非常好，离机场非常近，设施设备和服务业非常不错', '短评打分': 5}
{'短评内容': '＋还行', '短评打分': 3}
{'短评内容': '方便快捷，接送服务比较周到，以后有机会会经常光顾。', '短评打分': 5}
{'短评内容': '环境不错，有免费宽带和电脑，免费电话服务，送你去机场。', '短评打分': 5}
{'短评内容': '位置不错，接送机很方便，同位置酒店这家设施比较好~', '短评打分': 5}
{'短评内容': '酒店卫生各方面都差了点，服务也很一般，建议住到市区！', '短评打分': 1}
{'短评内容': '什么破酒店破宾馆，周边好的酒店宾馆一大堆，谁去住谁就会被蟑螂咬！', '短评打分': 5}
{'短评内容': '设施很差 服务态度一般 周边的环境已不是很好 ', '短评打分': 1}
{'短评内容': '条件不好------------------------', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '住过烂的，但没住过如此之烂的！成都火车北站附近几十块钱一晚的招待所都比这好！临机场高速，非常吵！关双层窗都没用！我现在就痛苦的睡不着来点评了！本来为了休息好赶早班飞机来住的，现在看来真是错了！床极脏且硬，而且很小，我和老公不得不分床睡。浴室漏水，没有足够的插座充电，反正啥都不行。说是离机场近，其实还有一段距离。还不如住信工背后那些几十的小旅馆，还落得清净！奉劝大家千万别住这儿！得不偿失！', '短评打分': 1}
{'短评内容': '可免费机场接送,离机场近,前台服务不错,是转机的理想栖息之地', '短评打分': 3}
{'短评内容': '如果是在机场转机，凑合着住一晚还是可以的，可以免费接机，还算比较卫生', '短评打分': 1}
{'短评内容': '距离机场还有一段距离，不过有车接送还算方便，房间干净安静，转机还挺方便', '短评打分': 5}
{'短评内容': '在航空港外，还好可免费接送，房间简单，顾有点小贵', '短评打分': 5}
{'短评内容': '酒店一般，收费也不便宜。卫生环境还可以的，。。。。', '短评打分': 3}
{'短评内容': '房间很小，被套感觉不是很干净，床垫中间有点变形，睡着感觉很难受，不过服务很热情。不推荐大家去', '短评打分': 1}
{'短评内容': '房间太小，且卫生间有臭味。房费相对而言太贵，不值得再去住的。', '短评打分': 3}
{'短评内容': '连个对外的联系电话都没有。卫生设施太简陋。', '短评打分': 1}
{'短评内容': '+酒店干净，但房间很小，放行李都觉得很难找到合适的地方，卫生间是蹲厕不容易接受，是耽误航班时旅客住的地方。', '短评打分': 5}
{'短评内容': '房间设施旧,但价格低,最重要是离机场近,酒店免费接送机场,适合中转飞机临时住', '短评打分': 5}
{'短评内容': '环境差，卫生差，窗户关不上，没有吹风机，不推荐', '短评打分': 1}
{'短评内容': '住宿条件太差，隔音效果很差，下次不会再住了', '短评打分': 5}
{'短评内容': '除了位置好其他的烂透了。房间小的可怜！竟然还是蹲坑！被子硬的没法盖，床咯的浑身难受！', '短评打分': 1}
{'短评内容': '+房间太小，酒店难找，应该提醒顾客有免费接站服务', '短评打分': 5}
{'短评内容': '为了转机方便入住，设施简陋，公用卫生间，好在服务人员态度热情周到的服务总算弥补些遗憾', '短评打分': 1}
{'短评内容': '酒店位置不错，建议从成都转机的可以订住，否则建议选择市区酒店，可能性价比会更好。', '短评打分': 5}
{'短评内容': '设置差的一塌糊涂，就相当与读大学的时候四五十的小旅馆，连马桶都没，还蹲坑...都什么年代了！地方离机场还有一段距离，虽然有接送车，还不感觉不方便。毕竟我打的到机场，还要重新打的到宾馆，还以为就附近的！叫钟服务等于没用的。因为...隔音太差，吵了一晚上，一个晚上没睡 一到早上 直接就去机场，叫钟什么用？ 语言组织能力太差，就这样了，反正不推荐。宁愿直接到机场，走两步就有很多比这宾馆便宜而且好的宾馆。', '短评打分': 3}
{'短评内容': '设置差的一塌糊涂，就相当与读大学的时候四五十的小旅馆，连马桶都没，还蹲坑...都什么年代了！地方离机场还有一段距离，虽然有接送车，还不感觉不方便。毕竟我打的到机场，还要重新打的到宾馆，还以为就附近的！叫钟服务等于没用的。因为...隔音太差，吵了一晚上，一个晚上没睡 一到早上 直接就去机场，叫钟什么用？ 语言组织能力太差，就这样了，反正不推荐。宁愿直接到机场，走两步就有很多比这宾馆便宜而且好的宾馆。', '短评打分': 3}
{'短评内容': '设置差的一塌糊涂，就相当与读大学的时候四五十的小旅馆，连马桶都没，还蹲坑...都什么年代了！地方离机场还有一段距离，虽然有接送车，还不感觉不方便。毕竟我打的到机场，还要重新打的到宾馆，还以为就附近的！叫钟服务等于没用的。因为...隔音太差，吵了一晚上，一个晚上没睡 一到早上 直接就去机场，叫钟什么用？ 语言组织能力太差，就这样了，反正不推荐。宁愿直接到机场，走两步就有很多比这宾馆便宜而且好的宾馆。', '短评打分': 1}
{'短评内容': '+房间不怎么样，离机场二公里，随时有车接送', '短评打分': 5}
{'短评内容': '+谢谢', '短评打分': 3}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '   服务不错，房差点', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '感觉还不错，性价比挺高的，交通也比较方便。', '短评打分': 5}
{'短评内容': '航空宾馆交通方便，服务周到，特别是接送机场的服务令我十分满意！', '短评打分': 5}
{'短评内容': '航空酒店性价比不值，', '短评打分': 5}
{'短评内容': '酒店位置还不错，服务、叫早、接送等做得还可以，就是设施较为陈旧，有点吵（楼下厨房的排风扇），作为转机、候机休闲地还是可以接受。', '短评打分': 5}
{'短评内容': '成都航空酒店作为中转住宿是不错的酒店,有车接送,方便中转.卫生也可以.但对宽带网有些房间没有提供.另外总台服务还需提高质量和规范.(旁边经理室的先生协调的不错)', '短评打分': 5}
{'短评内容': '成功办理入住后，发现卫生间的设施很陈旧，后来酒店给我换了房间感觉还好点，希望今后酒店能把设施方面改进一下。', '短评打分': 5}
{'短评内容': '因为要转机 选择的这里， 180元的房价 本不该期待 感觉很脏 很旧 但是接送服务 和 叫醒服务什么的 做的还是很到位\r\n ', '短评打分': 5}
{'短评内容': '总体性价比很高的酒店：卫生较好；隔音效果有待加强；有空调；电视节目较多。', '短评打分': 3}
{'短评内容': '性价比较高，卫卫生各方面较好，就是稍微有点远。', '短评打分': 5}
{'短评内容': '酒店设施中等，因为赶飞机，就在里面住了几个小时，不过酒店的接机和送机都很不错，而且都是免费，早餐差了点！', '短评打分': 5}
{'短评内容': '酒店的前台有安排车辆接送。。。不错！大半夜的也接送还是可以的。', '短评打分': 5}
{'短评内容': '非常满意、谢谢!', '短评打分': 5}
{'短评内容': '9号到的，还可以吧，放假卫生挺好，就是晚上睡觉有点吵，临近路', '短评打分': 5}
{'短评内容': ',服务蛮好，有免费的接送机服务，不过酒店硬件一般', '短评打分': 5}
{'短评内容': '房间隔音效果不好，卫生服务还可以和它价格都差不多但是确实太吵了，位置还可以主要是离机场比较近这点是唯一比较好的一点。', '短评打分': 1}
{'短评内容': '有机场接送，但是忘记叫早，差点耽误飞机。房间有点小，性价比还可以', '短评打分': 1}
{'短评内容': '离机场近，安静卫生，打电话就接机，很不错', '短评打分': 5}
{'短评内容': '距离机场比较近，酒店有送机服务而且比较即时，房间硬件条件不是很好.还有待改进.其它各方面还不错.', '短评打分': 5}
{'短评内容': '性价比较高的酒店，靠近机场很方便，价格也不高，下次在机场附近外出还会住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，靠近机场，下次附近有外出还会入住的。', '短评打分': 5}
{'短评内容': '离机场很近而且也有车接送这点还是比较不错的要是去机场的话也很方便，但是本身酒店的硬件设施方面是很差，服务也没怎么接触到，价格和整体环境来看还是偏高的。要是从酒店去市区不是很方便而且还得过一个收费站不过有车接送还行，而且附近出租车也是挺那打的，因为离机场很近有些出租车都不会去。其他的都很一般了，要是去机场的话这家酒店是很好但是要是下次去市区的话我想我下次我还会在市区再找别的酒店。', '短评打分': 5}
{'短评内容': '不推荐入住', '短评打分': 3}
{'短评内容': '刚开始联系台独还不错，说可以接机，结果接到以后就把我爸妈带到另一家酒店说这家房满，在他们强烈要求下才又入住进去，我不知道中间存在什么差错，但是酒店这种不负责任的态度实在很让人', '短评打分': 1}
{'短评内容': '很一般的酒店，就是靠近机场，性价比较好。', '短评打分': 5}
{'短评内容': '环境还行，设施稍微旧了一些，位置还可以，态度和价格都还不错。', '短评打分': 5}
{'短评内容': '环境还行，设施稍微旧了一些，位置还可以，态度和价格都还不错。', '短评打分': 5}
{'短评内容': '距离机场比较近位置还不错.有接送机的服务不错.不过我对于酒店的硬件感觉不太好.', '短评打分': 5}
{'短评内容': '服务设施一般 ', '短评打分': 1}
{'短评内容': '室内的硬件条件挺差的卫生间没有门.最主要昌没有电梯，住得高的话需要自己提行李.唯一好的是距离机场近，有专车接送至机场大概10分钟左右.如果没有更好的酒店这家还不错.', '短评打分': 5}
{'短评内容': '设施是简陋了一些，服务态度还可以，离机场算是比较近酒店也有自己接送的服务，价格也不贵也不便宜，', '短评打分': 5}
{'短评内容': '服务态度还行，位置还是很好找也有车接送的因为酒店是离机场还算是比较近的所以去机场的话还是很方便的，价格也很合适，房间也算是挺不错的卫生打扫的都很干净也很舒适，性价比还是挺高的。', '短评打分': 5}
{'短评内容': '酒店服务很好，很热情，很主动，给我的感觉就像在家里！', '短评打分': 5}
{'短评内容': '酒店交通还不错，离机场进出港大厅近，还有车免费接送，安逸!', '短评打分': 5}
