{'短评内容': '很好，环境优雅，适合度假！', '短评打分': 5}
{'短评内容': '红红火火哈', '短评打分': 5}
{'短评内容': '条件不错，就是没停车场。', '短评打分': 5}
{'短评内容': '前台接待员人好，卫生非常干净，价格也非常实惠，距离第一市场也非常近，附近公交车站也非常多，下次还会来的。', '短评打分': 5}
{'短评内容': '交通方便！环境也可以', '短评打分': 5}
{'短评内容': '经济实惠！干净，舒适，周围环境挺好的\n\n！', '短评打分': 5}
{'短评内容': '内宾就是不一样，给我一个套房，商家还送早点上门！', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '谁用谁知道！', '短评打分': 5}
{'短评内容': '不错，就是卫生间没有排气扇。', '短评打分': 5}
{'短评内容': '卫生还可以，但是卫生间什么都没有', '短评打分': 3}
{'短评内容': '不好', '短评打分': 4}
{'短评内容': '服务不错，这个地理位置很方便，交通便利，又紧挨第一市场，坐车方便', '短评打分': 5}
{'短评内容': '位置临街，好找。离第一市场近。我住在8001，相对安静些。晚上能听见卡拉ok的声音，但不是很吵。挺卫生的。这个价位还不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行！服务要加强！交通好！', '短评打分': 3}
{'短评内容': '地方脏，网络要长期打开门才用得了。', '短评打分': 3}
