{'短评内容': '挺好的，交通方便', '短评打分': 4}
{'短评内容': '安静，有特色。服务很棒', '短评打分': 5}
{'短评内容': '酒店还行，周边是工业区，吃饭的地方较少', '短评打分': 5}
{'短评内容': '打扫不干净 床边有烟头窗帘布下面绿色有瓶盖 浴室的沐浴露本来是黄绿色 挤出来有深褐色的东西', '短评打分': 3}
{'短评内容': '和两百多的酒店一样好', '短评打分': 5}
{'短评内容': '服务差  周围吵  没有网  阳台门锁坏', '短评打分': 3}
{'短评内容': '环境不错，房间设施不错，干净，下次来还住这里', '短评打分': 5}
{'短评内容': '性价比挺高的，硬件设施不错，酒店门口有一家很好吃的早餐店，与商业街相聚远了些，停车位多，适合自驾入住', '短评打分': 4}
{'短评内容': '卫生、服务态度、位置都是一如既往的好，已经是再次入住了。', '短评打分': 5}
{'短评内容': '酒店总体感觉不错，房间很大，也很清爽。下次还会来住。', '短评打分': 5}
{'短评内容': '卫生不错，房间环境不错，价格合适，周围交通比较方便，服务员服务态度很好，服务到位。', '短评打分': 5}
{'短评内容': '感觉总比锦江，7天差口气，凑合吧。方便第一。', '短评打分': 5}
{'短评内容': '性价比特高的一酒店', '短评打分': 3}
{'短评内容': '性价比超高的一家酒店，特别是特价房，很新也很干净，', '短评打分': 5}
{'短评内容': '很安静的住处，且真方便，在开发区找到这个地方，可贵。', '短评打分': 3}
{'短评内容': '表对<海门赛城阳光商务酒店>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入表对<海门赛城阳光商务酒店>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入表对<海门赛城阳光商务酒店>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入', '短评打分': 5}
{'短评内容': '服务很好，房间也很大，蛮干净的，房间还送矿泉水，就是隔音稍差一些，其他都不错。', '短评打分': 5}
{'短评内容': '地址有点偏吧感觉，打的不好打，得去十字路口，幸好也就2百米，酒店各方面都很不错，绝对好评，下次有机会还是会再去的！', '短评打分': 5}
{'短评内容': '  隔音效果很差很差  半夜别人很吵 早上清洁员很吵 别人关门 房间墙都震起来', '短评打分': 3}
{'短评内容': '很好，，，房间很大，一如既往的好。。就是把前台的效率不是很高', '短评打分': 5}
{'短评内容': ' 不错的。推荐', '短评打分': 3}
{'短评内容': '位置很好,房间不是很大,交通有点不方便,性价比还可以,', '短评打分': 3}
{'短评内容': ' 物有所值不错', '短评打分': 3}
{'短评内容': '：应该说这家酒店在价格定位上还是比较好的，选择的环境也不错，房间整洁干净！', '短评打分': 3}
{'短评内容': '还可以把 不过这里出租车坐进来容易，出来拦车真是没几辆啊！！？', '短评打分': 5}
{'短评内容': '还行。。。基本满意。。。空调很给力啊。。。', '短评打分': 5}
{'短评内容': '枕头有点脏，其他还蛮好的·················', '短评打分': 5}
{'短评内容': '环境很好，感觉蛮舒服的…', '短评打分': 3}
{'短评内容': '酒店不错的。设施都很齐全，也有网线，吹风机。不过地点在工业区这里。虽然对面就有公车，不过太迟的时候总归有些麻烦。吃的地方也很少，不过酒店旁边那家西餐厅东西还是不错的。', '短评打分': 5}
{'短评内容': '我预定的是特惠大床房，床确实挺大的，而且房内是木质地板，看上去很舒服~有阳台，但是门是打不开的~房内有吹风机，而且有两瓶饮用水是免费的，这点还是蛮好的~热水也来的很快，放一会会就有了，不像一些酒店，放半天还不热~~有网线可以上网，也有数字电视~总体来说，新开的这家快捷酒店，还是不错的~', '短评打分': 5}
{'短评内容': '很安静的地方，房间很干净，经济实惠的房间，值得对推，就是到火车站有点远，不过这也是无法改变的事实，毕竟见的客户在开发区这边！', '短评打分': 5}
{'短评内容': '环境不错，就是前台效率有点低。。。设施还是不错的。。', '短评打分': 5}
{'短评内容': '酒店超大，房间多，而且每间都不靠马路，超安静\n但是第一晚房间没有网络，打了前台也没解决', '短评打分': 5}
{'短评内容': '比较偏僻，房间很大很安静，睡觉比较舒服，但是好像是新装修的有油漆味', '短评打分': 5}
{'短评内容': '相当不错的服务和住宿空间，是我住过的格林豪泰中比较出色的一家，唯一的缺点是原本该酒店门前有下沙出租车车队所在地，现已搬迁造成出门叫车极度不方便，遗憾啊。', '短评打分': 5}
{'短评内容': '入住感觉环境还不错!就是床上设施不是很干净', '短评打分': 3}
{'短评内容': '没有别家的格林豪泰设施好，地理位置很偏，我们住的那次床单很不干净，有头发还有油漆渍。', '短评打分': 1}
{'短评内容': '房间很大，很干净，帮同学定的，他的评价很高，很满意，我也很开心，呵呵', '短评打分': 5}
{'短评内容': '很好的啊，服务很到位的，卫生也很好。。。。。。', '短评打分': 5}
{'短评内容': '酒店很好，里面设备都很新，环境也不错，还有阳台，空间也很大，总之想的到的东西基本上里面都有，很喜欢，很满意，是住过的酒店中比较好的了。', '短评打分': 5}
{'短评内容': '环境和服务都不错，地方也蛮安静的，就是偏了，打的不是很方便。', '短评打分': 5}
{'短评内容': '挺干净', '短评打分': 3}
{'短评内容': '环境和卫生都不错，服务也很好，点评晚了，不好意思', '短评打分': 5}
{'短评内容': '酒店环境很好，房间设施也比较新，价格合理，很满意~~', '短评打分': 5}
{'短评内容': '比较偏僻，房间收拾布草比较慢 房间很安静，睡睡比较舒服，但是好像是新装修的，油漆味很浓', '短评打分': 5}
{'短评内容': '有蚊子，哭', '短评打分': 3}
{'短评内容': '有窗有阳台，床够大，就是不能刷卡', '短评打分': 3}
{'短评内容': '很不错哦。干净舒服。很满意呢。很不错哦。干净舒服。很满意呢。很不错哦。干净舒服。很满意呢。很不错哦。干净舒服。很满意呢。很不错哦。干净舒服。很满意呢。很不错哦。干净舒服。很满意呢。', '短评打分': 5}
{'短评内容': '  地理位置比较好，周围环境比较安静，停车位想的多。房间蛮大的，下次还会住！服务周到，这次还送了月饼，很温馨！', '短评打分': 5}
{'短评内容': '物超所值', '短评打分': 3}
{'短评内容': '服务态度很好，房间很干净，住得很舒服。', '短评打分': 3}
{'短评内容': '新开的酒店，交通便利，环境很好，酒店的服务态度也是非常不错的。尤其是酒店用品都是全新的，非常HAPPY，可惜的是暂时还不能刷卡的，不过据悉应该很快就可以了，我已经第二次入住了。', '短评打分': 5}
{'短评内容': '环境挺好。很安静，价格也很实惠。', '短评打分': 3}
{'短评内容': '酒店环境设施都不错、、服务也挺好！！！！卫生打扫啥的都狠及时！！！隔音效果也很好！！！总之、、硬件软件都不错！！！！', '短评打分': 5}
{'短评内容': '新开的酒店，交通便利，环境很好，酒店的服务态度也是非常不错的。尤其是酒店用品都是全新的，非常HAPPY，可惜的是暂时还不能刷卡的，不过据悉应该很快就可以了。', '短评打分': 5}
