{'短评内容': '房间设施完善，干净卫生，服务态度好！', '短评打分': 5}
{'短评内容': '每次出差都来这，很方便。服务很好，楼上餐厅吃饭也很方便，口味比一般饭店都好，正餐25，早餐18，最爱吃早餐的挂面', '短评打分': 5}
{'短评内容': '设施不错，环境可以', '短评打分': 4}
{'短评内容': '不错。  服务员还主动打扫房间。都不需要提醒。 住的也舒适', '短评打分': 5}
{'短评内容': '很好不错很好不错很好不错', '短评打分': 5}
{'短评内容': '还不错，就是隔音一般！你懂的哈哈', '短评打分': 4}
{'短评内容': '还不错的，就是wifi吧不怎么样', '短评打分': 5}
{'短评内容': '非常非常好!', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '一贯的好！空调很给力！下次还会过去！  ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '房间不小，服务一般，还没住就让结账，早餐就是固定的，不是自助餐', '短评打分': 4}
{'短评内容': '服务有点提高', '短评打分': 4}
{'短评内容': '好评', '短评打分': 5}
