{'短评内容': '差不多', '短评打分': 2}
{'短评内容': '床垫很薄，被罩不干净。睡一宿觉，浑身酸疼。地毯上肮脏的很，楼道里可见垃圾。', '短评打分': 2}
{'短评内容': '设施陈旧，服务差，交通不便', '短评打分': 2}
{'短评内容': '这是最差的酒店，简直坑爹，超级恶心。早餐的鸡蛋凭房卡限量供应，还600的房产。', '短评打分': 1}
{'短评内容': '不错，好呢', '短评打分': 4}
{'短评内容': '房间连水都没有喝的，叫服务员直接叫我下去取，还有就是评分是自己自评的吧！希望你们好好审核，真心太坑，房间装修真心差，还有就是看电视频道有些都已经过期，是什么情况？是不是没有交呐电视费', '短评打分': 1}
{'短评内容': '位置偏僻，服务态度差', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '实在不敢恭维，酒店年久失修，非常老旧，难以入眠，不可再住！', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '一家招待所一样的酒店自称四星大酒店呵呵笑死人，卫生非常的差住进去会影响你的游玩的情绪。', '短评打分': 1}
{'短评内容': '空调不行，服务态度很是一般。', '短评打分': 3}
{'短评内容': '不推荐。', '短评打分': 2}
{'短评内容': '酒店设施陈旧，有味道，毛巾泛黄！', '短评打分': 3}
{'短评内容': '一行20多人去到该自称四星的小酒店吓一大跳，完全是一群骗子，小家如此小的宾馆自称大酒店。', '短评打分': 1}
{'短评内容': '超让人失望的一家酒店。问个路报不清楚，因为没路名，弄得我们晕头转向。好不容易找到酒店后，又告知已没有房间，又把我们转到另一间叫百成的酒店。给个房卡，打不开门，折腾半天，是电脑还没开锁。也没听到个对不起。晚上多要个枕头，回答是没有。说是四星标准建造，但卫生实在是不敢恭维，早餐的用餐环境好像路边摊，失望透顶~~', '短评打分': 1}
{'短评内容': '我很认床，所以一般都很不去旅游，这次老公带我订了这家酒店的大床房，感觉真的不错，给人感觉很干净，床单还有清香，赞一个', '短评打分': 5}
{'短评内容': '酒店服务很贴心，还安排车辆接送，接机、出门逛街、吃饭非常方便。房间很干净，各种设施都很齐全，价格合适。', '短评打分': 5}
