{'短评内容': '隔音真差！难睡', '短评打分': 2}
{'短评内容': '出入方便，酒店附近有市场，可以购物一些家用食品', '短评打分': 5}
{'短评内容': '感覺性價比不是很高，不過服務態度挺好，地點和交通倒是挺方便的。', '短评打分': 4}
{'短评内容': '房间太小了，如果考虑居住条件，就别选这家了，就是一张床。酒店位置不错，离铜锣湾很近，不行五分钟就到了', '短评打分': 3}
{'短评内容': '条件和国内无法比，地理位置还可以，离湾仔地铁站很近，附近有三联书店，距离时代广场一站地，离金钟，中环，都很近。去尖沙咀到湾仔码头坐船3.5港币也很方便', '短评打分': 4}
{'短评内容': '周边环境方便，房间虽小，卫生还不错，但是，我订的时候明明是优先预留双床，去到酒店，说，中介没有指定，当天双床房都满了，想要双床就要加钱升级，请问谁坑了谁？', '短评打分': 4}
{'短评内容': '位置特别好，走路湾仔地铁站5分钟，就是房间特小，没有放箱子的地方。如果行李不多，旅游购物，还是值得推荐。', '短评打分': 4}
{'短评内容': '出差定的这里 特价还可以 如果是平时价格1000多还是有点偏贵 房间干净 整体不错 就是什么都是很挤很小的感觉 习惯了就好 大家在特价的时候入住很划算', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 4}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '还行 房间小点', '短评打分': 5}
{'短评内容': '位置不错，房间有点小了，对得起价格', '短评打分': 5}
{'短评内容': '位置不错，环境一般，对得住价格', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'Conveniently located, small compact rooms, efficient staff, budget price, very clean.', '短评打分': 5}
