{'短评内容': '有停车位离酒店很近，房间很干净有窗户，环境不错。', '短评打分': 5}
{'短评内容': '老板人不错，服务很周到，可以代买门票。', '短评打分': 5}
{'短评内容': '房间还可以环境很不错离景区只有一条马路之隔很方便。', '短评打分': 5}
{'短评内容': '房间很干净，设施也比较齐全。酒店离古镇很近，几步路就到景区，很方便。下次来一定还住这边。', '短评打分': 5}
{'短评内容': '人太多了一直堵车好在房间不错蛮好。', '短评打分': 5}
{'短评内容': '很不错的酒店很不错的服务', '短评打分': 5}
{'短评内容': '位于周庄景区入口处附近，进入古镇游览区非常方便。酒店设施齐全，房间干净，每个房间都有独立的wifi，这点我觉得很好，再也不用和别人挤一个，老板娘很热情，感觉很舒服的一次旅行，值得推荐的酒店呢。', '短评打分': 5}
{'短评内容': '酒店离古镇近，环境好，设施新又齐全，老板又很热情，有问必答。房间里特别的干净', '短评打分': 5}
{'短评内容': '网上看到的，真的是不错的酒店，卫生干净整洁，环境优雅，设施齐全，最主要是离古镇很近，走几步都到了。听说去年新装修的，真的很不错，下次有朋友一定推荐。', '短评打分': 5}
{'短评内容': '酒店很新，房间很好，老板一家都很热情，服务很好，去周庄里非常方便', '短评打分': 5}
{'短评内容': '位置优越，服务热情，方便实惠！', '短评打分': 5}
{'短评内容': '要不是遇到十一出游，先前订的酒店突然反悔不确认订单，害的临时再着急找，应该是不会选择这家，虽然位置既临河又在景区门口附近，但因为在景区外，所以很嘈杂，但价格可是一下猛涨到500多，够黑的。平时估计100多都悬。虽然喷了很多84，但室内室外蚊子飞虫仍很多，非常不干净，也许是私人民居搞接待就是这个水平吧。', '短评打分': 3}
{'短评内容': '位置不错 过个马路就是古镇了 性价比高', '短评打分': 5}
{'短评内容': '设施太差了，订晚了。订了3个标准房，一个房间晚上冷水都没有，纯洗热水要烫死人的。一间标准房要374。太贵了。下次要早点订。', '短评打分': 4}
{'短评内容': '环境很好，房间干净，离景区很近，游览方便。', '短评打分': 5}
