{'短评内容': '价格便宜，离老国展近', '短评打分': 3}
{'短评内容': '还不错！虽然没有大酒店那样的装修，家具也是比较古老了，但是给人一种重回解放前的感觉（褒义）！还算干净，住的也不错，总体来说还可以，是比较能接受的！', '短评打分': 4}
{'短评内容': '还可以就是家具有些陈旧', '短评打分': 3}
{'短评内容': '交通方便，有网络，环境一般吧，离国展很近的哦', '短评打分': 3}
{'短评内容': '环境挺好，挺意外，很满意', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店不错，很方便。', '短评打分': 4}
{'短评内容': '酒店卫生一般，其他还好', '短评打分': 4}
{'短评内容': '酒店的商业消费地理环境不错，用餐购物很方便。相对于价格来说，设施有点陈旧，与期望值有点差距。预订时标的与地铁口相差不到1公里，实际走路要20分钟，有点名不副实。但还属于步行圈内。总体还算可以。', '短评打分': 4}
{'短评内容': '周边性价比非常好的酒店，卫生很干净！', '短评打分': 5}
{'短评内容': '交通便利去机场方便，旁边就是家乐福，买东西也很方便。', '短评打分': 4}
{'短评内容': '地理位置真的很好，就在国展对面，如果来国展参会，在没有比这个更方便的了，对面就是个很大的家乐福，楼下有肯德基，必胜客，吉野家等快餐很方便，房间很大，有30平米，卫生间也挺大，不过就是空调不是很给力', '短评打分': 5}
{'短评内容': '很老的酒店，地理位置方便，价格也不贵。性价比还行。', '短评打分': 5}
{'短评内容': '设施有些旧，房间空间大，暖气足，床铺干净。价格有些贵。', '短评打分': 5}
{'短评内容': '该酒店性价比不错，位置、交通、热水都不错，不足的是隔音效果不好。', '短评打分': 5}
{'短评内容': '还行。酒店位置挺好的。不管是吃和出门打车都挺方便的。楼下一墙之隔就是麦当劳和必胜客。出门左转就是一条小吃街。唯一美中不足就是，房间设施陈旧了些。总的来说还可以；下次还会考虑住那里.....', '短评打分': 5}
{'短评内容': '位置不错。离展馆很近。\n房间还行。\n反正性价比是可以的。', '短评打分': 5}
{'短评内容': '酒店还不错，位置也很好，卫生也不错，就是太贵了', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ' 住国展宾馆参加展会很近很方便。', '短评打分': 3}
{'短评内容': '酒店离老国展比较方便~周围吃饭很方便~~就是交通不通地铁~~', '短评打分': 5}
{'短评内容': ' 好，方便', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': ' 旧是旧了点，临时住一晚还好。网速不错', '短评打分': 3}
{'短评内容': '非常好的酒店 卫生条件 服务都很这里好 下次还住这里', '短评打分': 5}
{'短评内容': '如果为了参展，还是不错的，就在老展馆对面。下面吃饭也算方便，必胜客，肯德基，茶餐厅都有。宾馆比较干净，就是连吹风机也没有，借来用还要押100块，就是这个两星的价格有点高', '短评打分': 5}
{'短评内容': '还可以，不错的，下次还会选择这家酒店的。', '短评打分': 5}
{'短评内容': '帮同事订的，说是还好吧；帮同事订的，说是还好吧；', '短评打分': 5}
{'短评内容': '位置不错，价位合理，房间也不会很小。附近吃饭很方便。服务比较热情。 比较安静。\n', '短评打分': 5}
{'短评内容': '位置不错，价位合理，房间也不会很小。附近吃饭很方便。服务比较热情。', '短评打分': 5}
