{'短评内容': '很好很喜欢，给朋友们定的酒店，夜聊超开心。离家里挺近的，有朋友来的话住在这里特别的方便，以后还会考虑的。', '短评打分': 5}
{'短评内容': '不错，可以。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，位置方便，便于寻找，配置好', '短评打分': 5}
{'短评内容': '酒店的位置还不错 走不几步就有公交车 去武汉站还有汉口站 武昌站都有公交车附近吃的东西也很多 没有问有没有早餐前台服务还算不错 就是退房的时候他们给提前做了费用 有点太积极了房间的床是最舒服的 很软 很赞', '短评打分': 5}
{'短评内容': '卫生！环境好！', '短评打分': 5}
{'短评内容': '老会员了！习惯这里！', '短评打分': 5}
{'短评内容': '老会员了！习惯这里！', '短评打分': 5}
{'短评内容': 'JD上预定要比好多到店会员划算的多！', '短评打分': 5}
{'短评内容': 'JD上预定要比他会员划算的多！', '短评打分': 5}
{'短评内容': '可以 不错', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '酒店位置出行方便，房间干净整洁', '短评打分': 5}
{'短评内容': '交通方便，总体不错', '短评打分': 5}
{'短评内容': '交通方便，总体不错', '短评打分': 5}
{'短评内容': '交通方便，总体不错', '短评打分': 5}
{'短评内容': '总体不错，交通方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间很宽敞明亮，设施比较新，干净。很喜欢他们家的床，很舒服。卫生间有点不好就是一洗澡整个地都湿了，马桶和喷淋没有隔开。', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '还不错 性价比高', '短评打分': 5}
{'短评内容': '环境一般，服务挺好！还是比较满意', '短评打分': 4}
