{'短评内容': '非常好的酒店，下次还要来！', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '很不错 其实也没有说非常豪华 但是住起来就是非常舒服，希望下载过来 还是可以住到这了赶紧846134843的房间', '短评打分': 5}
{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。 服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '酒店位置的不错，周边吃饭的地方很多，前台非常有礼貌，房间不大，不过挺干净，就是冲凉房的排水不太通畅。', '短评打分': 4}
{'短评内容': '住宿条件很好，前台很负责', '短评打分': 5}
{'短评内容': '酒店环境不错，服务员态度很好，房间比较整洁。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境很好，很安静', '短评打分': 5}
{'短评内容': '常住，习惯了', '短评打分': 3}
{'短评内容': '闹中取静，还可以吧', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 4}
{'短评内容': '住得很舒服', '短评打分': 5}
{'短评内容': '酒店不错哦，推荐！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店不错，安静卫生。', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店 还是可以的。但没有WIFI 不太方便。还有 房价我觉得如果可以便宜三拾就差不多了，现在觉得有点贵。毕竟不是市区，位置有点偏。坐地铁不太方便，打的士又远。', '短评打分': 5}
{'短评内容': '房间很舒服，喜欢那面镜子，把房里的整体空间扩大了很多。洗浴的喷头很好，不错的酒店', '短评打分': 3}
{'短评内容': '环境还好，不过服务员态度不怎么样～', '短评打分': 3}
{'短评内容': '到岭南那边考试。。就订了这间，。挺不错的。。。干净。有酒店该有的感觉。简洁，豪华。', '短评打分': 5}
{'短评内容': '二个人住合适，一个人住有点浪费，除了空间大外，美中不足的是没有窗户', '短评打分': 5}
{'短评内容': '很安静的一家酒店，周围很购物吃饭都很方便，到店时门市价已涨价，但还是按网上预定价格，推荐。', '短评打分': 5}
{'短评内容': '服务不够到位，房间消费，要亲自下去前台拿。冷热水标识不够明显。', '短评打分': 1}
{'短评内容': '环境不错，装修还是挺新的，~~第一次住的是无窗单人房，一点异味都没有，不错不错', '短评打分': 5}
{'短评内容': '比较干净,离我要去的地方比较近，卫生可以，服务员也可以，下次会再选择的，呵呵', '短评打分': 5}
{'短评内容': '房间有点吵 因为在附近考试 选择住这里 离考试地点倒是很近 做车也还算方便 就是好偏', '短评打分': 5}
{'短评内容': '在这个区域内相比较而言是比较好的，正规的酒店。', '短评打分': 5}
{'短评内容': '酒店环境不错，很舒适，交通也还算便利！工作人员很热情！', '短评打分': 3}
{'短评内容': '进房间一看，虽然小了点，但是很整洁。很不错，干净舒适。附近吃饭也方便，适合到开发区出差的人士居住~', '短评打分': 5}
{'短评内容': 'goodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodggoodgogoododgoodgoodood', '短评打分': 5}
{'短评内容': '还不错，房间干净卫生，就是价钱贵了点', '短评打分': 3}
{'短评内容': '其他还可以，就是没有免费的剃须刀。。。。。', '短评打分': 5}
{'短评内容': '环境可以服务态度不错', '短评打分': 3}
{'短评内容': '不错，服务态度好，环境还好，就是位置偏了点', '短评打分': 5}
{'短评内容': '两张床之间间距较小，不方便。其他都还好，算是附近不错的选择了', '短评打分': 5}
{'短评内容': '房间地板差，电视太差是2个缺点，其他都还可以！', '短评打分': 5}
{'短评内容': '房间还算干净,但厕所全透明不太满意.', '短评打分': 3}
{'短评内容': '酒店的条件只能算一般吧，还算整洁，就是价格有点小贵，可能是赶上广交会的缘故吧，旁边好像有个舞厅，晚上比较吵。', '短评打分': 5}
