{'短评内容': '早餐还不错，品种丰富，卫生', '短评打分': 5}
{'短评内容': '有停车位！', '短评打分': 4}
{'短评内容': '好。。。。。', '短评打分': 5}
{'短评内容': '很好。。。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '在这里住了两周还可以，为啥要给服务打五星，因为有个前台妹子长的真的好漂亮，而且随时都是微笑！每次看到都怦然心动的初恋的感觉。。嘿嘿，妹子好像叫黄潇看押金单上写的', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还可以的 很棒的酒店', '短评打分': 5}
{'短评内容': '还可以的 很棒的酒店', '短评打分': 5}
{'短评内容': '还可以的 很棒的酒店', '短评打分': 5}
{'短评内容': '县城里过得去', '短评打分': 4}
{'短评内容': '性价比很不错，值得推荐', '短评打分': 4}
{'短评内容': '墙上掉墙皮，灯光太暗，感觉不值这个价钱。', '短评打分': 3}
{'短评内容': '心情很美丽', '短评打分': 5}
{'短评内容': '来射洪都住这里。。。。。', '短评打分': 3}
