{'短评内容': '总体来讲还算可以，跟星级酒店有一定差别！', '短评打分': 4}
{'短评内容': '杭州那一块很不错的酒店了，很好！', '短评打分': 4}
{'短评内容': '很吵', '短评打分': 3}
{'短评内容': '酒店设备很陈旧了，就是为了工作而选择的，性价比一般', '短评打分': 2}
{'短评内容': '环境不错，价格优惠', '短评打分': 5}
{'短评内容': '隔音差，设备旧，可以考虑重装修了', '短评打分': 3}
{'短评内容': '环境舒服，交通比较方便，下次还会再来', '短评打分': 2}
{'短评内容': '一般般了哎呀，不懂怎哦说了', '短评打分': 3}
{'短评内容': '昨晚又停电了，哎呀不知道怎么说了', '短评打分': 3}
{'短评内容': '环境不错，交通便利，价格适中', '短评打分': 3}
{'短评内容': '嗨好吧 一个月了还是那么难说话', '短评打分': 3}
{'短评内容': '环境还行，就是房间太小。环境还行，就是房间太小。', '短评打分': 5}
{'短评内容': '：房间隔音差，打扫卫生不及时，其他满意。', '短评打分': 3}
{'短评内容': '环境是不错，但是服务态度不太好，一点都不热情。而且订的住两天的，一大早还去敲门问要不要续住', '短评打分': 1}
{'短评内容': '酒店服务设施一般，让我不满意的是不能2点退房，一定要我12点退房，我解释多次我要考试希望能通融一下，让我中午休息一下，可是柜台都不予理睬，虽然是小事，可严重影响我的心情，一点都不人性化，不为顾客着想！而且电脑房的电脑一直蓝屏，订餐电话也也没人接。', '短评打分': 1}
{'短评内容': '服务很好，环境也很好。住得很舒服！推荐！', '短评打分': 3}
{'短评内容': '酒店距离外环不是很远，周边出行还是很方便的，附近有超市和大型商场，购物方便，酒店服务员态度热情温柔，会主动帮我叫车，感觉很贴心', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间卫生条件很好，主要以为白色为主，感觉蛮干净的，卫生间洗漱用品齐全，住宿条件还可以', '短评打分': 5}
{'短评内容': '服务人员态度都很热情周到，随叫随到，前台办事效率快。房间整理的很好，干净，卫生，酒店在快速环道上，开车出入蛮方便的，房间布置的很温馨', '短评打分': 5}
{'短评内容': '房间蛮大的，装修的很好，布置的不错，房间里还可以上网，酒店周边环境很好，吃饭方便，交通很便利', '短评打分': 5}
{'短评内容': '卫生很好，每天都会有专人打扫房间，服务员办事效率高，随叫随到，房间布置的很现代化，卫生条件很好，很干净，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店的服务很好，前台服务员蛮热情周到，房间卫生还可以比较干净，洗漱用品提供的很一般，酒店位置还成，出行算比较方便的', '短评打分': 3}
{'短评内容': '住宿环境很好，房间布置的很不错，格局很好，卫生条件不错，打扫的很干净，前台服务周到热情，住宿条件还可以', '短评打分': 5}
{'短评内容': '酒店服务态度还可以，很周到热情，房间装修的比较大方简洁，其他感觉很一般', '短评打分': 3}
{'短评内容': '酒店的服务很好，热情周到，房间卫生条件很好，蛮干净的，性价比蛮高的酒店，下次还会住的', '短评打分': 5}
{'短评内容': '酒店地理位置不错，出行方便，周边与餐厅和商场，购物很方便，房间卫生条件很好，很干净，装修的比较简单大方，布置的很温馨，还可以上网，很方便，前台服务员很热情周到，服务态度蛮好的', '短评打分': 5}
{'短评内容': '洒店不错', '短评打分': 5}
