{'短评内容': '整体还可以，就在江边，看个夜景还是不错的', '短评打分': 4}
{'短评内容': '没有早餐！但观景还不错！景区内都没有停车场，需要在古镇外停好车后步行到客栈！步行时间十几分钟！客栈了代订一日游、民族表演等', '短评打分': 5}
{'短评内容': '太差了！出一身汗，洗面没水，洗澡没水，热水更不要想，连冲厕所也没有水，隔音相当差，一大早就被楼下旅客吵醒，wifi也上不了，什么玩意啊！', '短评打分': 1}
{'短评内容': '海口抗锯齿反对腐败规划将美女规划感觉今年丰富更好更近你会更丰富黄金季节刚好斤斤计较家黄金季节结局海景就会更高', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间很小但赏江阳台不错，天气冷所以浪费了，不过离停車位置太远，建議手提換洗衣服就好', '短评打分': 3}
{'短评内容': '位置不错，景色也很好…干净卫生…唯一不方便的就是屋里没有挂衣服的地方', '短评打分': 5}
{'短评内容': '房间还是小了点，衣服没地方摆放，大衣外套更是没地挂！', '短评打分': 4}
{'短评内容': '床头只有一个插座，过道的墙上却有一个，莫名其妙。吊脚楼阳台窗外景色非常美，沱江核心部分，就这点就值了。委托客栈定汽车票，不过客栈对接的中间人没给办好，到汽车站后告知原定时间的票没有了，得晚90分钟。还是自己去汽车站或者上携程订票吧，出门游玩，上午时段晚了90分钟耽误多少事！', '短评打分': 4}
{'短评内容': '环境不错 位置也处于古城中心 房间是没有一次性消耗品的 需要注意', '短评打分': 5}
{'短评内容': '环境很好，住的临江房，无线网络信号很好，就是被子很潮湿', '短评打分': 5}
{'短评内容': '酒店位置较偏僻，但是风景不错，但是房间内洗漱用品需自己购买', '短评打分': 5}
{'短评内容': '酒店就在河边，风景很美，下次啦还住这里', '短评打分': 5}
{'短评内容': '还不错。环境也蛮好的。晚上酒吧噪音太大。', '短评打分': 4}
{'短评内容': '还不错。 环境也蛮好的。 晚上酒吧噪音太大。', '短评打分': 5}
