{'短评内容': '酒店位置非常好，离景区很近', '短评打分': 5}
{'短评内容': '房间很喜欢，古色古香，就是淋浴水小了点！位置地段好，挺幽静的', '短评打分': 4}
{'短评内容': '是个民宿，小院环境不错，鸟语花香的，就在沈园旁边，出行方便。只是12月份去的，北方人受不了没有暖气屋里屋外一样冷的感觉。虽然房间里有空调，也不容易暖和起来', '短评打分': 5}
{'短评内容': '很不错的小院，全中式分格很对我们全家胃口，装修很精致，位置很好，与沈园一墙之隔，一进小院就犹如在家的感觉，老板和服务员很热情，还可以免费喝茶，对了，早晨是被鸟儿叫醒的哦。', '短评打分': 5}
{'短评内容': '就在沈园隔壁，离鲁迅故居也很近，整个院子不是很大，但是很清净。住的211的套房，一张1.5米床，一张1.8床。绝对适合带小宝宝住，随便滚，都不会滚地上。', '短评打分': 4}
{'短评内容': '干净整洁舒适', '短评打分': 5}
{'短评内容': '不太适合商务出差，不能开专票的，民宿性质', '短评打分': 4}
{'短评内容': '非常典型民宿，布置的非常温馨，特别是一楼的公共客厅一家人坐着喝茶聊天很是惬意，老板娘也非常热情，我们买的一大堆冻货也帮我们安排十分妥帖，只是说心里话，旁边的沈园很是一般。', '短评打分': 4}
{'短评内容': '闹中取静，值得推荐！', '短评打分': 5}
{'短评内容': '大越小院就在沈园边上一条弄堂里，装修的特别古色古香，站在二楼就能看到墙那头就是沈园，走出两条弄堂就是鲁迅故居，不用门票，刷身份证就能进', '短评打分': 5}
{'短评内容': '很雅致的小院，在沈园边，离鲁迅故里也非常近，出游方便。就是近期弄堂外马路在修，车要停到其它地方，稍有不便。', '短评打分': 5}
{'短评内容': '地理位置闹中取静，不过有点难找。好在店家热情地指路，还在路口相迎。住宿还不错吧，江南小院', '短评打分': 5}
{'短评内容': '小店服务一流，环境优雅，浴室很大。', '短评打分': 5}
{'短评内容': '很漂亮的小院', '短评打分': 5}
{'短评内容': '帮我姐姐姐夫订的，他们很满意！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店外观不起眼，但里面的房间很不错，大且干净，堪比四星级，地理位置也不错，离市区很近。', '短评打分': 5}
{'短评内容': '旅社给人一种家的感觉，进门的小庭院很漂亮，房间也挺干净的，态度也很好，到绍兴的话沈园青旅还是个不错的选择', '短评打分': 3}
{'短评内容': '不错, 适合年轻人的旅舍. 位置很方便, 性价比高!', '短评打分': 5}
{'短评内容': '环境很好，很适合青年人，过道的墙壁上写有很多人的留言，我没去找老板要笔，不然也可以写两句。。。我们订的标间，比后来住的一家青年旅社床要大，挺舒服的。还提供洗漱用品，不过我们都没用~~', '短评打分': 5}
{'短评内容': '环境超级好的旅店，墙上有很多人的留言什么的，有蝉鸣，而且老板人很好，老是麻烦他都不好意思了。离沈园和鲁迅故居都非常近。', '短评打分': 3}
{'短评内容': '居住环境清幽，比价性还可以，但室内的环境并不是十分理想。', '短评打分': 5}
{'短评内容': '位置非常好，到什么地方都很方便。价格这么便宜也就没有过多的期待。有一个小院子，和同事们一直海阔天空地聊到12点多钟，却是住酒店不可能有的享受。梅雨季节不推荐，太潮湿。', '短评打分': 5}
{'短评内容': '典型的江南水乡小院，老板非常热情，会帮你规划旅行线路及介绍相关可看景点。地点非常好就在鲁迅故居附近，步行大概10分钟可以到达。', '短评打分': 5}
{'短评内容': '好温馨的感觉，第一次住青年旅社，感觉就很好。', '短评打分': 5}
{'短评内容': '环境非常好，设施也很不错，价格也十分的公道，是旅行歇脚的好地方', '短评打分': 5}
{'短评内容': '房间有点小，毕竟迷你的嘛！打开门就是床，过道很小。', '短评打分': 1}
{'短评内容': '掌柜的哥哥很nice,游玩线路帮我设计的很合理。院落挺漂亮，地理位置非常方便', '短评打分': 3}
{'短评内容': '院子小小的，很舒服，老板人很好，还有一个喜欢吃虾的小女儿，邀上三五知己，在葡萄架下吃饭喝酒，感觉好惬意！', '短评打分': 3}
{'短评内容': '非常不错的小旅馆。去了两次了。不过两次都是上下铺。晚上在院子里看看电影感觉不错的啊。老板的菊花茶不错。很热情的老板。', '短评打分': 5}
