{'短评内容': '房间整体干净整洁，环境还好，主要是办事地方近', '短评打分': 5}
{'短评内容': '一二三四五', '短评打分': 5}
{'短评内容': '房型不错，卫生', '短评打分': 5}
{'短评内容': '将就', '短评打分': 5}
{'短评内容': '被套枕头看着不干净，上面有污渍。之前订酒店订了两个订单，所以打电话问了一下，前台服务态度很差，很不耐烦。附近在地铁施工，不过酒店提供了耳塞，而且晚上还算安静。', '短评打分': 3}
{'短评内容': '很喜欢，便捷', '短评打分': 5}
{'短评内容': '环境不错，比较安静！卫生也很好', '短评打分': 5}
{'短评内容': '楼外施工，楼内也有施工，噪音大。', '短评打分': 5}
{'短评内容': '地理位置很好，酒店环境也不错', '短评打分': 5}
{'短评内容': '还行，离锦里挺近的', '短评打分': 5}
{'短评内容': '酒店很棒，位置不错，比较好找～～～～～～服务也很好！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很划算的酒店！', '短评打分': 5}
{'短评内容': '服务一般的', '短评打分': 3}
{'短评内容': '服务一般的', '短评打分': 3}
{'短评内容': '昨天住了一次。感觉不错。今天又住了一天。第二次了。非常好嘻嘻嘻嘻嘻。房间很大。床很大，很软。非常舒服。就是不是中央空调。', '短评打分': 5}
{'短评内容': '超大空间，唯美感觉，强赞！！！', '短评打分': 5}
{'短评内容': '沐浴花洒洗着洗着水管掉了，该换了。地毯有点脏，也该清洗了。马桶也裂了，该换了。楼下有便利店挺方便，离周围景点也很近。总体来说，这个价格的酒店，还算性价比可以吧，我要求比较高而已。', '短评打分': 4}
{'短评内容': '酒店环境设施可以，房间设施分空间较大，周边现阶段修路。前台服务员态度有待改善。', '短评打分': 4}
{'短评内容': '酒店位置不错，离锦里，武侯祠很近，房间大，干净，推荐入住。', '短评打分': 5}
{'短评内容': '总体来说这个酒店不错，价格合理，房间比较大', '短评打分': 5}
{'短评内容': '特价房的性价比不错。这次是临街的房间，本来担心有点吵，关上窗户基本听不到外面车辆的噪音。', '短评打分': 5}
{'短评内容': '还是不错，新装修的挺干净也挺舒服', '短评打分': 3}
{'短评内容': ' 还不错，算是连锁里面比较好的', '短评打分': 3}
{'短评内容': '酒店房间还不错，还可以地下停车。服务也好。但就是装修稍显得旧些，早餐环境差些，餐品也不多。', '短评打分': 5}
{'短评内容': '特价房的性价比很高，返券50元后等于248元。\n1，酒店除了前台大厅比较山寨，房间很大而且明亮通风，给人感觉很舒服。\n2，床上用品还算中高档货，睡觉感觉不错。\n3，房间还有装修的味道，打开门窗通风30分钟后可以接受。\n\n总的来说性价比很高，房间大小及卫生状态都不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店旧,卫生不好. 早餐很差. 结账也很慢. 仅仅因为离工作地点近才定此酒店', '短评打分': 1}
{'短评内容': '大堂简陋，地上有小姐名片，房间大，但地毯不干净', '短评打分': 3}
{'短评内容': '酒店还不错啊，比较实惠，房间特别大，也很干净！就是酒店里面没有吃饭的地方！不过早餐还是提供的。另外，大堂再宽敞明亮点就更好了。', '短评打分': 3}
{'短评内容': '酒店房间不错，舒服干净，宽敞！\n如果大堂再漂亮点就更好了，另外，吃饭不是很方便，只有早餐，旁边就餐也不是很方便！', '短评打分': 5}
{'短评内容': '挺干净，床还是很舒适，只是配套服务不怎么齐全，总体还是满意。', '短评打分': 5}
{'短评内容': '朋友感觉非常好！', '短评打分': 3}
