{'短评内容': '前台的徐月服务热情。 酒店环境不错。值得来', '短评打分': 5}
{'短评内容': '前台收银徐月服务非常好，酒店离温泉很近，很方便', '短评打分': 5}
{'短评内容': '前台李岚服务态度不错，介绍详细', '短评打分': 5}
{'短评内容': '前台李岚服务不错', '短评打分': 5}
{'短评内容': '酒店环境不错  房间干净。前台徐月服务很好 ', '短评打分': 5}
{'短评内容': '郑思思服务员工的态度很好 ', '短评打分': 5}
{'短评内容': '酒店的服务特别好，重要的事情说三遍，可以多次泡温泉，我老公被亲亲鱼咬的有点发红，酒店的值班经理刘经理亲自帮忙用酒精消毒，前台的一个小姑娘（忘了问名字），也很负责任，谢谢了。对了，竹尖温泉晚上有个人造月亮', '短评打分': 5}
{'短评内容': '张宵服务很好，小姑娘很热情', '短评打分': 5}
{'短评内容': '许英姿服务很好，入住很满意！', '短评打分': 5}
{'短评内容': '李玲花服务很亲切', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '陈丽琴服务不错哦', '短评打分': 5}
{'短评内容': '房间很好，很干净', '短评打分': 5}
{'短评内容': '前台服務員李玲花服務挺好的', '短评打分': 5}
{'短评内容': '张宵服务好.', '短评打分': 5}
{'短评内容': '整体感觉不错，酒店四周竹海茶园环绕，风景独特，空气清新；步行几分钟可到御水温泉及农家乐，非常方便，值得节假日常去', '短评打分': 4}
{'短评内容': '酒店环境是真的好！值得推荐。', '短评打分': 5}
{'短评内容': '房间很干净，早餐也很丰盛，非常不错。', '短评打分': 5}
{'短评内容': '郑', '短评打分': 5}
{'短评内容': '陈怡蓉服务态度很热情、酒店环境很好、很满意！', '短评打分': 5}
{'短评内容': '前台陈怡蓉服务很好，很满意', '短评打分': 5}
{'短评内容': '地理位置好爆了～酒店还能订山水园和南山竹海的门票，关键还比网上预订的要便宜！！好好好，以后来玩还住这里！～', '短评打分': 5}
{'短评内容': '服务等等不好', '短评打分': 1}
{'短评内容': '已经住过n次了，酒店的环境真心赞，关健是很安静，空气又好，早餐也非常不错，品种丰富。离我喜欢的农家菜又近。总之就是一个赞。', '短评打分': 5}
{'短评内容': '住的复式别墅，一家人在一起，便于互相照应。房间设施很好，温泉很好，赞', '短评打分': 5}
{'短评内容': '同学亲子游，这家离南山竹海10分钟步行路程，而且酒店有个通道直达御水温泉，订了复式房，楼上大床楼下双床，都带卫生间，不过楼下只有浴缸，淋浴房在楼上卫生间，房间总的来说还是很整洁的，楼下阳台有点发黑。楼下可以看到对面的山和茶园吧应该是，我们住楼上，窗子开不了望出去只有一小块可以看到外面的地面，不过住的还是很舒服的。早餐选择比较多，但感觉中式菜的品质好些，其它一般。至于前台入住和退房都是同一位先生态度', '短评打分': 4}
