{'短评内容': '很不错的住宿之处，只是房间没有拖鞋，这个应该配上的', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '一点也不好，换了两个房间都有异味，第一个空调还不好用而且蟑螂特别多，大的小的一大群，非常的不值，差评', '短评打分': 1}
{'短评内容': '环境好，物美价廉。', '短评打分': 5}
{'短评内容': '交通很方便，可以看到很美的夜景，如果房间里的卫生和洗漱用品再好点就好了', '短评打分': 5}
{'短评内容': '四个大人带两个小孩儿，60多平方面的房子，有洗衣机，冰箱，房间有三张大床，就像一个家！也有无线网，很方便。虽然不能每天给打扫房间，但老板人很好，有需要尽量会满足哦！ 再说一点是，地点很好，楼下有公交站，还有轨道车202，都可以到星海广场，星海公园，圣亚海洋世界！404路直达老虎滩和森林动物园，楼下就是凯德广场、千盛百货、乐购，吃饭购物很方便，推荐！ 临走那天去对面的早市买了点海鲜，老板免费提供了锅', '短评打分': 3}
{'短评内容': '43楼，风景不错，老板服务态度很好', '短评打分': 5}
{'短评内容': '服务周到，交通便利，环境优雅、值得推荐！', '短评打分': 3}
{'短评内容': '店家在十八层，我们住47层，不能走同一部电梯，店家很热情，尽管卫生间有味，第二天续住，店家比网上价格还便宜了几块，但是这个价格在旅游旺季就比较贵，厨房，洗衣机都没有用，只用了电水壶。公寓，我觉得自己不适应，以后还是住连锁酒店吧。这个位置打车去星海十一块，去圣亚十四块，去棒棰岛二十四块，楼底四周有小超市，麦当劳，小餐馆好几家。', '短评打分': 4}
{'短评内容': '房间远没有照片看起来那么好,房间里一直弥漫着一股霉味,沙发\\床\\卫生间等看起来都不太干净,冰箱也是坏的,各种柜子一打开,各种巨脏乱,最离奇的是床头边的柜子,打开里面还有用过的安全套,用过的哦!!恶心得不得了~', '短评打分': 1}
{'短评内容': '我住在37层居高临下的感觉很好，大连比较热的天气，在房间也很凉爽，最主要就是消费很便利，下面有千盛百货，还有乐购，交通也很便利，到火车站打车15-20分钟很近，房间里面也有洗衣机，冰箱，微波炉，老板也很热情~', '短评打分': 5}
{'短评内容': '非常象家的感觉，宽带要是能免费就更好了……', '短评打分': 5}
{'短评内容': '老板人很好，定的普通客房，由于没有房间了，老板给免费升级到了海景房！在次说声谢谢。酒店地理位置很好，附近有各大超市，购物很方便。四周交通便利，出行很方便！是个好选择!', '短评打分': 5}
{'短评内容': '老板人很好，非常热情，免费升到海景房，房间宽敞，干净。唯一的遗憾是卫生间换气扇不好用，希望及时修理。', '短评打分': 5}
{'短评内容': '环境还可以，住着也自在，而且老板给挑了向阳的屋子，阳光很不错。', '短评打分': 5}
{'短评内容': '5月3号10点左右入住的，提前去了几个小时，老板很热情，本来预订的是情侣间，因为五一期间客人较多，预订没了，老板给免费升级到了海景房，房间很大，很明亮，而且很干净，有冰箱 厨具 洗衣机之类的 就跟自己的家似的 电视很大 躺在床上看着电视很舒服 开窗就是星海广场了，夜景还是非常的美丽的。酒店的位置很便利，就在和平广场，不论去哪玩都能方便的坐公交车。', '短评打分': 5}
{'短评内容': '公寓环境还不错，交通位置非常好，生活设施也不错！', '短评打分': 5}
