{'短评内容': '环境好标准化的房间适合休息', '短评打分': 5}
{'短评内容': '我就是渣男 找小三开的房', '短评打分': 5}
{'短评内容': 'ok,ok,ok', '短评打分': 5}
{'短评内容': '位置不错，吃东西买东西都方便，房间整理的可以，细节还可以加强，有提供浴巾，没有毛巾，浴室淋浴房的门是故障的。', '短评打分': 5}
{'短评内容': '位置好，价格好，服务不错', '短评打分': 5}
{'短评内容': '房间卫生还不错设施太简单空调效果差，没有地方停车，附近有购物超市买东西很方便吃的地方也挺多的，办了七天会员订房居然还能比在网上订房贵几十块钱一间，会员我也就呵呵了', '短评打分': 3}
{'短评内容': '遗憾的是没早餐', '短评打分': 5}
{'短评内容': '在深圳真不错了，这价位值了', '短评打分': 5}
{'短评内容': '外面晚上很吵，房间有蚊子，居然出现蟑螂。还有空调，打开以后一直嗡嗡的想，很烦人。其他的倒是没什么。他们这家活动的价格还可以，应该可以说在深圳算的上是最划算的宾馆了。可以推荐入住', '短评打分': 3}
{'短评内容': '马桶都冲不下去', '短评打分': 2}
{'短评内容': '一如既往，报名入住，OK', '短评打分': 5}
{'短评内容': 'OK的没问题，直接自报姓名入住。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还是不错的，柯伊拉腊啦哈哈', '短评打分': 5}
{'短评内容': '酒店很满意，价格合理。。。', '短评打分': 5}
{'短评内容': '除了价格不美丽，其他感觉还好', '短评打分': 5}
{'短评内容': '七天酒店，独自旅行，公务出差，闲暇约会，理想选择。', '短评打分': 5}
{'短评内容': '不错的体验 经济实惠！', '短评打分': 5}
{'短评内容': '还行，住了两天，不过就是有点偏僻', '短评打分': 5}
{'短评内容': '不错很好干净', '短评打分': 5}
{'短评内容': '不错   舒适干净', '短评打分': 5}
{'短评内容': '走哪儿就住哪儿', '短评打分': 5}
{'短评内容': '京东没住也扣费，还不能取消，醉了！', '短评打分': 1}
{'短评内容': '好！非常感谢满满的', '短评打分': 5}
{'短评内容': '酒店离华润万家超市不远，吃饭购物很方便，还有书城在附近', '短评打分': 5}
{'短评内容': '不错的。有机会还去', '短评打分': 5}
{'短评内容': '差评，搞了一上午才入住，乱七八糟的电话一大堆', '短评打分': 5}
{'短评内容': '舒适干净服务热情设施齐全', '短评打分': 5}
{'短评内容': '很好，干净整洁卫生，交通便利！', '短评打分': 5}
{'短评内容': '安静不错干净，下期继续光临', '短评打分': 5}
{'短评内容': '价格实惠，好找', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '前台服务员挺热情的', '短评打分': 5}
{'短评内容': '服务价格都挺好', '短评打分': 5}
{'短评内容': '卫生挺好的，离地铁站也近', '短评打分': 5}
{'短评内容': '服务态度很好，卫生也还不错', '短评打分': 5}
{'短评内容': '蟑螂特别多，wifi特别慢', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '太累了当天，附近有3家7天，好不容易找到。不过附近很旺，吃饭什么的很方便，离地铁也近。但房间和其他七天比就差了点。基本什么都没有', '短评打分': 3}
{'短评内容': '隔音太差，卫生条件不错', '短评打分': 3}
{'短评内容': '酒店还不错，交通便利', '短评打分': 3}
