{'短评内容': '在柳江来说，算是比较可以的酒店，之前有重新装修，环境相对来说还不错。就是早餐的的品种该换一换了。', '短评打分': 5}
{'短评内容': '对于柳江区整体环境来说，酒店蛮不错了', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '感觉还好了', '短评打分': 4}
{'短评内容': '酒店是当地最好的，虽然也一般，但是卫生还可以，城市周边差是没办法的，毕竟一个四线五线的城市', '短评打分': 3}
{'短评内容': '还不错~', '短评打分': 4}
{'短评内容': '出行就是希望住干净的酒店 能一直保持就好了', '短评打分': 5}
{'短评内容': '1.8米床，比标间贵，其他一样。不知道为什么。', '短评打分': 4}
{'短评内容': '没早餐，性价比低！', '短评打分': 4}
{'短评内容': '没早餐，性价比低！', '短评打分': 5}
{'短评内容': '酒店房间面积大，干净卫生，设施偏旧，没有早餐，性价比不高！', '短评打分': 4}
{'短评内容': '酒店很干净', '短评打分': 5}
