{'短评内容': '好，感觉很干净', '短评打分': 5}
{'短评内容': '房间卫生尚可，酒店在西大直街上，周围环境不错，比较热闹，出行较方便。酒店服务不错，早餐还可以，酒店设置尚可。', '短评打分': 5}
{'短评内容': '酒店早餐不错，淋浴水量大很好。', '短评打分': 4}
{'短评内容': '各方面都挺好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '入住好多次了，不错', '短评打分': 5}
{'短评内容': '今天上午进行了？但不一定都知道这是不是为了纪念活动上发表上述言论不代表没有了？今天中午吃的都不是我自己做错', '短评打分': 3}
{'短评内容': '很老的星级酒店，除了出行很便利之外，其他没什么好，进门就有很浓重的烟味，虽然酒店后来补做了除烟处理，估计也就是开下窗喷一下芳香剂。装修也老化了，空调基本不起作用。', '短评打分': 4}
{'短评内容': '酒店环境和服务都不错，算是哈尔滨比较好的酒店了', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '这次真是让携程伤着了，明明定的是大床房，住进来就是两个单人床，跟照片也不符，环境也差，给前台打电话，前台说就是这个房间，你可以给携程打电话问。无语到死，就一晚对付住吧！', '短评打分': 1}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '干静，卫生好', '短评打分': 5}
{'短评内容': '很喜欢 服务很好 交通也很方便 也很干净 ', '短评打分': 5}
{'短评内容': '房间还算干净整洁，就是办理入住和退房时速度太慢。', '短评打分': 5}
{'短评内容': '酒店环境还好，房间宽敞，设施较简单，早餐一般，交通便利。', '短评打分': 3}
{'短评内容': '酒店总体还不错，就是有蟑螂…', '短评打分': 3}
{'短评内容': '很好，性价比高，晚餐也算非富，不用出去吃。房间的用品过少，没有迷你吧什么的。', '短评打分': 5}
{'短评内容': '性价比较好', '短评打分': 3}
{'短评内容': '第二次住了，还不错的酒店，刚开业不到五年吧，毛巾有股消毒水的味道，感觉很干净，住的是it房有电脑的，电脑屏幕有点小，总的来说还不错。', '短评打分': 3}
{'短评内容': '入住办理方便快捷。环境较好！', '短评打分': 3}
{'短评内容': '哈尔滨飞泷国际商务酒店是出了名的服务差，别的还可以，暖气也热，内饰也可以，地点也行，就是服务态度差，服务态度差都出名了。但是这次还的服务还可以，虽说没笑脸，起码没遇到冷脸子。他家服务太差，我估计是服务人员开的少的原因吧，肚子里有怨气，呵呵、、、', '短评打分': 1}
{'短评内容': '会场的酒店，所以订了，实在很一般，早餐差的离谱，还不如没有反而能加些分，周围也不方便，不推荐。', '短评打分': 1}
{'短评内容': '感觉新装修了一部份设施，挺安静的，就是停车太难了，地下车库是要交费的，出来进去的还特别麻烦。应该属于市中心吧，去哪都挺方便的。', '短评打分': 5}
{'短评内容': ' 酒店位置不错 离哈工大很近 就是热水忽大忽小 不知怎么搞的 中央空调不能制热 晕 服务人员态度很一般', '短评打分': 3}
{'短评内容': '酒店服务还可以，环境还不错，就是退房的时候有点慢', '短评打分': 5}
{'短评内容': '这个酒店的前台服务太差劲，好像是没有培训过就上岗了。', '短评打分': 1}
{'短评内容': '环境不错，住得舒服。', '短评打分': 3}
{'短评内容': '1，虽然是一家新酒店，但酒店的设施比较差，卫生间漏水，热水不稳定，一会冷一会热，且天天如此；\n2，酒店里有餐饮业务，烟道设计有些问题，使用整个酒店里都充斥着饭菜和油烟的味道；\n3，靠近马路，窗户隔音效果不好，晚上噪音大。', '短评打分': 1}
{'短评内容': '优点：房间设施较新、卫生整洁、面积不小、网速快\n缺点：冷热水不稳定、临街不安静、周围无好的餐饮购物店、商品部购物不能挂账', '短评打分': 5}
{'短评内容': '该酒店位置不错，房间设施还算可以，性价比不错，', '短评打分': 5}
{'短评内容': '酒店性价比还不错，周边环境不错，房间设施相比较价格不错', '短评打分': 5}
{'短评内容': '建议外地游客及商务人士不要选择，会让你有很大落差。服务很差。', '短评打分': 1}
{'短评内容': 'The air-conditioning is not good.  But the location and price are ok.', '短评打分': 5}
{'短评内容': '性价比很好，还会入住。', '短评打分': 3}
{'短评内容': '这个酒店在哈尔滨算不错的。', '短评打分': 3}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '条件挺好，淋浴房渗水，影响过道通行。需要改进。\n', '短评打分': 5}
{'短评内容': '服务质量不是很好，跟南方服务比较真的很不给力，另外早餐很不好！', '短评打分': 1}
{'短评内容': '超赞的酒店!很有档次,迎宾很帅态度很好!二楼就是夏威夷自助很好吃。另外一定要去吃酒店附赠的早餐!', '短评打分': 3}
{'短评内容': '客房很干净，位置好而且方便出行办事.整体印象还是可以的，主要是服务给我感觉很亲切.', '短评打分': 5}
{'短评内容': '酒店的早餐时间太死板，给人印象不好。以后再看机会吧', '短评打分': 1}
{'短评内容': '酒店环境还是挺不错的，卫生设施也很好，性价比还是蛮合理的。', '短评打分': 5}
{'短评内容': '非常差，说是四星的，最多二星，不能洗澡（水温趋于两个极端），网络不稳定，基本不能用，早餐卫生极差，不敢吃。', '短评打分': 1}
{'短评内容': '住宿条件很好，下次还会入住', '短评打分': 3}
{'短评内容': '地方不错，三星的价格，四星的享受，不过马上到冰雪节了，已经提价了。', '短评打分': 5}
