{'短评内容': '考试住的，离石室初中很近，很方便，酒店情况一般。', '短评打分': 4}
{'短评内容': '不好，环境不好', '短评打分': 1}
{'短评内容': '酒店比较陈旧，但是还是比较干净。地理位置非常好！交通便利。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '勉强可以', '短评打分': 4}
{'短评内容': '考试才过来住的，房间太小了。而且设施也差，完全不值这个价', '短评打分': 3}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '非常干净卫生……交通便利……离万象城很近……携程旅行网服务还是这么好 ！芒果酒店也比较热情！态度不错……五星', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '在附近办事，交通还是比较方便，就是停车费劲', '短评打分': 4}
{'短评内容': '房间有蟑螂，靠近万象城，帮朋友订的，不是很满意，凑合住一晚', '短评打分': 3}
{'短评内容': '酒店没有早餐，酒店位置还可以，靠近大商场。酒店环境和房间整体太一般，不在入住', '短评打分': 2}
{'短评内容': '经济适用性强，无线网络信号不好，交通便利', '短评打分': 5}
{'短评内容': '太差，不会再住', '短评打分': 2}
