{'短评内容': '好好，不错啊啊啊吧啦啦啦啦啦开心，空间大，环境好，非常不错，下次去了还住，棒棒呃呃呃，在优惠点更好了，，', '短评打分': 5}
{'短评内容': '床舒服，空间大', '短评打分': 5}
{'短评内容': '酒店房间大 干净 服务员也很好', '短评打分': 5}
{'短评内容': '空间很大，值这个房价', '短评打分': 4}
{'短评内容': '房间非常不错', '短评打分': 5}
{'短评内容': '不错，开住好多次了，后来在这儿办了会员，也挺划算。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间很大，床单毛巾太旧了', '短评打分': 4}
{'短评内容': '非常不错的酒店，房间大，不比五星小，大堂和早餐提高一下，就是五星酒店', '短评打分': 5}
{'短评内容': '好，很好，非常好', '短评打分': 5}
{'短评内容': '酒店位于高校附近，周边环境稍微有点乱，但是离景点武侯祠较近，乘公交可以到达，可以省去自驾停车难的麻烦，但酒店设施相对比较老旧，卫生状况也很一般', '短评打分': 3}
{'短评内容': '装修有些旧，卫生细节注重不够，出行购物方便', '短评打分': 3}
{'短评内容': '酒店房间干净宽敞，周边环境好，会再来', '短评打分': 3}
{'短评内容': '房间挺大，设施齐全，早餐不错！缺点是毛巾有点脏', '短评打分': 3}
{'短评内容': '很干净，面积大', '短评打分': 5}
{'短评内容': '离师院近，酒店干净，价格便宜，性价比高。', '短评打分': 3}
