{'短评内容': '很好很好，安静的小院子！不错！', '短评打分': 5}
{'短评内容': '酒店位置还不错，网师园北那块，但是对于酒店卫生……不敢恭维了', '短评打分': 4}
{'短评内容': '老板人很好，房间干净，安全。', '短评打分': 4}
{'短评内容': '除了房间卫生不敢恭维以外，周边还不错的', '短评打分': 4}
{'短评内容': '热心的老板', '短评打分': 5}
{'短评内容': '因为离考点很近，就预订了，当时看图片不错，看评价4.2分还有点担心，其实真的很棒！照片是公共区域，古色古香。房间没拍，床铺是酒店的白色床单，有专人换好打扫卫生，虽然是六人间，但是有洗澡间和厕所，尤其是洗漱台和厕所、浴室是三个分开的，这就很方便了。现在是冬天，有空调，床垫也不错，不是很薄的咯人的那种。因为考试耽误了退房，老板也没加收钱，总之应该说特别好，特别好(✪▽✪)！', '短评打分': 5}
{'短评内容': '地理位置不错，房间的氛围是古色古香的，床是最有特色的！服务态度不错！', '短评打分': 5}
{'短评内容': '挺适合自己出去玩的时候住', '短评打分': 5}
{'短评内容': '青旅的位置在十全街附近，有公交车站，出行还是十分便利的。周边吃的和酒吧很多。这点还是不错我想着重说一下酒店卫生。因为我对住宿的要求就是干净。青旅虽然比酒店便宜，但并不意味着卫生就可以随便，设施可以很简单，但是卫生一定要好。房间看上去还是比较整洁的，也整理过，但是一走进去就闻到了房间里面有一股非常难闻的味道。住了两天后问题来了，腿上开始出现一颗颗的红点，很痒，我朋友也是。去医院看医生后说是跳蚤咬的。', '短评打分': 2}
{'短评内容': '1、热水不是24小时供应。在前台入住时才被告知是7点到晚上12点，与网站说明不符。2、电视机小且不说，摆放在床的旁边，只能坐起来看，非常不方便。3、房门内侧安全锁是坏的，通知服务员来修好之后，挂上安全锁，一拉门框都差点被带下来，实在不知道该说什么好。4、牙膏竟然是过期的，一次性洗漱用品如此质量卫生状况，我还敢用哪些。（Ps：实物见下图）5、停车场停车比较被动，门口传达室保安说停产场是里面玉石店的，', '短评打分': 2}
{'短评内容': '整体不错~老板人很好，很热情，', '短评打分': 3}
{'短评内容': '环境很好，很安静，空气清新。', '短评打分': 3}
{'短评内容': '还行，房间里有股味道，晚上很吵，隔音效果不好，浴室淋浴间没有门，不过很复古哦', '短评打分': 3}
{'短评内容': '房间够宽敞 应该不止10平方 电视空调都有 写字台衣架床都是复古型的 浴室水很大 就是淋浴的玻璃坏了 洗澡会把地都弄湿 但是影响不大哈 洗手池也是复古青花瓷型的 公共场所还有很多娱乐的东西 离网师园 东吴大学旧址很近 去平江路观前街狮子林也很方便 总体不错的', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，很有中国风，就是有点难找', '短评打分': 3}
