{'短评内容': '京东购物就是放心，推荐购买', '短评打分': 5}
{'短评内容': '酒店设施一般，但是还比较便宜实惠，交通也很方便，离北京西站很近', '短评打分': 5}
{'短评内容': '环境好 提供免费矿泉水', '短评打分': 5}
{'短评内容': '目前性价比高', '短评打分': 4}
{'短评内容': '无线信号太差了', '短评打分': 5}
{'短评内容': '可以哦', '短评打分': 5}
{'短评内容': '走的匆忙忘记拍照了，酒店不错。干净服务人员态度好', '短评打分': 5}
{'短评内容': '写的无窗却是有窗，环境还可以', '短评打分': 5}
{'短评内容': '方便，快捷，优惠', '短评打分': 5}
{'短评内容': '入住布丁好多次了，首先价格合理，干净整洁，都挺好，就是隔音不太好，希望有所改进。', '短评打分': 5}
{'短评内容': '还行。在北京能拿到这个价格很满意了。酒店离主路比较远所以安静，怕吵的可以选择。', '短评打分': 5}
{'短评内容': '某某某', '短评打分': 1}
{'短评内容': '啪啪啪的声音太大 差评', '短评打分': 1}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '大床房A，虽然无窗，但是感觉很温馨。离北京西站一站地铁，超实惠，还可以加开票', '短评打分': 5}
{'短评内容': '房间干净整洁，到周围环境稍微有点差。', '短评打分': 5}
{'短评内容': '环境不错 服务好 宽敞明亮 干净卫生 Wi-Fi信号好 交通方便 吃喝住行都方便  基本来这边都住这里 ', '短评打分': 5}
{'短评内容': '太小', '短评打分': 4}
{'短评内容': '便宜 价格合适', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 4}
{'短评内容': '不错，便宜，干净', '短评打分': 5}
{'短评内容': '房间面积有一点小，其他还可以！', '短评打分': 5}
{'短评内容': '住了好几次了，环境和服务都很好', '短评打分': 5}
{'短评内容': '和女朋友一起住，很浪漫啊', '短评打分': 5}
{'短评内容': '嘿嘿，环境真的很浪漫哦', '短评打分': 5}
{'短评内容': '房间有些小，不隔音。地点还可以方便去西站，', '短评打分': 5}
{'短评内容': '房间有点小，尤其是浴室…但是总体是不错的。上网刚好在修理，所以遇到了一些不方便的情况。橙色是主色调，很明快的颜色。周围有不少饭店。服务态度还不错。', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 3}
{'短评内容': '环境非常不错，也比较安静，附近小吃也好吃，就是地方偏了点！', '短评打分': 5}
{'短评内容': '对得起价钱了~屋子不大~没有浴巾~果真没有厕所门~喷头不错~比较值啦~', '短评打分': 3}
{'短评内容': '不错啊，我觉得还行拉，还是事实上和沙僧，哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '经济实惠，觉得还不错，服务也不错，下次去北京还去这', '短评打分': 5}
{'短评内容': '环境不错。前台人员很热情，帮助解决问题。很不错的哦。下次有机会还住。\n', '短评打分': 5}
{'短评内容': '酒店很好，很干净，环境也很好，交通便利，周围还有大卖场', '短评打分': 5}
{'短评内容': ' 入住北京西站的布丁酒店大床房…环境很不错…有空调…热水堡…电视…有纸巾…有消过毒的瓷杯 没有蚊子…我住的这间挺安静的…就是感觉被子 被罩不是很干净…交通很方便…吃的也很方便…总的来说还比较满意…', '短评打分': 3}
{'短评内容': '位置感觉有点偏 但大厅女服务员态度很好，酒店外饰不错 房间环境像是旅馆 不过很干净', '短评打分': 3}
{'短评内容': '不错、就是洗手间跟房间没有很好的隔开', '短评打分': 3}
{'短评内容': '前台人员很热情，帮助解决问题。很不错的哦。下次有机会还住。', '短评打分': 5}
{'短评内容': '酒店环境很好，坐车很方便，周围歺厅也很多，下次来继续住这里', '短评打分': 3}
{'短评内容': '住的二楼挺潮湿的，其他都还可以 就是手机不能连wifi', '短评打分': 5}
{'短评内容': '酒店的整体还是很好的，值得入住，服务也是不错的', '短评打分': 5}
{'短评内容': '比较实惠', '短评打分': 3}
{'短评内容': ' 虽然隔音一般 但环境很温馨 主要是交通便利 性价比很高 游玩值得一住', '短评打分': 3}
{'短评内容': '以前只听说过，这次亲自体验了特惠家庭房，真的实惠，感觉不错！下次继续选择小布丁！', '短评打分': 3}
{'短评内容': '环境不错，服务态度也挺好', '短评打分': 3}
{'短评内容': '很干净  住着很温馨  去西站比较方便啦····', '短评打分': 5}
{'短评内容': '房间装修不错，橘色的色调给人感觉很舒服，可是为什么没有一次性杯子呢？你要我怎么喝水啊', '短评打分': 3}
{'短评内容': '交通方便，酒店环境好，干净，服务也比较好，价格比较便宜。', '短评打分': 5}
{'短评内容': ' 没没窗户的房间有点潮，其他不错', '短评打分': 3}
{'短评内容': '1.酒店房间小,但设施齐全.\n2.离北京西站坐67路两个站,到六里桥南下车对面即到.\n3.楼下就有吃饭的地方,味道挺好得也不贵.', '短评打分': 5}
{'短评内容': '房间小了点，卫生间和大床没有很好的隔开，闷热加湿热，不过打开空调就好了。', '短评打分': 5}
{'短评内容': '房间干净，不错', '短评打分': 3}
{'短评内容': '很好，已经是第二次来这家宾馆住了，交通方便', '短评打分': 5}
{'短评内容': '地理位置不错，房间干净，住的舒心，走着累到了所以晚上睡的香！', '短评打分': 5}
{'短评内容': '酒店交通方便，房间干净，晚上也不会很吵~出门在外，住的舒心！', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 3}
{'短评内容': '整体不错，干净简单。但像大床这价位应该配有电脑。', '短评打分': 3}
{'短评内容': '还不错，比较喜欢，但频频长价，呵呵，为什么呀', '短评打分': 5}
{'短评内容': '我定的是大床房，还不错，整体比较简单，就是歌声效果真不好。我住的对门看电视声音我听得很清楚。', '短评打分': 5}
{'短评内容': '位置好，离西站很近，交通方便。服务好，环境干净,时尚。', '短评打分': 5}
{'短评内容': '很干净，服务很好，经济快捷，全国连锁，这是我最喜欢的酒店。', '短评打分': 5}
{'短评内容': '很舒适，就是厕所设计的很奇怪！', '短评打分': 3}
{'短评内容': '很不错的酒店，灰机灰来灰去！', '短评打分': 3}
{'短评内容': '店卫生较好，', '短评打分': 3}
{'短评内容': '服务极差，以后不会再住，差评', '短评打分': 3}
{'短评内容': '很一般啊。', '短评打分': 3}
{'短评内容': '真的很好 ', '短评打分': 3}
{'短评内容': '酒店太简陋了，卫生间地板砖斑驳的没剩下几块，就是价格便宜。', '短评打分': 1}
{'短评内容': '除了户型比汉庭、如家小些外，其他如室内环境、服务态度等都不比他们差，价格还比他们优惠。只可惜布丁连锁店相对较少。顺祝布丁生意兴隆。', '短评打分': 5}
{'短评内容': ' 一般吧！', '短评打分': 3}
{'短评内容': '真是不满意呀。', '短评打分': 3}
{'短评内容': '挺干净的，环境不错，离西站也近，就是不太好找，出租车司机也不知道在哪，最后让前台直接和司机说的', '短评打分': 5}
{'短评内容': '还不错，附近公交线路比较多，要是能做个附近公交车的小册子，对于来旅游的朋友来说更方便些', '短评打分': 5}
{'短评内容': '预定的10月1号到4日的房间。入住时发现房间很小很潮。价格比周围的酒店还略贵些。不推荐', '短评打分': 1}
{'短评内容': '酒店很干净，洗澡很不错！就是隔音差点儿，晚上被隔壁吵得难以入睡', '短评打分': 3}
{'短评内容': '酒店地理位置很好，交通非常方便，酒店内部也十分干净，但不足的就是没有浴巾和刷牙杯，其他都还是不错的~', '短评打分': 5}
{'短评内容': ' 环境卫生不错，服务周到，周边小吃也多，很满意', '短评打分': 3}
{'短评内容': '酒店整体来说还是不错的！就是我住的大床C窗户不是对外的对的是一个走廊，地理位置不错离公交站很近附近吃饭什么的也不贵', '短评打分': 5}
{'短评内容': '觉得很干净，而且服务很周到，我很喜欢。如果我以后有朋友要住旅店的话，会推荐这个旅店的哦。如果隔音效果好的话那就更好啦！！', '短评打分': 5}
{'短评内容': '＋还行，挺精致的旅店。', '短评打分': 3}
{'短评内容': '房间面积小一点，但很精致，服务也很好，房间内外卫生不错。排气扇有噪音，室内无排气扇关闭开关。总的说还是很好的。', '短评打分': 5}
{'短评内容': '还不错，就是换气有一点小噪音，还没法关闭，但影响不大。', '短评打分': 3}
{'短评内容': '房间很干净，环境也很好，只是房间的空间有些小', '短评打分': 3}
