{'短评内容': '已经退房了感觉还挺不错的，好评', '短评打分': 5}
{'短评内容': '楼里有几家公司，人员比较杂，卫生也一般', '短评打分': 4}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '环境卫生很好', '短评打分': 5}
{'短评内容': '洗手盘不能去水', '短评打分': 4}
{'短评内容': '环境不错，出门很方便，旁边就是东门。', '短评打分': 5}
{'短评内容': '厕所小，别的都还好。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '京东服务好，办事效率高，很附和现在的快节奏工作和生活！', '短评打分': 5}
{'短评内容': 'HHHHHHHHH', '短评打分': 5}
{'短评内容': '比店里的还便宜3元', '短评打分': 5}
{'短评内容': '不错，环境很好，很干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '挺性价比一般的酒店。', '短评打分': 3}
{'短评内容': '超差的体验，主要是晚班的工作人员,态度差得要死', '短评打分': 1}
{'短评内容': '酒店交通便利，服务良好，设施设备齐全，房间卫生干净，环境优雅，前台服务认真，设施设备齐全，值得大家入住！', '短评打分': 5}
{'短评内容': '环境卫生还可以 ', '短评打分': 4}
{'短评内容': '脏乱差，无语，不推荐入住', '短评打分': 1}
{'短评内容': '房间到处发霉，地板上还有饭粒，服务态度服务质量简直差劲，不推荐入住', '短评打分': 2}
{'短评内容': '非常好的酒店，服务很好，房间大', '短评打分': 5}
{'短评内容': '环境很好，交通很方便，房间很大！', '短评打分': 5}
{'短评内容': '酒店地理位置好，周边就是海鲜一条街和东门商业街，坐地铁方面，龙岗线晒布和蛇口线都在周边，酒店服务人员态度好比较热情，卫生挺好的', '短评打分': 5}
