{'短评内容': '都不错', '短评打分': 5}
{'短评内容': '一般吧，房间卫生不咋地', '短评打分': 2}
{'短评内容': '', '短评打分': 5}
{'短评内容': '清理房间的时候，既然不清理卫生间。沐浴露和洗发露都不更换，还要打电话要。服务不好！', '短评打分': 3}
{'短评内容': '早餐很丰富', '短评打分': 5}
{'短评内容': '很好 很安静', '短评打分': 5}
{'短评内容': '我很喜欢酒店的装修风格，大气蓬勃，网络是没有密码登陆的，网速很快，电视频道也挺多的，我很满意的一次住宿', '短评打分': 5}
{'短评内容': '性价比超高，很好！', '短评打分': 5}
{'短评内容': '性价比超高，很好！', '短评打分': 5}
{'短评内容': '性价比超高，很好！', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，性价比高!！！！！！！！！！！！！！！！！   ！   ！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '漯河最好的酒店之一了', '短评打分': 5}
{'短评内容': '来漯河住的最好的酒店了，老是换老板，服务还行。', '短评打分': 5}
{'短评内容': '很不错的地方。', '短评打分': 5}
{'短评内容': '一般，早餐需要改进', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '外观漂亮。宾馆后面有去郑州机场的大巴，方便。', '短评打分': 5}
{'短评内容': '交通方便，周围环境很好。早餐丰富，正好碰上打折促销，非常适合。', '短评打分': 5}
{'短评内容': '在漯河算是最好的酒店了,不过相比其他的开元酒店来说硬件设施相对要差一些', '短评打分': 5}
{'短评内容': ' 很好 在漯河是最好的了', '短评打分': 3}
{'短评内容': '酒店非常新，硬件可以达到五星级，但可能因为新开业吧，有些硬件质量没有保证，希望逐步完善，例如房门门缝过大，卫生间漏水等等。前台很热情也很具有亲和力，没记住接待我的两位员工的名字，但还是对他们映像很深，至少能够感觉到他们对工作的负责！强烈推荐……', '短评打分': 5}
{'短评内容': '酒店尚未全面装修完毕，但基本设施已较完善，服务标准很高，值得期待。下次一定再次入住。', '短评打分': 5}
