{'descr': '自己住房间整体不错', 'star': 5}
{'descr': '交通方便', 'star': 3}
{'descr': '环境优美，交通便利，靠近市中心，适合家庭生活和工作出差哈哈哈哈哈哈哈哈', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间蛮大的，也很干净，出差过去住的，很方便', 'star': 5}
{'descr': '快捷就那样吧', 'star': 4}
{'descr': '性价比挺不错的', 'star': 4}
{'descr': '不错的选择', 'star': 4}
{'descr': '满意', 'star': 5}
{'descr': '不错值得一住', 'star': 4}
{'descr': '还不错。。。。。。。', 'star': 5}
{'descr': '交通便利，', 'star': 4}
{'descr': '非常好 每次出差仪征都住这家酒店', 'star': 5}
{'descr': '小镇没有比较好的宾馆是属于工业园', 'star': 2}
{'descr': '卫生间的水小 而且水温不高 有待改进', 'star': 4}
{'descr': '商务大床房有点小，房间有点味道，最关键不能刷预授权，结账可以刷卡，其它还OK。', 'star': 5}
{'descr': '挺不错的，设备比较新，房间比较大，交通也挺方便，在一个好的位置！！！！！！！！！！', 'star': 5}
{'descr': '到酒店后感觉房间比较大，但是墙是木板的，隔音稍差！晚上很晚还有其他房间传来的电视声音', 'star': 5}
{'descr': '大床房的房间是迷你型的，墙纸脱落，隔音效果差，酒店卫生不是很干净，相比其他经济型酒店要差一点', 'star': 1}
{'descr': '很好的地方', 'star': 3}
{'descr': '宾馆不错，住了几次了，很实惠，环境也好', 'star': 3}
{'descr': '服务周到，热情；客房条件也令人比较满意！', 'star': 5}
{'descr': '很方便，很便宜，很干净！', 'star': 3}
{'descr': '方便；性价比不错，房间设施也都齐全。。。', 'star': 5}
{'descr': '一般般的酒店，下次不一定会住。。。。。。。。', 'star': 5}
{'descr': '订不到酒店,才订到这儿. 还行吧. 就是网络有点慢 .', 'star': 5}
{'descr': '房间味比较重，其他还可以，边上商店，银行很多，比较方便', 'star': 5}
{'descr': '服务态度很好，如果有WIFI就更完美了！', 'star': 5}
{'descr': ' 一点左右到的酒店。房间还没打扫，餐厅吃的点什么没什么，后来打扫完进到房间里发现门不能反锁！真是诸事不顺啊！', 'star': 3}
{'descr': '虽然装修简单，综合性价比挺高的，适合出差人员休息！', 'star': 5}
{'descr': '房间一般般，没窗户是住的有点难受的，不过这个价格差不多！', 'star': 5}
{'descr': '还不错，我非常喜欢，就是好像前台服务员好像很拽的样子。。我就想问了，你拽毛啊？？', 'star': 5}
{'descr': '还好，基本满意，便宜点就好了 ，谢谢你  亲 ', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '舒适干净', 'star': 3}
{'descr': '商务出差住了一天，地理位置还可以吧，周围吃饭地方很少，环境倒是干净舒服，网速是相当不给力！前台服务很热情！', 'star': 5}
{'descr': '投诉：160的的普通房，给我626号房间，三角形的边角房型，空调声巨响而且引起共振，根本无法睡眠，门缝大到可以插进手指，漏风无隐私，热水瓶不自动断电，手动断电把手给烫伤了，傍晚要求换房，服务员先说要加钱换商务间，我不同意加价。\n服务员给换了个无窗的小房间，32寸液晶变成了20寸的显像管老式电视，我再三问服务员，房价是否一样的，答复说这个房间也是160的，而且没有其他房间可以换。\n今天结账后，上网才', 'star': 1}
{'descr': '环境非常好,物超所值!', 'star': 3}
{'descr': '服务还是很不错的，只是房间如同山路十八弯，转好多圈圈', 'star': 5}
{'descr': '特价房为何变成两个床，以前就是一个大床，不解。', 'star': 3}
{'descr': '还不错，地理位置ok的，面积小了点，但是还算温馨。', 'star': 5}
{'descr': '服务很好，很干净。', 'star': 3}
{'descr': '服务好，妞漂亮，干净安全，下次还会住，好好好', 'star': 5}
{'descr': '价格合适，很干净，就里里面像迷宫，山路十八弯', 'star': 5}
{'descr': '交通便利，服务尚可！但\n1、电视很糟！！！100分钟内，它可以自动、反复重启、搜索21次，你根本无法正常看电视！而且还经常“卡带”——晕！\n2、房间气味很大——刺鼻难闻！', 'star': 1}
{'descr': '  听失望的，本来全家出行特别开心。128的特价间真的不敢苟同，也不知道是不是地区差异。太简单了！2张小床，老式的电视，空间很狭小，带个孩子没法住。\n   莫泰仪征店全部是挂式空调，这个季节吹一夜真的受不了，孩子闹了一夜，基本没睡。\n没有浴缸，没法调洗澡的龙头，有孩子真的不适合居住。\n   后来调了188的，基本一样，就是空间大一点而已。网上预订的，便宜10元，但是没有早餐，早餐是12元一个人，所', 'star': 1}
{'descr': '环境还不错，比较安静，因入住比较急，服务让人不是太满意。', 'star': 1}
{'descr': '最近就是网路电视有点死机 其他还好 。 还会继续支持的 。', 'star': 5}
{'descr': '不错 很喜欢 服务也很好 。会继续支持的 。', 'star': 5}
{'descr': '地理位置不错，环境也还可以，下次还会推荐给朋友入住。交通便利。鼎力推荐！地理位置不错，环境也还可以，下次还会推荐给朋友入住。交通便利。鼎力推荐！', 'star': 5}
{'descr': '很不错  很干净 很舒适   下次还会去的 。', 'star': 5}
{'descr': '服务很好 很干净  就是缴纳押金的时候 不能刷信用卡 这点比较郁闷 。', 'star': 5}
{'descr': '房间还算干净就是洗手间的灯是坏的  望改进', 'star': 5}
{'descr': '干净···价格便宜，唯一的不足就是行李没有地方放置望改进', 'star': 5}
{'descr': '价格有点贵！环境还是很干净，周围购物也很方便，服务很热情', 'star': 5}
{'descr': '酒店很干净地点也很方便，下次还会入住！服务员也很热情', 'star': 5}
{'descr': '莫泰不错，已经做回头客了！', 'star': 3}
{'descr': '性价比较高，环境设施不错，同等级酒店里值得关注！', 'star': 5}
{'descr': '酒店还不错，就是价格在仪征算是高了点，总不能跟一线城市也一个价，是吧', 'star': 5}
