{'短评内容': '还好吧不错', '短评打分': 5}
{'短评内容': '朋友去旅行我帮忙预订的酒店，整个行程中，就这家酒店感觉不咋地，服务不好，硬件设施也很差，因为是旅游旺季所以价格比较贵，和各方面条件比起来，这个价格性价比很低', '短评打分': 3}
{'短评内容': '环境不错，就是我的发票啥时候能给我，都半个月了', '短评打分': 5}
{'短评内容': '早餐两个人60元，一中盆面条而已，这一点挺惊讶', '短评打分': 5}
{'短评内容': '非常不错，非常推荐啊！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '前台服务差差差！前台效率差差差！耽误考试时间！有人说考完试回来退还不行，前台就让排着！', '短评打分': 3}
{'短评内容': '房间整洁度基本还可以。房间卫生间插座均不可用，由于饭店地点离市区较远，出店吃饭不方便。另外，自驾找饭店费了很大力气，附近修路，建议给饭店联系后再行车。', '短评打分': 3}
{'短评内容': '无线网络比较差，周边出行不太方便', '短评打分': 4}
{'短评内容': '周边环境和配套不够理', '短评打分': 5}
{'短评内容': '总体不错，价格也可以，就是早上一早有人练车有点吵，酒店内部侧面是个驾校', '短评打分': 5}
{'短评内容': '不错不错，服务态度也挺好', '短评打分': 3}
