{'短评内容': '不错，住了四天', '短评打分': 5}
{'短评内容': '不错，住了四天。', '短评打分': 5}
{'短评内容': '据说不错的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '这家很不错，没有早餐，我们没有带孩子也不需要加床，酒店位置还算方便，这个价格可以接受的，与前夜那家*庭比好多了。', '短评打分': 5}
{'短评内容': '住的还可以，有点小，住一楼有点吵了。', '短评打分': 5}
{'短评内容': '酒店不好找。京东预订，开票都困难。', '短评打分': 5}
{'短评内容': '中规中矩、还不错、毕竟是上海锦江之星、还是我们哈尔滨的锦江之星会更好些、服务、卫生、都很不错、给予支持好评、支持京东商城酒店', '短评打分': 5}
{'短评内容': '环境一般，但服务非常不错。', '短评打分': 5}
{'短评内容': '经济型酒店中不错的', '短评打分': 5}
{'短评内容': '给领导们出差定的，应该还不错', '短评打分': 4}
{'短评内容': '给领导们出差定的酒店，价格相对来说不贵。设施、位置什么的应该也可以。', '短评打分': 4}
{'短评内容': '不咋地', '短评打分': 1}
{'短评内容': '一般感觉，周边比较差环境', '短评打分': 4}
{'短评内容': '这里虽然靠近火车站但是很隐蔽不是很嘈杂，可是这里设施简陋点浴帽和浴室的拖鞋也没有，服务和卫生还可以。', '短评打分': 5}
{'短评内容': '还可以，周边环境挺安静的，挺一下', '短评打分': 4}
{'短评内容': '泾济酒店，性价比高，适合常差旅', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以，综合评价四星级吧，毕竟是上海吗！', '短评打分': 4}
{'短评内容': '价格合理，中规中矩，连锁店，过得去，地理位置还算可以了', '短评打分': 5}
{'短评内容': '比较幽静，就是人气有点不足。服务也偏冷。。。。', '短评打分': 5}
{'短评内容': '非常干净，比较清静。距离长途汽车总站、上海火车站（北站）步行大约12分钟。', '短评打分': 5}
{'短评内容': '带早餐，性价比不错。离地铁站不远，出行方便。', '短评打分': 5}
{'短评内容': '交通很方便，离火车站近，乘车很便利。房间很干净，床铺睡着也比较舒服，就是房间电视落后些。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '我觉得还算干净，这个价位可以了，就是外面附近没什么吃饭的地方，隔火车站近，适合赶火车的人。', '短评打分': 3}
{'短评内容': '还可以，卫生。但与直营店还有差距。继续努力', '短评打分': 3}
{'短评内容': '房间干净，服务热情，这已经是第2次入住，很不错。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '交通很方便，离火车站近，乘车很便利。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '地理位置较好，离火车站很近，但酒店较差，床很窄，而且被子看着也不干净，如果是坐火车赶时间还凑合下', '短评打分': 1}
{'短评内容': '客房内地板打扫的不干净，在我们入住之前地面地板就没打扫干净，我们住了三天，没有一天能把地扫净。出行交通不是很便利。离两边地铁口距离大约1公里多。', '短评打分': 1}
{'短评内容': '酒店环境不错，地理位置极佳', '短评打分': 3}
{'短评内容': '没有紧靠马路，所以具有颇难得的闹市区的安静。房间干净，服务随叫随到，早餐也不错。应增加早餐直接刷房卡，方便顾客。', '短评打分': 5}
{'短评内容': '综合评价：对酒店的接待、环境等各项服务非常满意。', '短评打分': 5}
{'短评内容': '酒店各方面设施条件还不错 距离火车站很近  出行方便 ', '短评打分': 5}
{'短评内容': '很干净，很安静，性价比很高', '短评打分': 3}
{'短评内容': '酒店还是很不错的，干净舒适 离火车站还是比较近 哈哈', '短评打分': 5}
{'短评内容': '价格还算合理，地理位置不错，为了第二天出行方便可以凑合一下！', '短评打分': 5}
{'短评内容': '这地段这价格还算实惠，环境对得起价格。推荐下！', '短评打分': 5}
{'短评内容': '不错.88888888888888888888888888', '短评打分': 5}
{'短评内容': '店内还不错 价钱也还可以 就是交通不是很便利 从火车站坐公交的话需要走挺远的 打车又很近。。在店门口打车不太好打   因为我们赶时间 所以觉着有点不方便 如果不着急的话 这家店还算不错的 很干净舒适', '短评打分': 1}
{'短评内容': '硬件不错，整洁舒适。前台服务员比较冷淡，但还遇到一个热情点的，进店会打招呼问好，问答比较耐心。离地铁站远了点，如果不想多走路还得坐公交车转。性价比挺好，世博会期间219的价位不多见。早餐挺好的，虽然简单，但口味好，营养不错，吃得舒服，15元的价位也不贵。 ', '短评打分': 5}
{'短评内容': '+酒店很好', '短评打分': 5}
{'短评内容': '  我们已入住沪太路500号锦江之星   请核对', '短评打分': 5}
{'短评内容': '地段不好，招牌也小，难找。离地铁要走很远。房间里面发现3只蟑螂，打死一只大的，另两只小的逃跑。网络出了问题，一整晚无法上网，第二天早上强烈交涉后，问题才解决，但之后的速度奇慢。349的价格还不含早餐，真的不值。', '短评打分': 1}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店还好，简陋了一点,价格偏高,可能是世博的缘故吧。', '短评打分': 5}
{'短评内容': '需在上海火车站北广场出口，步行距离约10分钟，打的就起步价。初次找到要费点劲，以后就比较方便了。地铁和公交都到火车站广场搭乘。早晨6点前打的到世博会鲁班路入口约需25元。临近有沙县小吃店开得早关得晚，可解决早餐或夜宵，附近有小超市，但未找到药店。', '短评打分': 5}
{'短评内容': '干净\\安静.距离火车站一站路.酒店位置还是好找,酒店路标很大', '短评打分': 5}
{'短评内容': '到店说没我预定，找了半天又说总部有，我住这家店怎么预订跑总部去了，不明白。位置很方便，离火车站不远。', '短评打分': 5}
{'短评内容': '干净安静', '短评打分': 5}
{'短评内容': '房间很干净,但有点难找。', '短评打分': 5}
{'短评内容': '酒店还是不错的，但位置比较偏，虽然叫火车站店，但距离火车站还有步行约15分钟的时间', '短评打分': 5}
{'短评内容': '酒店卫生和环境还不错，洗浴的热水非常好。本来预定的是双床房，到店后只有大床房了，给打了20元折扣，送了双份早餐券，还是不如意，被迫和儿子在一张床上住了两天。不能理解的是酒店没有中餐和晚餐，和锦江之星的其他店比真是很特别，感觉不方便。另外，酒店从7月28日开始数字电视转换，至今只有6个电视频道，让人觉得上海办事效率太低，数字转换还需要这么长时间，给人不真实的感觉。交通方面还算方便，不远处的公共汽车站', '短评打分': 1}
{'短评内容': '相对其他锦江之星这家店面有点小，屋内设计也窄。要不是世博原因我是不会住的，不划算！', '短评打分': 1}
{'短评内容': '离地铁和火车站都比较近，交通便捷！', '短评打分': 3}
{'短评内容': '8月3日入住酒店，酒店随不大，但干净清爽。也许是住在一楼的原因吧，房间内很凉快，居然不用开空调。位置极佳，距火车站仅一站车程很方便。不过隔音较差，门外服务员和住客的说话声影响睡眠，美中不足。', '短评打分': 5}
{'短评内容': '还不错吧  就是贵了点', '短评打分': 5}
{'短评内容': '位子不错，离地铁比较近，方便出行', '短评打分': 5}
{'短评内容': '很干净，这点最重要，一次性用品质量不错', '短评打分': 5}
{'短评内容': '房间马马虎虎，我们住的在一楼，房间空气还行（潮湿的上海，空气还可以）。采光窗户过得去，房间大小基本满足。位置在一个单位院子里，不怎么好打车。平时应该在100元/间左右。与原来的期望值相去不远（世博期间能住到算可以了）。', '短评打分': 1}
{'短评内容': '交通枢纽，位置不错，闹中取静，服务一流。', '短评打分': 5}
{'短评内容': '交通非常不便，出行必须打车，否则酒店前台说走到地铁需要20分钟。好在毕竟是市中心，不到30元就能打到世博9号门或1号门。酒店前台对周边情况不太了解，感觉也是刚来上海的，好多地方都不清楚。', '短评打分': 1}
{'短评内容': 'VERY GOOD!', '短评打分': 3}
{'短评内容': 'Very Good!', '短评打分': 3}
{'短评内容': 'Very Good!', '短评打分': 5}
