{'短评内容': '房间还可以，空调，冲凉房设备有点旧，其他还可以。。。。。。。。。。。。。。。。。。。。。。。。。。？', '短评打分': 3}
{'短评内容': '服务员态度不好', '短评打分': 3}
{'短评内容': '以前是洋富酒店，现在是八方酒店了', '短评打分': 3}
{'短评内容': '双人套房好小', '短评打分': 3}
{'短评内容': '一分钱一分货', '短评打分': 4}
{'短评内容': '设施一般，毛巾显得比较陈旧，床单不够干净。', '短评打分': 3}
{'短评内容': '整体还不错，价廉物美！相对宽敞，比想象中的大些，整洁', '短评打分': 3}
{'短评内容': '房间有那么大，硬件设施有点旧了，特别值得说的就是服务态度了，从来没有碰到过那么差的服务员，服务态度差，服务态度差，服务态度差，服务态度差，。以后绝对不会再光顾', '短评打分': 3}
{'短评内容': '一般般吧，前台服务态度不好……', '短评打分': 3}
{'短评内容': '还行，，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '这个价格也只能住这样的酒店了', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '以后不会去住了。。', '短评打分': 2}
{'短评内容': '环境不好，比较吵闹，装修也比较陈旧，入住之后感觉上当 。', '短评打分': 1}
{'短评内容': '相对来说还不错，服务还有其他各方面都很好又不贵', '短评打分': 5}
