{'短评内容': '酒店很旧，但价格比连锁酒店高，前台不是很热情，去了一次就没去第二次！', '短评打分': 2}
{'短评内容': '不好，早餐差的很，订房时候的返现 到现在半年了都没给', '短评打分': 3}
{'短评内容': '整体感觉还不错', '短评打分': 4}
{'短评内容': '酒店比较干净商务出差的选择不错', '短评打分': 4}
{'短评内容': '真心对不起这个价格，还有前台不知道是吃了火药了还是怎么的，比较凶。房间设备真心不敢恭维，186的原价，桌椅床跟50的旅馆差不多。卫生间吊顶都脱落了。墙纸居然用胶带纸粘上的，真心无语', '短评打分': 3}
{'短评内容': '三星的宾馆 洗澡间花洒只能手持 因为架子坏了 吹风机想用的时候插插头不用就要拔插头 因为变形的坏的   找不到空调遥控器 被子一床很冷还好还有一床 被头黄黄的脏的可怕 还好我有带床单 窗户灰很大 没有一次性拖鞋 塑料拖鞋看起来好脏会不会有脚气好可怕 诶 其他地方可能更差 楼下闹市区 比较繁华 还行 看起来很安全', '短评打分': 4}
{'短评内容': '商旅出行，酒店整体还可以，早餐嘛可不错。不过需要改进注意的是房间最好靠窗一点，总之是不错的酒店。有机会再来！', '短评打分': 4}
{'短评内容': '店家态度很好，非常感谢！', '短评打分': 5}
{'短评内容': '只能说无语了  ', '短评打分': 4}
{'短评内容': '酒店环境一般，处于闹市区，出行还比较方便，吃饭要外面去', '短评打分': 3}
{'短评内容': '价格还是可以的，就是时间久了，有点旧了，其他没有什么问题', '短评打分': 4}
{'短评内容': '帮朋友订的，不知道，感觉不好停车', '短评打分': 3}
{'短评内容': '其他都还行，单人房靠窗，有点吵', '短评打分': 5}
{'短评内容': '还行，有点吵，换个房间试试', '短评打分': 5}
{'短评内容': '周边商业建全，购物方便，性价比高', '短评打分': 4}
