{'短评内容': '一般般吧！', '短评打分': 4}
{'短评内容': '位置可以', '短评打分': 2}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '干净整洁服务好', '短评打分': 5}
{'短评内容': 'clean and tidy, close to supermarket and restaurant.  I have been there more than 10 times in last 2 years.', '短评打分': 4}
{'短评内容': '交通方便，其它还行', '短评打分': 4}
{'短评内容': '房间很小，上电梯到房间的时候连门都没关。房间里的设施一般，看起来像一般的招待所！不值这个价，有上当的感觉！', '短评打分': 3}
{'短评内容': '房间很宽敞', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '好好的休息吧，吃的多哦！可以，下次还来', '短评打分': 5}
{'短评内容': '环境挺好，推荐，不错不错', '短评打分': 3}
{'短评内容': '真的很好', '短评打分': 5}
{'短评内容': '感觉很好', '短评打分': 5}
{'短评内容': '没有太大的感受没有想象中的那么好', '短评打分': 4}
