{'短评内容': '酒店很干净，可惜早餐没有大米粥', '短评打分': 4}
{'短评内容': '服务不错的', '短评打分': 5}
{'短评内容': '早餐味道不错，就是品种少了些', '短评打分': 5}
{'短评内容': '特价房的床比较宅，暖气效果还不错', '短评打分': 5}
{'短评内容': '非常完美的', '短评打分': 5}
{'短评内容': '没住上啊。呵呵以后有机会的。', '短评打分': 5}
{'短评内容': '好 真的很满意', '短评打分': 5}
{'短评内容': '环境优雅，视野开阔，服务态度好', '短评打分': 5}
{'短评内容': '一般 一般 一般', '短评打分': 5}
{'短评内容': '就是坑，，，不值得预定。。。太坑了，，谁定谁知道', '短评打分': 1}
{'短评内容': '不错环境好老酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店虽然比较老旧，但还比较干净，也很安静。住着也还舒服。周边的交通也很方便，总的来说还可以吧，主要就近，办事很方便。', '短评打分': 5}
{'短评内容': '出行还是很方便的，酒店比较陈旧', '短评打分': 4}
{'短评内容': '不错，有些旧，但安全', '短评打分': 3}
{'短评内容': '酒店大堂和外立面看起来高大上，内部房间和走道的装修该要升级了，比较陈旧，像是个招待所。卫生还好吧。', '短评打分': 4}
{'短评内容': '感觉一般，服务质量很差，特别是为顾客着想方面，网上订比直接去还要贵，这个酒店主要承接电网会务，所以服务质量真的一般', '短评打分': 2}
{'短评内容': '地段很好，价格也很便宜，房间设施就真的不怎么样了', '短评打分': 4}
{'短评内容': '停车方便，态度良好，位置适中。。。。。。。', '短评打分': 5}
{'短评内容': '是旅悦网介绍住了这间酒店，整体感觉都不错，酒店有四星的感觉，比较大气，服务态度也不错。性价比较高。', '短评打分': 5}
{'短评内容': '硬件不错。但是酒店名牌太高。不好找。', '短评打分': 3}
{'短评内容': '离汽车东站很近，去渭南、延安方向方便。住的条件还可以，但相对于星级不相称。', '短评打分': 5}
{'短评内容': '这次又住在酒店，房间还可以，就是二楼餐厅的饭菜贵得离谱', '短评打分': 5}
{'短评内容': '酒店的位置还行，但是停车不方便，餐厅的价格真是有些偏高，不值', '短评打分': 5}
{'短评内容': '服务还可以，虽然整修过但房间看着还是旧了', '短评打分': 5}
{'短评内容': '新楼较贵，旧楼又太老，但位置和交通还可以。总体还可以选择。', '短评打分': 5}
{'短评内容': '环境比较好，交通方便········总体算不错的', '短评打分': 5}
{'短评内容': '酒店标准不错，餐饮也很好，服务态度很好，卫生也不错，位置也能说得过去。', '短评打分': 5}
{'短评内容': '还不错，住着舒适，价格适中。不过，上网要收费哟。', '短评打分': 5}
{'短评内容': '西安万年打酒店干净安静，舒适，服务态度好。关键是价格合适。', '短评打分': 5}
{'短评内容': ' 住的不是主楼，房间设备简单也旧，早餐也简单，价不所值。', '短评打分': 1}
{'短评内容': '这次订的主楼的行政房，环境还不错~ 配楼的环境设施比较老', '短评打分': 5}
{'短评内容': '第一次入住这家酒店，配楼环境一般，交通比较便利', '短评打分': 5}
{'短评内容': '价格比以前有所上涨，不爽。房间有点老，不爽', '短评打分': 5}
{'短评内容': '价格一般，环境还行，不过临街的房间有点吵', '短评打分': 5}
{'短评内容': '还可以，经济间的设施需提高下，有点过于破旧。\n', '短评打分': 5}
{'短评内容': '离4星的标准好像有点差距。再提高一些才好', '短评打分': 5}
{'短评内容': '内部比较整洁，内部人员管理需提高，打听事情你要追着他跑。', '短评打分': 5}
{'短评内容': '房间热水不好，时冷时热，并且水质有时浑浊，不知怎么回事。停车也不方便。', '短评打分': 5}
{'短评内容': '酒店热水很不好，时冷时热，没法正常洗澡，停车也不方便。', '短评打分': 5}
{'短评内容': '开始我们用电话订房，告知已定满。然后试着网上订房，成功。非常高兴。希望能一致。停车较困难', '短评打分': 5}
{'短评内容': '酒店有点老，整体上感觉性价比一般，不适合年轻人', '短评打分': 3}
{'短评内容': '还不错！  毕竟是经济间，要求不能太高。不过住的是临街的一面，比较吵。', '短评打分': 5}
{'短评内容': '第二次住这家酒店，感觉房间卫生还有提高的潜力，西式自助餐的品种少了些，其它都还不错。', '短评打分': 5}
{'短评内容': '酒店设施旧了点，早餐只有我一个散客，酒店没有开自助餐。门口打车不方便。', '短评打分': 5}
{'短评内容': '一开始给的房间比较差，不过和前台联系调换之后的房间还不错~', '短评打分': 5}
{'短评内容': '房间内设施较陈旧，酒店餐厅价格超贵！酒店周围环境很吵喳，电视很老信号不好，总之，一般！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '住了三次了，很喜欢。', '短评打分': 5}
{'短评内容': '预定的标间，到店后只有单间了，而且睡到半夜还要起来打蚊子......', '短评打分': 3}
{'短评内容': '订的标间，到店后只给了单间，房间明显小好多', '短评打分': 1}
{'短评内容': '我所住过的4星酒店中最差的一家.连瓶水都没', '短评打分': 1}
