{'descr': '酒店干净，交通方便', 'star': 5}
{'descr': '环境蛮好～', 'star': 5}
{'descr': '非常大，很好很好', 'star': 5}
{'descr': '位置有点偏，但是值得', 'star': 4}
{'descr': '酒店服务好，干净，早餐好，登记入住时严格，这样感觉很安全。', 'star': 5}
{'descr': '干净整洁、早餐很不错，车位充足值得推荐', 'star': 5}
{'descr': '住的舒服，房间也很大，价格也公道', 'star': 5}
{'descr': '房间很大很宽敞，价格也实惠，住的舒服', 'star': 5}
{'descr': '通用评价，没有特殊情况就用这个赚京豆', 'star': 5}
{'descr': '房间特别舒适', 'star': 5}
{'descr': '挺好的房间', 'star': 5}
{'descr': '锦江之星房间装修太简单了，无线网络基本很差。基本无法连接', 'star': 3}
{'descr': '服务态度一般', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '锦江之星的标准，没什么好多说的', 'star': 5}
{'descr': '房间不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '一般般一般般', 'star': 5}
{'descr': '房间要比一般的快捷酒店大～价格、服务也还行，性价比OK。', 'star': 4}
{'descr': '好，挺好的', 'star': 5}
{'descr': '出差，秘书代订', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '还可以，不错', 'star': 5}
{'descr': '酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 ', 'star': 5}
{'descr': '这个锦江的床实在是太舒服了，还有就是安静，缺点是位置有些偏，因为订错酒店了，才到这个锦江。', 'star': 5}
{'descr': '挺清爽干净的，我妈说住着很舒心，就是不提供早餐有点麻烦', 'star': 5}
{'descr': '酒店不错，早餐也可以，酒店服务还行，下次来这里再住。', 'star': 5}
{'descr': '酒店位置可以，房间大小也不错，早餐也蛮好，下次来再住这里。', 'star': 5}
{'descr': '同事出差附近，商务酒店首选锦江，前台、卫生都还不错，也较少乱七八糟的广告纸，（希望锦江能在商务酒店中一直保持）', 'star': 5}
{'descr': ' 很舒服，很安静，网速不太给力……', 'star': 3}
