{'短评内容': '周边环境很好，停车方便', '短评打分': 5}
{'短评内容': '趁着老公出差的机会，带娃去玩了一下，之前路过好多次都没有机会逛一逛，酒店早饭不错，种类丰富。', '短评打分': 5}
{'短评内容': '不错，出差的好选择', '短评打分': 5}
{'短评内容': '房间还是挺不错，就是没开空调有小孩有点冷', '短评打分': 5}
{'短评内容': '总体感觉很好，服务生态度热情，设施还可以，房间很干净。酒店位置在商业区，购物非常方便，吃的地方也有很多选择，出行打的，坐车都很容易，值得向朋友推荐。', '短评打分': 5}
{'短评内容': '环境不错，可以说是这个镇上最好的酒店了', '短评打分': 5}
{'短评内容': '环境不错，可以说是这个镇上最好的酒店了', '短评打分': 5}
{'短评内容': '作为小镇子，这家确实还算不错了！', '短评打分': 4}
{'短评内容': '还是很不错的', '短评打分': 4}
{'短评内容': '房间很不错，安静', '短评打分': 5}
{'短评内容': '觉得不错！小县城有这样的酒店还是很不错！', '短评打分': 5}
{'短评内容': '觉得不错！小县城有这样的酒店还是很不错！', '短评打分': 5}
{'短评内容': '服务好设施好环境好早餐好卫生好', '短评打分': 5}
