{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉，干净卫生，明亮宽敞，廊灯和房灯一应俱全，大床很宽1.8米的大床，松软舒适。非常不错', '短评打分': 5}
{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉', '短评打分': 5}
{'短评内容': '位置不错，方便，价格便宜，房间较大', '短评打分': 5}
{'短评内容': '房间真大', '短评打分': 4}
{'短评内容': '环境还不错，双层窗户隔音效果还好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '房间挺大的，感觉不错，人气有点冷清！都还是不错的！', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '继续订，整个假期就住这里了', '短评打分': 4}
{'短评内容': '很好，房间很大，继续入住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '感觉不是很好 服务态度差 又被坑了', '短评打分': 3}
{'短评内容': '不错^_^^_^^_^^_^^_^^_^^_^^_^', '短评打分': 3}
{'短评内容': '还不错～这个价位还算可以～', '短评打分': 3}
{'短评内容': '很好环境也很好', '短评打分': 5}
