{'短评内容': '酒店环境可以，经常来，很多次了，下次会一如既往。', '短评打分': 5}
{'短评内容': '一分价钱一分货吧，还可以', '短评打分': 2}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '隔音效果很差，窗户为单层，旁边就是马路，晚上很吵。前台服务态度贼差劲', '短评打分': 2}
{'短评内容': '酒店靠马路相当吵，无比的吵。', '短评打分': 3}
{'短评内容': '宾馆处地段优越，商业繁华，方便办事！房间内整洁卫生，房价合理！', '短评打分': 5}
{'短评内容': '太吵', '短评打分': 3}
{'短评内容': '房间挺好的 因为是四个人所以让服务员多拿两个枕头和浴巾。前台接待也很热情，房间很干净，就是浴室没有门很疑惑？', '短评打分': 5}
{'短评内容': '房间卫生，走廊卫生都不错，人员服务态度挺好的。希望能配早餐，这样起床就能吃饭，就能解决了早餐问题。', '短评打分': 5}
{'短评内容': '没有窗户 房间隔音太差，马桶都没有水。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '浴室没浴帘，洗个澡水溅了一地', '短评打分': 4}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间小，很吵，真心不值这个价', '短评打分': 3}
{'短评内容': '离南大街不远，很方便，房间也不错，价格也不贵', '短评打分': 5}
{'短评内容': '最好浴室不要磨砂玻璃，会看见里面的人洗澡的', '短评打分': 5}
