{'短评内容': '整体感觉不错、就是我的积分到现在也没有？', '短评打分': 5}
{'短评内容': '家庭式酒店，如果跟家人孩子一起过来最好的选择，就是酒店地址不好找', '短评打分': 5}
{'短评内容': '大楼在装修中，有点脏乱。由于是公寓，某些常住客会在套间做饭，有些人甚至把房门开着。总而言之，如果你家也这样打算，这是个好住处。否则一般住客还是住正宗旅店好。', '短评打分': 3}
{'短评内容': '这个酒店房间非常大，家用电器厨房用品十分齐全，酒店就在天津宾馆大院里，很安静，停车方便。', '短评打分': 5}
{'短评内容': '房型很好 很宽敞', '短评打分': 5}
{'短评内容': '万豪公寓还是比较高端的，住的很舒服。以后还会选择！', '短评打分': 5}
{'短评内容': '酒店很干净……服务很好，厨房设施齐全', '短评打分': 5}
{'短评内容': '服务很好公寓很干净房间厨房设施很全下次还会入住', '短评打分': 5}
{'短评内容': '酒店干净服务态度非常好下次还会光顾', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '环境非常不错', '短评打分': 5}
{'短评内容': '适合家庭出游，可以做饭，环境非常棒', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '好。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '公寓房间大很方便，服务好周边环境好。', '短评打分': 5}
{'短评内容': '房间宽敞，设施齐全，可以常住', '短评打分': 5}
{'短评内容': '房间很大不错，早饭一般需要改进，其他一切都好', '短评打分': 5}
