{'短评内容': '没有早餐', '短评打分': 5}
{'短评内容': '不出差出差出差出差', '短评打分': 5}
{'短评内容': '干净，服务好', '短评打分': 5}
{'短评内容': '干净，房间虽小而精致', '短评打分': 5}
{'短评内容': '周边其实挺方便 就是去到有点晚了我 不过酒店环境什么的超级棒', '短评打分': 5}
{'短评内容': '服务很好，房间很大，里面设施很少，空荡荡的，房间没有顶灯，就两个床头台灯！晚上一个人睡还有点害怕！不值这个价钱，不知道网上那么多好评哪来的！', '短评打分': 3}
{'短评内容': '酒店位置很不错，周围交通方便，停车稍微麻烦点。周围有很多吃饭的地方，这里很热闹，酒店服务很热情，房间很干净，下次还会住。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间里面少了一副洗漱用品。牙刷牙膏都没有。环境还是挺好的。交通方便。周围设施也齐全。早饭的味道有点差强人意了。', '短评打分': 5}
{'短评内容': '酒店环境还行，但是房间设施一般', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '依旧很好，地理位置有优势，长途汽车站就在对面，公交站也在门口，交通便利，还有停车场，不错', '短评打分': 5}
{'短评内容': '位置挺好，性价比挺高的', '短评打分': 4}
{'短评内容': '很好，很干净，房间很素，看着舒服，温馨，下次还会预定，推荐。而且地理位置好，还有专用的停车场，停车方便，距离brt很近。', '短评打分': 4}
