{'短评内容': '停车方便，出行便捷', '短评打分': 5}
{'短评内容': '进沟方便，环境不错', '短评打分': 5}
{'短评内容': '理县城中心、交通方便、自带停车场！尤其亲子房特别好，一个大床带两个单人床！', '短评打分': 5}
{'短评内容': '有停车场，停车方便。房间很暖和(•ૢ⚈͒⌄⚈͒•ૢ)', '短评打分': 5}
{'短评内容': '房间暖和 热水充足 离景点近 不错', '短评打分': 5}
{'短评内容': '定的特价房，366一间，在这个酒店应该算便宜了吧？不过讲实话，在理县不算便宜。特价房只有标间，第一间411号房进去一股厕所下水道味道弥漫了整个房间，打开窗户关上卫生间都无济于事。好在前台很好，交涉后换到了412房间，不然真的没法睡了。前台服务很好，会尽力帮客人解决问题，另一对来住店的客人好像订单出了问题也解决了。早餐据说很简单，不过没体验', '短评打分': 5}
{'短评内容': '位置不错，周围吃放很方便', '短评打分': 3}
{'短评内容': '酒店是理县最大规格最高的，是汶川地震后援建的。确实房间，设施等都不错，服务也还可以，就是早饭一下就暴露了。。。', '短评打分': 4}
{'短评内容': '非常好，一个县的招牌', '短评打分': 5}
{'短评内容': '相当好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '其他还好，卫生间味道大', '短评打分': 3}
{'短评内容': '酒店位置非常好找，服务人员还是比较热情', '短评打分': 5}
{'短评内容': '酒店翻新了，应该是理县最好的酒店。整体还行', '短评打分': 3}
{'短评内容': '还行吧。。。', '短评打分': 5}
