{'descr': '环境不错，设备齐全，店家服务态度也很好！赞一个！', 'star': 5}
{'descr': '稍微有点不正规，不过环境不错，最好的是床好舒服~~~~还会来的', 'star': 5}
{'descr': '此行最满意的就是这家店了。这个价格本来是套1的套间的。老板免费换成套2的套间了。虽然我也只能睡一间床。还有客厅厨房，虽然没有锅碗瓢盆。但是很有家的感觉。位置在金鸡湖边，有空还可以去湖边逛下。感觉很不错~~推荐~', 'star': 5}
{'descr': '环境不错!', 'star': 3}
{'descr': '交通位置很好，房间貌似装修过了~~~很不错~~~', 'star': 5}
{'descr': '在水滴对面的高层公寓里，不太好找；没有大堂，接待速度慢，但很家常，如果长期租住，应该很不错；周边吃饭的地方挺多，购物也方便，易买得超市就在旁边。', 'star': 5}
{'descr': '酒店人员服务态度很好，就是屋子的味道大点，晚上声音大点！', 'star': 5}
{'descr': '已经顺利入住，感觉不错！', 'star': 3}
{'descr': '感觉真的不是很好，没地方停车，工作人员态度也不好，房间没那么大，虚报面积，服务不理想。洗澡水只能用一个人的，还得抓紧时间，工作人员太业余了，不把顾客当回事，谁认为我说的不对，自己去体验一次吧，不会去住了。真的不想去住了。', 'star': 1}
{'descr': '设施很差，不值，服务真一般。厨具还要租金，家具，床真烂，也不能刷卡，反正怎么不方便怎么来。', 'star': 1}
{'descr': '需要大家注意以下几点：\n1、房间每100度电会跳闸一次，需要与工作人员沟通用电卡充电，请提前安排好；\n2、房间灯光不是很亮，需要有文案工作的筒子们还请自己挪台灯；\n3、房间隔音(与楼道)不是很好；\n4、房间里暖气很热，而且很干，不过开窗户之后还行。\n服务人员态度很好，而且房间也很干净，配的电脑网速很快，周边的生活配套也是非常丰富的。总的来说，推荐~~', 'star': 5}
{'descr': '酒店位置很好，离看演唱会的地方很近。既能看电视又能上网。但是酒店外表看起来很高档，里面却有点脏。柜子和抽屉里都是脏东西，饮水机里就剩一点点水。', 'star': 5}
{'descr': '非常好 简直就是个温馨的小家 而且在很高级的玲珑湾', 'star': 5}
{'descr': '帮同事定的，主要是为了方便，因为这附近有个邻里中心，看了房间的面积也挺大，应该是酒店式公寓。\n很抱歉同事住了几天也没去看，还大言不惭的说，这里在园区是很方便的，最后去看了才发现接待的地方在21楼，也罢！可走廊都是灰，我家小区的电梯、楼梯物业还每天打扫呢，也不至于这么脏，就算大部分长租户，你们也打扫打扫。我都不好意思的想拔腿就走', 'star': 1}
{'descr': '还行。。比较不错的~~~视角也不错。。交通便利！！', 'star': 5}
{'descr': '就是一个日租房，卫生间的卫生条件很差，没有干净的毛巾使用。不会再去。', 'star': 1}
{'descr': '挺好挺好真心不错。就是工作人员办公的地方有点儿雷人。。。', 'star': 3}
{'descr': '位置不错，交通便利，房间还可以。有电视看还能上网。不错。', 'star': 5}
{'descr': '不错的酒店式公寓，交通方便，干净，家电较全，小洗衣机洗衣很方便，价格公道，服务热情，下次去南开看女儿还住这。', 'star': 5}
{'descr': '很好，周围的环境和酒店素质都很高，下次还会去', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '价格便宜，居住安全，交通方便，周边配套齐全，性价比超值', 'star': 5}
{'descr': '非常舒适，环境也好，周边很热闹，比快捷酒店好N倍！', 'star': 5}
