{'短评内容': '条件很好', '短评打分': 5}
{'短评内容': '真的非常差', '短评打分': 2}
{'短评内容': '还可以的。。。', '短评打分': 4}
{'短评内容': '早餐不错，有羊肉汤', '短评打分': 5}
{'短评内容': '还不错，服务挺好的。', '短评打分': 5}
{'短评内容': '非常糟糕的体验，菏泽的宾馆要么太贵，要么太便宜，最后选了这家，真是倒霉。280的价格也就值80。前台的大姐服务态度很好，这个要说一下。但是房间不打扫，霉味重，电梯n年不打扫卫生。先住9楼，房卡刷不开门，又被调到12楼，楼道昏暗，脏乱差，墙壁上还有莫名其妙的花瓶，感觉有点像生化危机。每过一道门，都不知道里面会出来什么，真的好刺激呀。第二天，同事说他都没脱衣服。希望酒店能有所改进，先从卫生着手。', '短评打分': 2}
{'短评内容': '设施较老了，卫生间地砖不是很干净，隔音不好，总体还不错，可以一住，下雪天全体员工都在扫雪，企业管理不错。', '短评打分': 5}
{'短评内容': '很不好，朋友们还是别去', '短评打分': 1}
{'短评内容': '作为菏泽的三星级酒店，与“花都大酒店”这个名字极不相符。 设施陈旧，卫生太差。 需要尽快重新装修。 ', '短评打分': 2}
{'短评内容': '酒店位置不错，距离火车站不远。 卫生太差，地毯太脏，不知道多少年没清理过了。', '短评打分': 2}
{'短评内容': '房间连不上网，前台交流多次，最终也没派人解决问题，下次不会选择入住。', '短评打分': 2}
{'短评内容': '需要重新装修，墙皮脱落，窗户关不严。', '短评打分': 4}
{'短评内容': '非常糟糕的酒店 老旧脏，无空调，冷死了 超级不值', '短评打分': 3}
{'短评内容': '很好，很好，很好', '短评打分': 5}
{'短评内容': '酒店环境不错，房间内的摆设也挺好，服务员态度就像亲人一样。唯一的遗憾是莲蓬头有问题，水不但朝下喷，还朝上喷，喷的房顶的乳胶漆都掉了，希望及时修理，解决这一问题。大厅摆设很好，进门就有宾至如归的感觉，建议增加WiFi。', '短评打分': 5}
{'短评内容': '酒店不错，饭很好吃，天天爆满！交通也很方便！下次去还选着', '短评打分': 5}
{'短评内容': '老酒店，最近刚装修，还不是所有楼层都能顺畅上网。早餐也不好。', '短评打分': 1}
{'短评内容': '酒店早餐还不错，房间还算干净，就是卫生间的浴池下水一直不是很快，来了好几次了都是很慢。。。希望改进下', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便，离购物广场也近，服务很好！', '短评打分': 5}
