{'descr': '价格比较合理，房间不错！下次再来', 'star': 5}
{'descr': '酒店的床很舒服，很温馨，下次去了还回去，', 'star': 5}
{'descr': '有一个枕套上居然有泥渍，怀疑没换整套，其它还行，最好住看小区那侧，晚上还是比较安静的，路边的那侧很吵，车子声音很大，根本睡不着', 'star': 4}
{'descr': '进门就有一股霉臭味，没有停车位。今后不会再入住了！', 'star': 2}
{'descr': '没有停车的位置极不方便，而且房间比较小。', 'star': 4}
{'descr': '环境不错！', 'star': 5}
{'descr': '帮同事买的，同事指定要这家的，他说原来住过！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '旧', 'star': 5}
{'descr': '虽然地理位置不太好，但周边酒店少，除了房间偏小外，其他的服务以及设施都还不错。比如早餐、WIFI等附加服务提供的就很好。', 'star': 4}
{'descr': '方便', 'star': 5}
{'descr': '环境很好，房间也不错', 'star': 5}
{'descr': '每次定这个酒店都需要很久的时间，唉，周边没太多酒店选，将就住吧', 'star': 4}
{'descr': '满意', 'star': 5}
{'descr': '还行，位置好找，性价比较高。', 'star': 5}
{'descr': '考试在南坪中学，所以定了这里，过去很方便，就是厕所一直有烟味儿～', 'star': 5}
{'descr': '网也卡，房间也小，服务员态度呵呵', 'star': 3}
{'descr': '没有想象中的那么差，我定的跃层，感觉有点小，不过有间房有机麻，还是不错', 'star': 5}
{'descr': '不错的酒店环境很不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店环境和设施还好，去我们项目比较方便。下次来还会入住。\n', 'star': 5}
{'descr': '前台服务、装修、早餐、环境十分不错都可以打高分，唯一美中不足的是房间偏小、靠枕上有异味，建议改进，下次出差还会选择这家店。旁边的江湖菜味道很好，价格也不高，特别推荐一下。', 'star': 5}
{'descr': '很温馨的房间，装饰风格很有特色，跃层房间接待朋友也很方便，喜欢', 'star': 5}
{'descr': '地点不方便，位置比较偏，周边没有什么吃的和逛的。前台的服务实在不敢恭维，一个胖妹服务员不冷不热的。房间也确实比较小，但胜在还比较干净。没有网络，本来订了4天，结果没有网络，一天就退了。', 'star': 1}
{'descr': '清洁、卫生、舒适…', 'star': 3}
{'descr': '房间略小，其他感觉还不错，位置稍微偏了一点', 'star': 5}
{'descr': '环境还不错 挺安静的 就是被子的面料不太舒服', 'star': 5}
{'descr': '房间比大坪店的小一点，不过 橡树林确实不错……', 'star': 5}
{'descr': '酒店的装修风格我很喜欢    但是房间太小了   早餐也相当难吃', 'star': 1}
{'descr': ' 房间温馨，就是有点小', 'star': 3}
{'descr': '一直很喜欢橡树林的风格，到重庆每次都入住橡树林，罗马假日店很安静，服务也很不错。', 'star': 5}
{'descr': '酒店很温馨,就是房间太小', 'star': 3}
{'descr': '酒店不大但布置很温馨，旁边还有电影院，很适合情侣入住。', 'star': 5}
{'descr': '那天是先订的重庆星宇酒店，酒店说房间没有，要等打扫卫生后才有，忽悠我们等了一个小时后，还要我们接着等，前台服务态度实在糟糕，取消订单转到这里，前台非常客气，马上就办理好了，感觉挺舒服的，酒店环境不错，很舒服。', 'star': 5}
{'descr': '风格很喜欢，欧洲的田园风格，但是格局有点小。服务也不错\n', 'star': 5}
{'descr': '很好，离我要参加考试的地方很近，晚上比较安静，且早餐不错，推荐', 'star': 5}
{'descr': '重庆成都都住过。挺好的，尤其重庆这家，位置很安静，但是离景区比较远', 'star': 5}
{'descr': '真的很不错\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000建议大家去', 'star': 5}
{'descr': '+新酒店，环境好，卫生干净，房间很有创意，很温馨，好酒店。交通还算便利。', 'star': 5}
{'descr': '房间环境不错，前台某个MM（领班吧：）人很好。各方面都不错。价格再实惠些就更好了。', 'star': 5}
{'descr': '+工作人员很有礼貌，早餐很不错。', 'star': 5}
{'descr': '环境还可以，就是隔音效果不明显。干净，整洁', 'star': 5}
{'descr': '服务态度不错，有小问题都帮忙很好的解决了~~\r\n交通便利，性价比好，推荐入住~~\r\n特别一提，免费早餐不错~~', 'star': 5}
{'descr': '该酒店整体很好，但是我住那个房间开空调必须开灯。这给晚上睡觉带来不便。', 'star': 5}
{'descr': '这次帮朋友预定的 他的感觉很一般 还不如一般的快捷酒店 房间太小了', 'star': 3}
{'descr': '环境还可以', 'star': 5}
{'descr': '总体感觉不错，除了交通不是很方便外，其他的都很好。', 'star': 5}
{'descr': '这个价位也还算不错了 只是卫生间的毛巾是在太旧了太硬了', 'star': 5}
{'descr': '有免费的电脑使用，旁边就是电影院，感觉很不错！', 'star': 3}
