{'短评内容': '和女友共度良宵  感觉还不错', '短评打分': 5}
{'短评内容': '酒店位置还行，酒店介绍里说离南站不远，其实走路也要十几分钟，关键是方位未知，对初来乍到的人来说还是麻烦了点，只能打车了，还好只是起步价，勉强还行吧！没要早餐，四周有很多吃饭的地，比较方便。我们是亲子入住，订的双床，还行吧！', '短评打分': 4}
{'短评内容': '住了好几天了，总体还是很不错的，卫生也可以，淋浴水挺大，行政大床房比豪华大床房大了很多，推荐住行政房，楼下停车场是免费的，还是比较给力的～可惜到七月二十号就结束营业了。。', '短评打分': 5}
{'短评内容': '住了好几天了，总体还是很不错的，卫生也可以，淋浴水挺大，行政大床房比豪华大床房大了很多，推荐住行政房，楼下停车场是免费的，还是比较给力的～可惜到七月二十号就结束营业了。。', '短评打分': 5}
{'短评内容': '住了好几天了，总体还是很不错的，卫生也可以，淋浴水挺大，行政大床房比豪华大床房大了很多，推荐住行政房，楼下停车场是免费的，还是比较给力的～可惜到七月二十号就结束营业了。。', '短评打分': 5}
{'短评内容': '住了好几天了，总体还是很不错的，卫生也可以，淋浴水挺大，行政大床房比豪华大床房大了很多，推荐住行政房，楼下停车场是免费的，还是比较给力的～可惜到七月二十号就结束营业了。。', '短评打分': 5}
{'短评内容': '已经离店，离高铁站近，很方便。出行很便利', '短评打分': 5}
{'短评内容': '替人定的，据说还不错。', '短评打分': 5}
{'短评内容': '客服很负责 及时解决了问题', '短评打分': 5}
{'短评内容': '床垫软了', '短评打分': 3}
{'短评内容': '呵呵，下了单，但却没有房间了，应该还不错的一家宾馆。', '短评打分': 5}
{'短评内容': '酒店还不错，干净卫生，客房略略有点陈旧', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错，不错，京东的就是好，方便。', '短评打分': 5}
{'短评内容': '还是很不错的，价格也实惠，京东服务也好', '短评打分': 5}
{'短评内容': '还可以吧，用了京东的优惠券，挺实惠的。', '短评打分': 5}
{'短评内容': '不喜欢这样的风格', '短评打分': 3}
{'短评内容': '为了孩子考试方便特意定的，性价比超高，干净卫生，值得信赖！', '短评打分': 5}
{'短评内容': '环境安静，周边配套齐全，去地铁也方便', '短评打分': 5}
{'短评内容': '提前12天预订的，下了火车直接打车到酒店，登记入住，很方便。有热水,wifi，烧水壶，免费矿泉水2瓶。', '短评打分': 5}
{'短评内容': '适合商务出差，环境好服务也不错。', '短评打分': 5}
{'短评内容': '性价比不错，房间大，周边吃饭选择多。', '短评打分': 5}
{'短评内容': '不错干净卫生', '短评打分': 5}
{'短评内容': '酒店不错，就是早餐太差', '短评打分': 3}
{'短评内容': '环境闹中取静，设施尚可，周边热闹！', '短评打分': 5}
{'短评内容': '房间很大，设施齐全，干净整洁，总体感觉很好。', '短评打分': 5}
{'短评内容': '价格可以，但房子没窗，太闷', '短评打分': 2}
{'短评内容': '相比价格比较高，离南站比较近，还算可以。', '短评打分': 4}
{'短评内容': '我已入住，服务优良', '短评打分': 3}
{'短评内容': '帮朋友定的，干净，帮朋友定的，干净，帮朋友定的，干净，', '短评打分': 5}
{'短评内容': ' 第二次入住，感觉不错。推荐入住', '短评打分': 3}
{'短评内容': '酒店不错的，在这里预定确实很划算。房间的窗户是内部窗，近似于无窗，但是住宿环境和条件还是不错的。', '短评打分': 5}
{'短评内容': '对酒店不满意的地方，就是漱口杯太脆弱了，拿杯子刷牙碰到龙头就碎了，赔钱倒无所谓的，但问题是伤到手了咋办？然后观察了另一个，杯子真的很薄。', '短评打分': 1}
{'短评内容': '不错，很干净！虽然楼旧了，但是房间重新装修过了，非常好。\n就是有乱发小广告的，房间隔音不好。', '短评打分': 5}
{'短评内容': '房间不错，干净，酒店位置坐车也方便，', '短评打分': 3}
{'短评内容': '装修后比以前好多了，几年来到上海都住这里。装修后，强力推荐！！', '短评打分': 5}
{'短评内容': '很干净，有维也纳一贯风格。性价比高', '短评打分': 3}
{'短评内容': '环境不错，价格也挺适中，比较安静，下次还会入住', '短评打分': 5}
{'短评内容': '特价房物超所值。新装修的，气味还有点。位置也方便。就是特价房只有小窗。档次算连锁中比较高档的。', '短评打分': 5}
{'短评内容': '酒店装潢豪华，看起来非常高档，服务也可以。住宿条件不错，很大很宽敞。 早餐要出外面去吃，太简洁了。希望早日弄好。', '短评打分': 5}
{'短评内容': '新开张，价格便宜，不过要选靠两边的楼道的房间，中间的房间隔离楼板有点薄。两边还是不错的，周边方便', '短评打分': 5}
