{'短评内容': '酒店房间干净卫生，周边吃饭方便。', '短评打分': 5}
{'短评内容': '性价比很高，值得推荐，就是隔音比较差不知道是不是每个房间都这样，不过住还是值得住的，完全对得起价钱。房间很大', '短评打分': 4}
{'短评内容': '早餐还行，你自己体会。', '短评打分': 5}
{'短评内容': '适合带孩子，房间很好，物美价廉。', '短评打分': 5}
{'短评内容': '停车没问题，早餐虽然做的一般但是也还行。。服务还不错，酒店里面吃饭做的菜特辣，不过喜欢吃辣的人就觉得很不错，辣的很爽味道也不错。。睡觉的话，那个棉被床单比较硬。。不舒服。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '第一次在宜昌住酒店，环境服务都不错，早餐也挺丰富。门口的停车位也很多，附近吃饭宵夜喝酒的地方也多，总之算是比较满意。', '短评打分': 5}
{'短评内容': '酒店还不错，在附近办事方便下次还会入住。', '短评打分': 5}
{'短评内容': '服务人员冷淡，硬件很不错～！', '短评打分': 4}
{'短评内容': '浴室有点太小，房间晚上竟然有蟑螂，还有，色情小卡片太多，在那样的地段，价位偏贵，早餐种类太少，不够丰富，就连豆浆都不是现榨的，而是冲泡的豆奶', '短评打分': 4}
{'短评内容': '房间一般，空调声音太大了，早餐难吃。', '短评打分': 4}
{'短评内容': '价格很便宜，大床房携程订的才150一晚，只是无窗让我感到有点意外，其他还好，就是晚上塞小卡片的有点多！', '短评打分': 4}
{'短评内容': '距离景点比较近，这个季节价格比较实惠，酒店服务不错，也干净，但离市区偏远', '短评打分': 3}
{'短评内容': '基本满意，有早餐哦！', '短评打分': 3}
{'短评内容': '酒店很干净，设施也不错，早餐很丰盛，很合我老公的胃口。就是出停车场还收了6元，我不想给，想去大厅找前台问问，到谁家住宿也没收过停车费啊。什么啊，赶时间，老公不让。影响心情。。。', '短评打分': 5}
{'短评内容': '酒店位置靠近22公司。位置不错，但是进门地上都是小广告。大床房没有床，也没提前说。房间很闷。', '短评打分': 3}
