{'短评内容': '酒店挺好的环境服务都挺好的。还挺便宜哟', '短评打分': 5}
{'短评内容': '酒店位置方便 近云峰街地铁口 而且停车方便 房间整洁卫生 前台人员非常热情 早餐也非常不错 经济适用 ', '短评打分': 5}
{'短评内容': '预定时候付了房费和押金，写着到店直接入住，第二天免查房直接退房，本以为很方便，结果都是骗人的，去了还要再收押金，吧台里的服务员弄不明白，明白的服务员坐在大厅沙发上玩手机，头都不抬，就知道喊必须交押金，态度恶劣，旁边一个不知道干啥的老头子也是态度更恶劣，喊着让交钱，太差劲了，门口想停车特别难，住的态度最差的酒店！', '短评打分': 1}
{'短评内容': '网络很差，为了省电，把很多灯炮都人为地关掉了', '短评打分': 3}
{'短评内容': '酒店真的挺不错的，而且位置也方便，', '短评打分': 5}
{'短评内容': '房间干净、整洁、不吵杂', '短评打分': 5}
{'短评内容': '性价比超高，各种方便应有尽有。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '老顾客啦，干净，安静，很好。离宜家很近', '短评打分': 5}
{'短评内容': '很不错 下次还去', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '没停车位。在最顶层。还得步行一个楼层。房间挨着电机房。嗡嗡响。以后不会再来', '短评打分': 2}
