{'短评内容': '很不错啊。', '短评打分': 5}
{'短评内容': '总体还是可以的，性价比不错吧，睡得比较舒服。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '商务出差定的酒店，位置合适，价格公道，前台也很有礼貌，而且很美丽，不会让你等太久，好评，周边交通便利，有吃饭的地方', '短评打分': 5}
{'短评内容': '商务出差定的酒店，位置合适，价格公道，前台也很有礼貌，而且很美丽，不会让你等太久，好评，周边交通便利，有吃饭的地方', '短评打分': 5}
{'短评内容': '测试？', '短评打分': 5}
{'短评内容': '朋友住的，感觉很不错，以后会继续入住的', '短评打分': 5}
{'短评内容': '。挺好的~', '短评打分': 5}
{'短评内容': '还不错吧，总体来说符合快捷酒店的标准。服务还是不错的，回答都比较满意。卫生总体还可以吧。推荐居住。。。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净的房间设施齐全，空调，暖气都有。还配备了净水机，可以直接喝到放心饮用水。服务很好，每天都给换地巾。交通便利。超市就在同一个楼上。', '短评打分': 5}
{'短评内容': '有点太紧凑，晚上有傻逼电视声音巨大，他妈的，半夜两三点吵醒我了，那个死全家的玩意！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '房间正对一个工地，很吵', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一直选择这家酒店，出门方便，环境很好，门口还有一个大型超市，方便购物。', '短评打分': 5}
{'短评内容': '酒店位置可以，比较方便，卫生状况也可以，入住和退房的速度有待改善', '短评打分': 5}
{'短评内容': '酒店不错，温馨干净。价格也不错。下次还去住。', '短评打分': 5}
{'短评内容': '服务挺周到！', '短评打分': 3}
{'短评内容': '还是那么小 酒店房型基本都住过 特惠房和正常房间一样大 价格还不一样 哎', '短评打分': 5}
{'短评内容': '挺好的，房间不大，但挺干净，收拾房间的阿姨态度很好，赞一个~！', '短评打分': 5}
{'短评内容': '整体感觉还算可以，只是这个价格不如在龙韵好点。每层房间太多了。', '短评打分': 5}
{'短评内容': '不错，就是房间不大，特惠87，正常119 其实房间是一样的\n', '短评打分': 5}
{'短评内容': '一直居住如家，不论哪个城市，很温馨，卫生也可以，就是相对别的城市来说，人民东路如家电视有点老旧。', '短评打分': 5}
{'短评内容': '挺好的，一直都选择如家，就是不是很隔音。', '短评打分': 5}
{'短评内容': '舒适干净卫生', '短评打分': 3}
{'短评内容': '房间有点小 回字形楼 透气性差，前台员工态度很好，早餐超值，以后回家就住这里啦', '短评打分': 5}
{'短评内容': '酒店的房间面积还可以，就是房间内没有阳光，晚上有点吵', '短评打分': 5}
{'短评内容': ' 在如家的门店有如此低的价位是不多，值得推荐。是我们出差的人首选。', '短评打分': 5}
{'短评内容': '不论去哪个城市  一直选择如家呢  感觉很干净 温馨 放心    感觉这家隔音效果不怎么好  有些客人素质低点 晚上很能闹腾 声音那叫一个清晰呀  希望能改进', '短评打分': 1}
{'短评内容': '不好意思，评价晚了，既然要评价，那我就实话是说了，也是为以后的客人做个参考，说实在的，这个地方不错，房间确实有点精装小卧室的感觉，卧室的床单颜色和墙面颜色相互柔和成一种暖色，很温馨，然后的话，价格还算公道，我住的是特惠房，还算满意，剩下的，我就说说不足了，呵呵，貌似隔音效果是个大家都认同的不足，对我个人而言的话，我感觉不足的是一次性的拖鞋好像没有大小号，我穿着有点小，电视机是台式的，以前住的都是纯', '短评打分': 5}
{'短评内容': '新开的，旁边就是个大超市，离政府很近，就是房间隔音差点，住的时候，楼上及旁边的床撞的钢钢的，不知道干嘛呢，呵呵', '短评打分': 5}
{'短评内容': '欢境还可以，就是房间隔音差了些', '短评打分': 3}
{'短评内容': '房间挺干净的，床也很舒服，通道有点儿窄，总体不错！性价比较高！', '短评打分': 3}
{'短评内容': '酒店很好找，也很干净，旁边是超市买东西也方便，很好～', '短评打分': 3}
{'短评内容': '环境卫生都不错，就是有点吵不能睡懒觉。网络挺快的，服务态度也很好', '短评打分': 5}
{'短评内容': '房间还不错，卫生间色彩很明亮，就是隔音太差了，隔壁房间的声音听得很清楚。我们去的那天正好下雨，酒店旁边就是过桥缘和百盛，太给力了！', '短评打分': 5}
{'短评内容': '这家酒店服务态度挺好的，很不错，适合居住', '短评打分': 5}
{'短评内容': '很舒服…环境也非常的优雅，位置也方便，以后就住这里了', '短评打分': 3}
{'短评内容': '酒店不错，房间采光有点问题，可能其它楼层会好一些，服务不错', '短评打分': 5}
{'短评内容': '。环境还可以，值得一赞。', '短评打分': 3}
{'短评内容': '不错啊，位置很好，很干净，很合适公务出差的小职员，不错、不错。', '短评打分': 5}
{'短评内容': '还行！整洁干净！只是隔音很不好，走廊上稍有说话的就清楚的传到室内！', '短评打分': 5}
{'短评内容': '不错，算是便宜实惠的，各种服务都不错，特别是服务人员很好。', '短评打分': 5}
{'短评内容': '比较干净，房间还行，就是见不到阳光，价格还不错，服务还可以。下面大的超市，很方便。', '短评打分': 5}
{'短评内容': '电视换平板就好了', '短评打分': 3}
{'短评内容': '还不错，哈哈，服务也很好，环境不错，总之很好。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体还可以、就是希望可以改善一下一次性拖鞋的问题、下次还会去的、、', '短评打分': 5}
{'短评内容': '总体很好，蛮温馨的,房间色调很好，就是隔音稍微差点', '短评打分': 5}
{'短评内容': '如家的品质还是可以的，毕竟是全国连锁嘛。比诸城的锦江之星便宜。不错！', '短评打分': 5}
{'短评内容': '一如既往的好 呵呵 ，以后还是选择如家，真的是很舒服~', '短评打分': 5}
{'短评内容': '房间干净不错', '短评打分': 3}
{'短评内容': '房间给人的感觉挺温馨，住着也挺舒适，挺好的', '短评打分': 5}
{'短评内容': '服务不错.下回还会来', '短评打分': 3}
{'短评内容': '酒店位置处市中心百盛超市旁，停车方便，服务不错，就是房间较小，总体不错。', '短评打分': 3}
{'短评内容': '不错  很亲切的感觉  很新  房间很精致', '短评打分': 5}
{'短评内容': '房间和电视都小', '短评打分': 3}
{'短评内容': '房间真的不错，新开业的，很干净，服务也很好。位置什么的都很好…', '短评打分': 3}
