{'短评内容': '就哪样吧。', '短评打分': 5}
{'短评内容': '很棒卫生环境很好', '短评打分': 5}
{'短评内容': '酒店位置不错。', '短评打分': 5}
{'短评内容': '大早上就有人在那吵吵吵，最搞笑的是居然还有进错门的，请问前台是怎么了？', '短评打分': 2}
{'短评内容': '因在网上看点评尚可才订了该酒店，结果到现场一看大失所望，房间的过道昏暗还有一股臭味，房间内设施陈旧，墙壁破损，卫生间的马桶坐垫具然比座便器小，女同志无法如厕。感觉非常差。如果不是巳在网上付款，不能退款，怎么也不会在这家酒店入住。', '短评打分': 3}
{'短评内容': '还行吧   地理位置很好，很方便。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '挺好的一个房间', '短评打分': 4}
{'短评内容': '大厅非常大，给人第一感觉就很好，二楼房间走廊也是很宽敞，大气，房间一进去感觉很新，装修还可以，这个价不贵也不便宜，稍稍有些贵，如果是130就很好了', '短评打分': 4}
{'短评内容': '挺好的，房间不错', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '这是住店最差的一次，隔音效果差，房间没窗户，天花板还那样的破洞，没曾想店家也拿出来忽悠客人。只是懒得要求换。既然到此住，就是想有个舒心安静的环境好好休息。结果到底怎样相信大家有目共睹', '短评打分': 4}
{'短评内容': '帮人订的，说还可以', '短评打分': 4}
{'短评内容': '服务好，很适合出行居住，个人很满意。。。', '短评打分': 3}
{'短评内容': '还不错，退房有点慢', '短评打分': 4}
