{'短评内容': '条件不错,房间很大,环境也可以,下次再住,可向朋友推荐!', '短评打分': 5}
{'短评内容': '超大的单间，不错。', '短评打分': 3}
{'短评内容': '地理位置太远，在宝山，不太会推荐给别人。要说的是，这间酒店的房间很大！！至少是普通酒店的2倍，标房放了两张1.50米的床只占了一半房间，面积大得感觉地皮不值钱。。。喜欢大房间的人可以住住看。隔音还好。', '短评打分': 1}
{'短评内容': '服务很差，这里两天居然房间都不打扫，还找理由说怕我的东西搞丢了。', '短评打分': 5}
{'短评内容': '很垃圾的酒店。服务态度很差，而且一次性用品的质量超级差。', '短评打分': 1}
{'短评内容': '很好 工作人员服务态度很好 住得很舒服 房间也大 不错', '短评打分': 3}
{'短评内容': '房间挺好的', '短评打分': 3}
{'短评内容': '非常好，非常大，很便宜', '短评打分': 3}
{'短评内容': '房间真大，太大了。服务很有客气，在淞南地区。附近小店也很多，很方便。', '短评打分': 5}
{'短评内容': '挺好的！就是周围环境差了点，房间设施服务都还不错。', '短评打分': 5}
{'短评内容': '好，很好，非常好，已经快成了我家的客房了。', '短评打分': 5}
{'短评内容': '房间超级大，床超级大，洗澡水也超级大。真是一家好宾馆。', '短评打分': 5}
{'短评内容': '好，很好，非常好，真的非常好，真的是太好了。', '短评打分': 5}
{'短评内容': '很大的房间，装修也很新，方便的朋友去看看哈', '短评打分': 5}
{'短评内容': '很好，很干净，房间很大，值得推荐。方便的朋友可以去看看', '短评打分': 5}
{'短评内容': '好！房间很大，很干净，值得住一住。装修也很新。', '短评打分': 5}
{'短评内容': '房间很大，床很大，停车比较麻烦。电梯没有空调比较热', '短评打分': 5}
{'短评内容': '都住了好多次了  不错的  现在又涨价了', '短评打分': 5}
{'短评内容': '去了几次了  总体还可以  最近涨价了  又贵了点  哎 现在什么都涨·····', '短评打分': 5}
{'短评内容': ' 房间不错，空间够大，价格合适！', '短评打分': 3}
{'短评内容': '房间不错 很大 床也蛮舒服 另外卫浴也不错 干净整洁', '短评打分': 5}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '价格比较合适，酒店卫生比较干净，电视信号不太好，总的来说还不错。', '短评打分': 5}
{'短评内容': '房间很大 卫浴也不错 蛮对得起价格 就是空调噪音过大 晚上没睡好 窗户对着马路 也有点吵 呵呵 不过总的来说很不错~', '短评打分': 5}
{'短评内容': '除了隔音效果不是很理想之外，总体还不错的', '短评打分': 5}
{'短评内容': '房间很大，就是服务员态度不好', '短评打分': 3}
{'短评内容': '地方大，环境好~设施齐，下次我一定还回去的', '短评打分': 5}
{'短评内容': '很干净清爽，性价比很高，服务也很周到，不比星级酒店差哦。', '短评打分': 5}
{'短评内容': '房间大宽敞，很舒服。', '短评打分': 3}
{'短评内容': '8819', '短评打分': 3}
{'短评内容': '我在此店住过两次，本次的房间比较小，不过对于普通的游客足够大了。', '短评打分': 5}
{'短评内容': '房间超大新装修的。卫生条件很好，硬件设施很好的。大大的床太舒服了，洗澡别提了，就一个字==爽。这个价格简直是超值了，以后就机会还要住在那里，而且我也向朋友们推荐了。\n这次的入住太太太满意了！！！！！\n\n', '短评打分': 5}
{'短评内容': '非常好的酒店，房间30多平，硬件设施绝对对得起价钱，不过就是不太安静，向阳的房间马路很吵，阴面的部队训练更吵。前台接待热情。GOOD!', '短评打分': 5}
{'短评内容': '很干净，晚上房间很安静，就是早上旁边的武警出操有点吵！', '短评打分': 3}
{'短评内容': '房間很不錯，採光也蠻好~不過不喜歡電視，沒有IPTV。。。作孽~床很大，地方也很大。。。所以也就顯得空曠了點~總體不錯~', '短评打分': 5}
{'短评内容': '很便宜，设备很好，很值这个价格，房间和图上的一模一样，很干净，很大，很好', '短评打分': 5}
{'短评内容': '房间超大，很宽敞，住宿条件不错，里面是新装修的，感觉都很新，卫生条件很好干净整洁，舒适度不错', '短评打分': 5}
{'短评内容': '房间很不错，蛮宽敞的，而且有很大的落地窗，床很大很舒服，卫生间花洒不错，洗澡很舒服，酒店周边交通也很方便', '短评打分': 5}
{'短评内容': '房间布置的温馨，整洁，卫生很好，酒店楼下有超市，买东西很方便，住宿环境很不错', '短评打分': 5}
{'短评内容': '房间很大，大的空调都打不热。后面是个军事住宅，早上一早上就出操，有点吵', '短评打分': 5}
{'短评内容': '挺好。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '性价比还可以，前台服务员比较周到热情，房间硬件设施较齐全，住宿条件还可以', '短评打分': 5}
