{'短评内容': '酒店环境卫生真的都很不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '整体感觉还可以，就是打扫房间的服务不大好，白天不在酒店，晚上回来就看到衣服扔在床上躺着.....好感度瞬间降低', '短评打分': 4}
{'短评内容': '酒店不错，给个好评', '短评打分': 5}
{'短评内容': '6666', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周围商业设施很多 交通很便利 就是房间隔音我觉得还可以再提高一下 ', '短评打分': 4}
{'短评内容': '还是挺舒适', '短评打分': 5}
{'短评内容': '还好吧……', '短评打分': 5}
{'短评内容': '出差入住，离办事地点很近。房间虽小，但还干净整洁，周边', '短评打分': 5}
{'短评内容': '交通方便，酒店位置挺便利。设施也不错，卫生也挺好。尤其服务特别不错。下次去还会选择这里，汉庭在连锁酒店中一直做得都挺好的。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店处于极其热闹的地方，一条小巷进去，不太好找，我借助百度导航找到了。卫生、设施等都不错，满意！', '短评打分': 5}
{'短评内容': '不错 就是有点热', '短评打分': 5}
{'短评内容': '不错 就是有点热', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错，就是有点小。', '短评打分': 3}
{'短评内容': '前一天住的七天，房间小，隔音非常差，一夜被吵醒数回，隔天改住汉庭，一夜无梦到天亮，而且安全措施非常到位，服务态度非常好!', '短评打分': 3}
{'短评内容': '酒店地理位置很好，距离机场和火车站都很近，打车均在18元左右。外部环境有点乱，附近都是摆小摊的，但内部管理还可以。算是闹中取静吧。', '短评打分': 5}
{'短评内容': '服务员态度好,会给你很热情地介绍,公司培训有素,门口吃的好多,又不贵,打车办事都方便', '短评打分': 5}
{'短评内容': '＋非常满意，房间宽敞、干净，周围吃饭方便，推荐！', '短评打分': 3}
{'短评内容': '房间很干净,房间很大,住着很舒服,下次还会光临', '短评打分': 5}
{'短评内容': '蛮安静的一个地方，房间略微有点小。订的是特价大床房但是到汉庭安排的双床房，心里有单不舒服哈', '短评打分': 5}
{'短评内容': '总体感觉不错！三点小建议：一是，能否真正配备书写台灯；二是，客房里能否放置一些本酒店的宣传资料（便于客人捎带宣传，就像国外的快捷酒店一样），最好也能有对于酒店所处城市的介绍；三是，客房仅有的阅读刊物（汉庭自办的宣传品）能否经常更换新的（否则，一本已被客人翻阅旧了的读物，多少影响对于该酒店的印象）。', '短评打分': 5}
{'短评内容': '交通方便，房间设施不错，离百脑汇很近，适合做电子产品的商务人士。', '短评打分': 5}
{'短评内容': '房间很好,下次还会入住!', '短评打分': 3}
{'短评内容': '酒店的服务不错，酒店设施也很不错，就是位置不怎么好找，其他都不错\n', '短评打分': 5}
{'短评内容': '用30的消费券 价格还行，房间卫生不错，洗漱区设计的值得称赞；\n交通一般，酒店停车场有些寒酸 不太好停车；\n没吃酒店免费的早餐，因为门口早点品种挺多……', '短评打分': 5}
{'短评内容': '来过很多次，很不错，习惯于住这边了，家的感觉', '短评打分': 5}
{'短评内容': '更改房价并未即使通知，热水供断，房间味道很大，不干净。很失望。', '短评打分': 3}
{'短评内容': '环境很好，服务很到位，酒店设施比较高档，推荐', '短评打分': 5}
{'短评内容': '空调，热水，电视，上网，电梯，复印，都能满足客人的要求！楼旁是住宅区，很安静，有家的感觉！地段好，楼下有早点摊快餐店和麦当劳，到安医附院步行即可！有些酒店的通病，如没有无线宽带，房间隔音不好！最喜欢房间里的马桶（不溅水）和浴室（开帘可观赏）及每日送瓶冰露矿泉水！', '短评打分': 5}
