{'短评内容': '好好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '房间大，卫生干净整洁', '短评打分': 5}
{'短评内容': '一百多的酒店，还行吧', '短评打分': 3}
{'短评内容': '设施齐全，但是比较旧，晚上不安静', '短评打分': 3}
{'短评内容': '今天直接差评，接了订单说要等到十二点以后才有房间', '短评打分': 5}
{'短评内容': '环境很好，价格便宜。地理位置也好，在市中心。市中心这个价格，已经很便宜了。', '短评打分': 5}
{'短评内容': '不错的环境，每次去都住这家，酒店都认识我了', '短评打分': 5}
{'短评内容': '房间宽敞舒适，空调好用', '短评打分': 5}
{'短评内容': '可以，挺不错。', '短评打分': 4}
{'短评内容': '住过好几次了，位置还可以，离汽车站不是太远，处在繁华地段，房间设施也不错，价格挺合理的，逛街挺方便的', '短评打分': 4}
{'短评内容': '周边繁华便利，设施和服务中规中矩，好评！', '短评打分': 5}
{'短评内容': '经常在这家住，最近在装修', '短评打分': 4}
{'短评内容': '挺不错，服务态度也很棒', '短评打分': 3}
{'短评内容': '环境优雅，值得推荐一下，出门就可以逛街呦', '短评打分': 3}
{'短评内容': '环境好', '短评打分': 4}
{'短评内容': '一直在这家住，各方面都不错，现在在装修，估计以后会更好', '短评打分': 4}
{'短评内容': '不错呀！就是洗手间有点怕怕，冲水不流畅！住了一星期，爸妈很高兴！床很大！逛街超方便！', '短评打分': 5}
{'短评内容': '非常好 房间够大 床也很舒服 性价比很高的酒店', '短评打分': 5}
{'短评内容': '在步行街上.逛街很方便!', '短评打分': 3}
{'短评内容': '早上一早起来，楼上就有很大声音，直接受不了。早上窗帘都遮挡不了光，早上想睡个觉直接很难。', '短评打分': 5}
{'短评内容': '酒店很好.住的很满意!', '短评打分': 3}
{'短评内容': '真好，每次回家都住这里！方便。房间够大，价格合理，1•5米的床，明亮的房间！', '短评打分': 5}
{'短评内容': '酒店还不错，环境好，空间大。素质也可以', '短评打分': 3}
{'短评内容': '闹中取静！！在著名的步行街上。出门很热闹。。宾馆也很干净', '短评打分': 5}
{'短评内容': '不错的酒店。就是进入酒店不好停车。其他都还不错', '短评打分': 5}
{'短评内容': '酒店给人感觉不错。但是位于繁华地段 车子开进去不方便。设施都还不错。', '短评打分': 5}
{'短评内容': '不错的酒店。房间蛮大的，整齐干净，性价比满意', '短评打分': 5}
{'短评内容': '房间很大，卫生可以还会考虑，早餐比较简单，但边上有肯德基方便。', '短评打分': 5}
{'短评内容': '，男友出差住的。觉得还可以，地毯很漂亮，房间有点老', '短评打分': 3}
{'短评内容': '很差很差很差很差很差很差很差很差很差很差很差很差很差很差很差很差很差很差', '短评打分': 1}
{'短评内容': '這個價格對不起這樣的房間。。。。。我。。', '短评打分': 1}
{'短评内容': '酒店不错，房间大，设施也可以，地理位置也好在商业中国，购物吃饭比较方便。', '短评打分': 3}
{'短评内容': '酒店在繁華街區，位置很好，吃飯也方便。房間很大，並且都不靠街邊哦，晚上很安靜。就是感覺早餐差了點', '短评打分': 5}
{'短评内容': '环境不错，虽然老点，但还蛮舒适的。价格也低', '短评打分': 5}
{'短评内容': '酒店好,床特大', '短评打分': 3}
{'短评内容': '价格实惠,环境尚好。', '短评打分': 3}
{'短评内容': '性价比高，离家近，有家的感觉。建议换床单被 套时看看垫的床垫和被子有无被明显的脏的痕迹。每次去高邮都住这家，这次的床单和被子上有大块的血迹，因为被套没套好，才发现的，后来也予以更换了。', '短评打分': 5}
{'短评内容': '乾淨、舒適，離景區也近，不過前臺服務員不知道盂城驛是高郵的景點。', '短评打分': 5}
{'短评内容': '洗澡水小，停车不方便，床单有斑斑痕迹。。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间够大，床够大，位置处于市中心，很好。', '短评打分': 3}
{'短评内容': '尚可!', '短评打分': 3}
{'短评内容': '位置不错，停车也方便，服务还可以，只是房间旧了点，下次来还可以选择', '短评打分': 5}
{'短评内容': '房间很满意``````````````````````````````', '短评打分': 5}
{'短评内容': '地理位置好，出行方便，房内环境好..............', '短评打分': 5}
{'短评内容': '明显是旧楼改建的，不能刷pos机， 设备较陈旧！但是价格比较低！', '短评打分': 1}
{'短评内容': '地址就在市中心，干什么都很方便，门前是商业一条街，平常人很多，对于开车的朋友来讲绝对不是一件方便的事，不开车的朋友可以考虑到这住宿。还有酒店只能现金结账，不太方便', '短评打分': 5}
{'短评内容': '真是市中心零距离，环境也很好。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '交通便利，环境和卫生不错，唯一不足的地方是楼下商铺音乐太吵了。', '短评打分': 5}
{'短评内容': '环境还行，比较满意，但是交通不是很方便……', '短评打分': 5}
{'短评内容': '还不错,交通方便.就是床硬了点.\r\n高邮是个小地方,这个算不错的宾馆了.', '短评打分': 5}
{'短评内容': '每次去高邮都会住在水月清华宾馆 吃饭购物很方便的 下次还是会去的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店的地址被搞错了，让我一通好找。卫生设施太老化，毛巾旧的不敢用，怕传染疾病。但价格很便宜，人在旅途勉强也可做个栖身之所。', '短评打分': 5}
{'短评内容': '总体感觉还可以吧，就是洗浴和擦脸毛巾旧了一点，看上去有点脏。', '短评打分': 5}
{'短评内容': '该酒店算很经济实惠的，如果结帐能刷卡就更方便了。期待改善啊。不然我这次一住6天，用现金结太不方便了。', '短评打分': 5}
{'短评内容': '不错的地方  下次还是会去的', '短评打分': 5}
{'短评内容': '第二次去，感觉依然不错。', '短评打分': 5}
{'短评内容': '电脑是坏的，还算干净', '短评打分': 5}
{'短评内容': '位置、设施和房间都不错，现在早餐也提高了质量。推荐', '短评打分': 5}
{'短评内容': '位置很好，出来就能逛街。早餐还可以吧，不过传说中的高邮双黄鸭蛋没吃到。卫生也可以，不过房间电话不太好用，一直没给我开通长途。\r\n总体不错。', '短评打分': 5}
{'短评内容': '房间很大，环境也不错。性价比不错，推荐！', '短评打分': 5}
{'短评内容': '是我住过的性价比最好的一家，下次去的话还会入住。', '短评打分': 5}
{'短评内容': '因为偶和老公是异地结婚，所以选择这家作为婚房，非常好的设施（地毯、电视、窗、洗浴等都非常好），地理位置也很棒（出门就是商业街，闹中取静的好地方），性价比好的没话说，唯一的缺憾是前台有个奇丑的接待员，态度如其人，还好偶们结婚心情好，不跟她计较。所以她可以忽略不计。推荐大家入住！', '短评打分': 5}
{'短评内容': '酒店的服务非常不错，我走的时候东西落在房间里，他们的保安通知我上去拿，这点我很满意，而且在这个价格来说他们的硬件条件也是不错的，交通方便。', '短评打分': 3}
{'短评内容': '这次住宿比较满意：上次提出洗澡热水问题没有发生，看来在供热水的问题已有改进。\r\n我今后还会选取这家酒店作为北京-上海自驾的中途休息点，最大的好处在于这家酒店距京沪高速公路只有5公里，而且交通方便。这家酒店的早餐自助餐5元，物超所值。周边有可以解决就餐的饭店，也有24小时供应快餐的“永和”等，比较方便。', '短评打分': 5}
{'短评内容': '酒店的前台不能刷卡的,很多酒店都可以了,希望酒店改进,酒店的环境设施都不错', '短评打分': 5}
{'短评内容': '酒店的设施环境我都非常满意，尤其是价格非常便宜，但是餐饮配套服务很差,他的早餐太差了.', '短评打分': 5}
{'短评内容': '酒店的价格不错，服务和环境都很不错，房间也干净配备的设施比较齐全。', '短评打分': 5}
