{'短评内容': '环境不错性价比高', '短评打分': 5}
{'短评内容': '环境蛮好的，价格也便宜，有停车场 会再去的', '短评打分': 5}
{'短评内容': '没吃早餐，性价比高', '短评打分': 5}
{'短评内容': '没吃早餐，性价比高', '短评打分': 5}
{'短评内容': '没吃早餐，性价比高', '短评打分': 5}
{'短评内容': '京东酒店服务很不错，好评！', '短评打分': 5}
{'短评内容': '因为在上海转机，又是第二天很早的航班，所以定了这家。这家有接送机服务，送机好像是定时的。服务超好的，环境也还可以，就是位置比较偏僻一点，不过听说周围还在建机场航站楼和高铁站了，过几年应该就不会那么偏僻了。', '短评打分': 4}
{'短评内容': '第一天定的133元房间，第二天为了省点钱换到了106元的房间，小了大概6平米，没有窗户。但是便宜呀(*๓´╰╯`๓)♡设备一应俱全，热水特别好！但是酒店去迪士尼的送车只有早上八点半，并且晚上不接。', '短评打分': 5}
{'短评内容': '飞机延误两个小时，半夜一点半才到浦东，酒店还是免费派了长安商务车来接机，开来的路程差不多二十多分钟，入住办理的很快。定的是带窗的大床房，标价158，携程定133。房间干净，物品一应俱全。环境也很安静！管理很正规。', '短评打分': 5}
{'短评内容': '不想机场大厅熬夜的可以选，接送机服务是亮点。', '短评打分': 3}
{'短评内容': '人好、环境好！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '還算可以，環境整體算乾淨', '短评打分': 3}
{'短评内容': '环境还可以吧，价格稍贵……', '短评打分': 4}
{'短评内容': '首先前台的服务态度是比较热情的，卫生一般，床是比较大，洗澡的热水不是很给力，', '短评打分': 3}
{'短评内容': '差差差差差的不能再差', '短评打分': 1}
