{'短评内容': '太一般', '短评打分': 3}
{'短评内容': '房间设施陈旧，有异味，服务员都没有，一个字差', '短评打分': 1}
{'短评内容': '周边景色美 蚊子多', '短评打分': 5}
{'短评内容': '不错，推荐', '短评打分': 5}
{'短评内容': '环境很好，设施一般，服务一般', '短评打分': 4}
{'短评内容': '帮朋友订的，也没有看到酒店，应该都还好的吧，这边环境都是很好的！', '短评打分': 5}
{'短评内容': '环境很好，有山有水，空气超好，绿化很好，很适合渡假。', '短评打分': 5}
{'短评内容': '之前预定的宾馆没房间了，天知道怎么回事，还好携程帮忙又找到一家', '短评打分': 5}
{'短评内容': '在碧湖边上，住的是套间，248元/晚非常划算。整栋房子有6~8个房间，有1个共用大厅。许多人结婚时租下整栋房子，在此热闹一晚。', '短评打分': 4}
{'短评内容': '超值！非常适合一家老小过来度假', '短评打分': 5}
{'短评内容': '风景如画，空气清新，世外桃园。', '短评打分': 5}
{'短评内容': '还可以，环境很好，在度假区内', '短评打分': 4}
{'短评内容': '设备陈旧，服务差。', '短评打分': 2}
{'短评内容': '酒店周围环境很好，但酒店里面设备很陈旧，取电口、电视等设备都是坏的，前台只有一个服务人员，而且态度很差。建议大家还是别去那里。', '短评打分': 2}
{'短评内容': '设施有点久，但环境空气不错的！', '短评打分': 3}
{'短评内容': '几年前住过，现在还是依然那么好！环境超棒！服务也那么好！', '短评打分': 5}
{'短评内容': '好.系远左D', '短评打分': 3}
