{'短评内容': '比较一般，房间隔音不好。', '短评打分': 5}
{'短评内容': '宾馆条件较好！', '短评打分': 5}
{'短评内容': '房间不大，但是干净整洁，还可以洗澡，免费wifi电视空调各项设施齐全，这样的条件对比这样的价格很不错了，正所谓麻雀虽小，五脏俱全！很不错，下次有机会再来北京还会住这里！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '交通比较方便，离酒店周围吃的也比较多，前台接待人员服务态度蛮好，房间卫生比较干净，空间比较宽敞，住的舒服。', '短评打分': 5}
{'短评内容': '挺好的，是个值得推荐的酒店，工作人员很热情，服务也很到位，地理位置也是极好的，携程价格也很实惠，后面会介绍朋友来的', '短评打分': 5}
{'短评内容': '这么久都忘了点评了，都还可以，性价比较高。', '短评打分': 5}
{'短评内容': '房间卫生一般，服务还可以，停车方便。', '短评打分': 3}
{'短评内容': '考试时同学住的，他说还可以', '短评打分': 5}
{'短评内容': '选择住这里主要是图近，价格比较低，但性价比真的不高', '短评打分': 2}
{'短评内容': '很好，环境不错，很容易找，就是屋子里有点潮', '短评打分': 5}
{'短评内容': '一层简易板房，隔音不好，天花板漏水后屋内很潮湿，被褥都感觉是湿的！！！怀疑是因为从网上订的房间，所以给个特别差的，要求换房被告知没房，出来时前台却听见别人可以换房！！！没办法要求换被褥，工作人员来检查说一点也不潮！！！最终拿来两床被还粉刺，什么态度！！！大家一定要擦亮眼睛啊', '短评打分': 1}
{'短评内容': '宾馆很好，挺干净，服务也好。', '短评打分': 3}
{'短评内容': '酒店比较经济实惠，干净卫生，交通比较方便，就在和平里东路大街上，就是房间太小了，而且要客人自己去打开水。', '短评打分': 5}
{'短评内容': '比较经济实惠，交通较方便，但不能刷卡，也没有餐厅。', '短评打分': 5}
{'短评内容': '服务人员态度不好，使用吹风机还需要付100元押金', '短评打分': 1}
{'短评内容': '地理位置不错,但服务态度欠佳,房屋不怎么隔音', '短评打分': 1}
{'短评内容': '地理位置不错，但酒店的服务态度不好，而且房间不隔音。', '短评打分': 1}
{'短评内容': '很经济实惠的旅店，交通便利，居住舒适。对那些对酒店要求不是很高的顾客很适合。推荐选住。', '短评打分': 5}
{'短评内容': '酒店离三环很近，位置优越，环境也还可以，总体来说还是不错的。', '短评打分': 3}
{'短评内容': '还好 就是灯很暗', '短评打分': 3}
{'短评内容': '位置在三环内，出行很方便。性价比很高。就是网络只支持有线，网线不够长。在床上就上不了网。', '短评打分': 5}
{'短评内容': '还不错，能够推荐。就是前台服务员差点，希望温柔些', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '服务态度好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
